Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['location', 'altitude', 'smell', 'airquality', 'light', 'weather', 'humidity', 'sound', 'temperature', 'pressure']
Getting subscriber object
Binding REP to tcp://10.0.0.11:5580
Getting registry proxy
Registering with tcp://10.0.0.3:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.4:5571
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.4', 'port': '5571'}]
{'Topic': 'airquality', 'Value': 0, 'Sender': '10.0.0.4', 'Sent': 1647706990.7621033, 'Brokered': 0, 'Subscriber': '10.0.0.11', 'Received': 1647706990.783402}
{'Topic': 'airquality', 'Value': 55, 'Sender': '10.0.0.4', 'Sent': 1647706990.8628082, 'Brokered': 0, 'Subscriber': '10.0.0.11', 'Received': 1647706990.885968}
{'Topic': 'altitude', 'Value': 42, 'Sender': '10.0.0.4', 'Sent': 1647706990.9635377, 'Brokered': 0, 'Subscriber': '10.0.0.11', 'Received': 1647706990.9844368}
{'Topic': 'altitude', 'Value': 409, 'Sender': '10.0.0.4', 'Sent': 1647706991.0640168, 'Brokered': 0, 'Subscriber': '10.0.0.11', 'Received': 1647706991.0851579}
{'Topic': 'temperature', 'Value': 285, 'Sender': '10.0.0.4', 'Sent': 1647706991.1644688, 'Brokered': 0, 'Subscriber': '10.0.0.11', 'Received': 1647706991.185367}
{'Topic': 'temperature', 'Value': 211, 'Sender': '10.0.0.4', 'Sent': 1647706991.2647693, 'Brokered': 0, 'Subscriber': '10.0.0.11', 'Received': 1647706991.2856722}
{'Topic': 'pressure', 'Value': 95, 'Sender': '10.0.0.4', 'Sent': 1647706991.3653042, 'Brokered': 0, 'Subscriber': '10.0.0.11', 'Received': 1647706991.3864508}
{'Topic': 'temperature', 'Value': 260, 'Sender': '10.0.0.4', 'Sent': 1647706991.465985, 'Brokered': 0, 'Subscriber': '10.0.0.11', 'Received': 1647706991.4867413}
{'Topic': 'light', 'Value': 224, 'Sender': '10.0.0.4', 'Sent': 1647706991.5664868, 'Brokered': 0, 'Subscriber': '10.0.0.11', 'Received': 1647706991.5871272}
{'Topic': 'pressure', 'Value': 159, 'Sender': '10.0.0.4', 'Sent': 1647706991.6669278, 'Brokered': 0, 'Subscriber': '10.0.0.11', 'Received': 1647706991.6888852}
{'Topic': 'pressure', 'Value': 259, 'Sender': '10.0.0.4', 'Sent': 1647706991.7681334, 'Brokered': 0, 'Subscriber': '10.0.0.11', 'Received': 1647706991.7895496}
{'Topic': 'pressure', 'Value': 249, 'Sender': '10.0.0.4', 'Sent': 1647706991.869011, 'Brokered': 0, 'Subscriber': '10.0.0.11', 'Received': 1647706991.8912423}
{'Topic': 'airquality', 'Value': 22, 'Sender': '10.0.0.4', 'Sent': 1647706991.973572, 'Brokered': 0, 'Subscriber': '10.0.0.11', 'Received': 1647706991.9952712}
{'Topic': 'location', 'Value': 149, 'Sender': '10.0.0.4', 'Sent': 1647706992.073836, 'Brokered': 0, 'Subscriber': '10.0.0.11', 'Received': 1647706992.0947175}
{'Topic': 'location', 'Value': 323, 'Sender': '10.0.0.4', 'Sent': 1647706992.174761, 'Brokered': 0, 'Subscriber': '10.0.0.11', 'Received': 1647706992.1979847}
{'Topic': 'sound', 'Value': 308, 'Sender': '10.0.0.4', 'Sent': 1647706992.2754478, 'Brokered': 0, 'Subscriber': '10.0.0.11', 'Received': 1647706992.2965255}
{'Topic': 'smell', 'Value': 200, 'Sender': '10.0.0.4', 'Sent': 1647706992.377528, 'Brokered': 0, 'Subscriber': '10.0.0.11', 'Received': 1647706992.3983393}
