Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['airquality']
Getting subscriber object
Binding REP to tcp://10.0.0.12:5580
Getting registry proxy
Registering with tcp://10.0.0.1:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.4:5571
Subscribing to tcp://10.0.0.8:5571
Subscribing to tcp://10.0.0.5:5571
Subscribing to tcp://10.0.0.6:5571
Starting update loop thread
Fetching updates from registry...
Request sent
Starting monitor loop thread
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.8', 'port': '5571'}, {'ip': '10.0.0.5', 'port': '5571'}, {'ip': '10.0.0.6', 'port': '5571'}, {'ip': '10.0.0.4', 'port': '5571'}, {'ip': '10.0.0.7', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.7:5571
{'Topic': 'airquality', 'Value': 58, 'Sender': '10.0.0.4', 'Sent': 1647706993.0869231, 'Brokered': 0, 'Subscriber': '10.0.0.12', 'Received': 1647706993.107773}
{'Topic': 'airquality', 'Value': 53, 'Sender': '10.0.0.8', 'Sent': 1647706993.214118, 'Brokered': 0, 'Subscriber': '10.0.0.12', 'Received': 1647706993.235724}
{'Topic': 'airquality', 'Value': 497, 'Sender': '10.0.0.4', 'Sent': 1647706993.3995142, 'Brokered': 0, 'Subscriber': '10.0.0.12', 'Received': 1647706993.4244933}
{'Topic': 'airquality', 'Value': 105, 'Sender': '10.0.0.5', 'Sent': 1647706993.4160058, 'Brokered': 0, 'Subscriber': '10.0.0.12', 'Received': 1647706993.436993}
{'Topic': 'airquality', 'Value': 17, 'Sender': '10.0.0.5', 'Sent': 1647706993.516684, 'Brokered': 0, 'Subscriber': '10.0.0.12', 'Received': 1647706993.5377486}
{'Topic': 'airquality', 'Value': 150, 'Sender': '10.0.0.4', 'Sent': 1647706993.7018788, 'Brokered': 0, 'Subscriber': '10.0.0.12', 'Received': 1647706993.7245584}
{'Topic': 'airquality', 'Value': 125, 'Sender': '10.0.0.4', 'Sent': 1647706993.8035882, 'Brokered': 0, 'Subscriber': '10.0.0.12', 'Received': 1647706993.824883}
{'Topic': 'airquality', 'Value': 164, 'Sender': '10.0.0.6', 'Sent': 1647706994.1651986, 'Brokered': 0, 'Subscriber': '10.0.0.12', 'Received': 1647706994.1866515}
{'Topic': 'airquality', 'Value': 271, 'Sender': '10.0.0.6', 'Sent': 1647706994.2656744, 'Brokered': 0, 'Subscriber': '10.0.0.12', 'Received': 1647706994.2873034}
{'Topic': 'airquality', 'Value': 151, 'Sender': '10.0.0.8', 'Sent': 1647706994.5296996, 'Brokered': 0, 'Subscriber': '10.0.0.12', 'Received': 1647706994.5503862}
{'Topic': 'airquality', 'Value': 169, 'Sender': '10.0.0.5', 'Sent': 1647706994.7317836, 'Brokered': 0, 'Subscriber': '10.0.0.12', 'Received': 1647706994.7524707}
