Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['temperature', 'sound', 'smell', 'pressure', 'location', 'altitude', 'airquality', 'light']
Getting subscriber object
Binding REP to tcp://10.0.0.9:5580
Getting registry proxy
Registering with tcp://10.0.0.2:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.4:5571
Starting update loop thread
Fetching updates from registry...Starting monitor loop thread

Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.4', 'port': '5571'}]
{'Topic': 'airquality', 'Value': 0, 'Sender': '10.0.0.4', 'Sent': 1647706990.7621033, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706990.7834017}
{'Topic': 'airquality', 'Value': 55, 'Sender': '10.0.0.4', 'Sent': 1647706990.8628082, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706990.8859792}
{'Topic': 'altitude', 'Value': 42, 'Sender': '10.0.0.4', 'Sent': 1647706990.9635377, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706990.9846976}
{'Topic': 'altitude', 'Value': 409, 'Sender': '10.0.0.4', 'Sent': 1647706991.0640168, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706991.0849292}
{'Topic': 'temperature', 'Value': 285, 'Sender': '10.0.0.4', 'Sent': 1647706991.1644688, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706991.1855667}
{'Topic': 'temperature', 'Value': 211, 'Sender': '10.0.0.4', 'Sent': 1647706991.2647693, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706991.2858992}
{'Topic': 'pressure', 'Value': 95, 'Sender': '10.0.0.4', 'Sent': 1647706991.3653042, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706991.3867083}
{'Topic': 'temperature', 'Value': 260, 'Sender': '10.0.0.4', 'Sent': 1647706991.465985, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706991.4869637}
{'Topic': 'light', 'Value': 224, 'Sender': '10.0.0.4', 'Sent': 1647706991.5664868, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706991.587364}
{'Topic': 'pressure', 'Value': 159, 'Sender': '10.0.0.4', 'Sent': 1647706991.6669278, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706991.68913}
{'Topic': 'pressure', 'Value': 259, 'Sender': '10.0.0.4', 'Sent': 1647706991.7681334, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706991.7898588}
{'Topic': 'pressure', 'Value': 249, 'Sender': '10.0.0.4', 'Sent': 1647706991.869011, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706991.8915389}
{'Topic': 'airquality', 'Value': 22, 'Sender': '10.0.0.4', 'Sent': 1647706991.973572, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706991.995018}
{'Topic': 'location', 'Value': 149, 'Sender': '10.0.0.4', 'Sent': 1647706992.073836, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706992.0949209}
{'Topic': 'location', 'Value': 323, 'Sender': '10.0.0.4', 'Sent': 1647706992.174761, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706992.1982965}
{'Topic': 'sound', 'Value': 308, 'Sender': '10.0.0.4', 'Sent': 1647706992.2754478, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706992.2967362}
{'Topic': 'smell', 'Value': 200, 'Sender': '10.0.0.4', 'Sent': 1647706992.377528, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706992.3985996}
{'Topic': 'altitude', 'Value': 355, 'Sender': '10.0.0.4', 'Sent': 1647706992.4780042, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706992.4990177}
{'Topic': 'light', 'Value': 100, 'Sender': '10.0.0.4', 'Sent': 1647706992.5788665, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706992.605781}
{'Topic': 'airquality', 'Value': 142, 'Sender': '10.0.0.4', 'Sent': 1647706992.6792865, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706992.7001717}
{'Topic': 'sound', 'Value': 263, 'Sender': '10.0.0.4', 'Sent': 1647706992.7797008, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706992.8008752}
{'Topic': 'temperature', 'Value': 2, 'Sender': '10.0.0.4', 'Sent': 1647706992.8802378, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706992.9011545}
{'Topic': 'location', 'Value': 337, 'Sender': '10.0.0.4', 'Sent': 1647706992.9864514, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706993.013308}
{'Topic': 'airquality', 'Value': 58, 'Sender': '10.0.0.4', 'Sent': 1647706993.0869231, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706993.1077302}
{'Topic': 'pressure', 'Value': 435, 'Sender': '10.0.0.4', 'Sent': 1647706993.1874466, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706993.2091413}
{'Topic': 'altitude', 'Value': 24, 'Sender': '10.0.0.4', 'Sent': 1647706993.288132, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706993.3092265}
{'Topic': 'airquality', 'Value': 497, 'Sender': '10.0.0.4', 'Sent': 1647706993.3995142, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706993.4236193}
{'Topic': 'light', 'Value': 98, 'Sender': '10.0.0.4', 'Sent': 1647706993.500078, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706993.5217974}
{'Topic': 'altitude', 'Value': 141, 'Sender': '10.0.0.4', 'Sent': 1647706993.6014159, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706993.622697}
{'Topic': 'airquality', 'Value': 150, 'Sender': '10.0.0.4', 'Sent': 1647706993.7018788, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706993.7246609}
{'Topic': 'airquality', 'Value': 125, 'Sender': '10.0.0.4', 'Sent': 1647706993.8035882, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706993.8246512}
{'Topic': 'altitude', 'Value': 343, 'Sender': '10.0.0.4', 'Sent': 1647706993.904544, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706993.9303918}
{'Topic': 'temperature', 'Value': 278, 'Sender': '10.0.0.4', 'Sent': 1647706994.0048664, 'Brokered': 0, 'Subscriber': '10.0.0.9', 'Received': 1647706994.0265357}
