Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['humidity']
Getting subscriber object
Binding REP to tcp://10.0.0.107:5580
Getting registry proxy
Registering with tcp://10.0.0.4:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.11', 'port': '5561'}]
{'Topic': 'humidity', 'Value': 334, 'Sender': '10.0.0.12', 'Sent': 1647708087.3176289, 'Brokered': 1647708087.3381138, 'Subscriber': '10.0.0.107', 'Received': 1647708087.3606408}
{'Topic': 'humidity', 'Value': 184, 'Sender': '10.0.0.12', 'Sent': 1647708087.8240898, 'Brokered': 1647708087.8487723, 'Subscriber': '10.0.0.107', 'Received': 1647708087.8748136}
{'Topic': 'humidity', 'Value': 439, 'Sender': '10.0.0.48', 'Sent': 1647708088.812573, 'Brokered': 1647708088.8331912, 'Subscriber': '10.0.0.107', 'Received': 1647708088.856005}
{'Topic': 'humidity', 'Value': 372, 'Sender': '10.0.0.12', 'Sent': 1647708088.8309166, 'Brokered': 1647708088.8526227, 'Subscriber': '10.0.0.107', 'Received': 1647708088.876021}
{'Topic': 'humidity', 'Value': 409, 'Sender': '10.0.0.48', 'Sent': 1647708088.9139097, 'Brokered': 1647708088.935721, 'Subscriber': '10.0.0.107', 'Received': 1647708088.9590647}
{'Topic': 'humidity', 'Value': 353, 'Sender': '10.0.0.48', 'Sent': 1647708089.0142946, 'Brokered': 1647708089.0357652, 'Subscriber': '10.0.0.107', 'Received': 1647708089.0588472}
{'Topic': 'humidity', 'Value': 273, 'Sender': '10.0.0.48', 'Sent': 1647708089.2170568, 'Brokered': 1647708089.238439, 'Subscriber': '10.0.0.107', 'Received': 1647708089.261666}
{'Topic': 'humidity', 'Value': 352, 'Sender': '10.0.0.12', 'Sent': 1647708089.2374926, 'Brokered': 1647708089.2620807, 'Subscriber': '10.0.0.107', 'Received': 1647708089.2858913}
{'Topic': 'humidity', 'Value': 392, 'Sender': '10.0.0.48', 'Sent': 1647708089.3197594, 'Brokered': 1647708089.3506987, 'Subscriber': '10.0.0.107', 'Received': 1647708089.373969}
{'Topic': 'humidity', 'Value': 30, 'Sender': '10.0.0.48', 'Sent': 1647708089.420216, 'Brokered': 1647708089.4489298, 'Subscriber': '10.0.0.107', 'Received': 1647708089.4708295}
{'Topic': 'humidity', 'Value': 51, 'Sender': '10.0.0.48', 'Sent': 1647708089.5210624, 'Brokered': 1647708089.543322, 'Subscriber': '10.0.0.107', 'Received': 1647708089.566635}
{'Topic': 'humidity', 'Value': 276, 'Sender': '10.0.0.48', 'Sent': 1647708090.2282774, 'Brokered': 1647708090.2524576, 'Subscriber': '10.0.0.107', 'Received': 1647708090.2781768}
{'Topic': 'humidity', 'Value': 204, 'Sender': '10.0.0.48', 'Sent': 1647708090.6325247, 'Brokered': 1647708090.6612966, 'Subscriber': '10.0.0.107', 'Received': 1647708090.6850202}
{'Topic': 'humidity', 'Value': 248, 'Sender': '10.0.0.48', 'Sent': 1647708090.9338589, 'Brokered': 1647708090.9544246, 'Subscriber': '10.0.0.107', 'Received': 1647708090.9783037}
{'Topic': 'humidity', 'Value': 5, 'Sender': '10.0.0.12', 'Sent': 1647708091.2720637, 'Brokered': 1647708091.2934911, 'Subscriber': '10.0.0.107', 'Received': 1647708091.3156443}
{'Topic': 'humidity', 'Value': 42, 'Sender': '10.0.0.48', 'Sent': 1647708091.5412967, 'Brokered': 1647708091.5618737, 'Subscriber': '10.0.0.107', 'Received': 1647708091.5847456}
{'Topic': 'humidity', 'Value': 488, 'Sender': '10.0.0.48', 'Sent': 1647708091.8454905, 'Brokered': 1647708091.8690243, 'Subscriber': '10.0.0.107', 'Received': 1647708091.8904932}
{'Topic': 'humidity', 'Value': 194, 'Sender': '10.0.0.48', 'Sent': 1647708092.1482792, 'Brokered': 1647708092.1707516, 'Subscriber': '10.0.0.107', 'Received': 1647708092.1915236}
{'Topic': 'humidity', 'Value': 147, 'Sender': '10.0.0.48', 'Sent': 1647708092.248573, 'Brokered': 1647708092.2692733, 'Subscriber': '10.0.0.107', 'Received': 1647708092.2908123}
