Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['pressure', 'temperature', 'sound', 'smell', 'humidity']
Getting subscriber object
Binding REP to tcp://10.0.0.62:5580
Getting registry proxy
Registering with tcp://10.0.0.5:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.12', 'port': '5571'}, {'ip': '10.0.0.17', 'port': '5571'}, {'ip': '10.0.0.13', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.12:5571
Broker subscribing to tcp://10.0.0.17:5571
Broker subscribing to tcp://10.0.0.13:5571
{'Topic': 'temperature', 'Value': 68, 'Sender': '10.0.0.13', 'Sent': 1647665443.0369277, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665443.0576346}
{'Topic': 'humidity', 'Value': 259, 'Sender': '10.0.0.12', 'Sent': 1647665443.057172, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665443.0802433}
{'Topic': 'temperature', 'Value': 324, 'Sender': '10.0.0.13', 'Sent': 1647665443.137577, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665443.1584036}
{'Topic': 'temperature', 'Value': 215, 'Sender': '10.0.0.13', 'Sent': 1647665443.2387288, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665443.2669325}
{'Topic': 'temperature', 'Value': 188, 'Sender': '10.0.0.13', 'Sent': 1647665443.341322, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665443.3666291}
{'Topic': 'temperature', 'Value': 433, 'Sender': '10.0.0.13', 'Sent': 1647665443.4416265, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665443.4627247}
{'Topic': 'temperature', 'Value': 429, 'Sender': '10.0.0.13', 'Sent': 1647665443.5435464, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665443.565784}
{'Topic': 'humidity', 'Value': 192, 'Sender': '10.0.0.12', 'Sent': 1647665443.5697613, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665443.5908732}
{'Topic': 'temperature', 'Value': 130, 'Sender': '10.0.0.13', 'Sent': 1647665443.6451993, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665443.675304}
{'Topic': 'temperature', 'Value': 207, 'Sender': '10.0.0.13', 'Sent': 1647665443.745425, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665443.7683818}
{'Topic': 'temperature', 'Value': 230, 'Sender': '10.0.0.13', 'Sent': 1647665443.8457537, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665443.8675396}
{'Topic': 'temperature', 'Value': 203, 'Sender': '10.0.0.13', 'Sent': 1647665443.9459496, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665443.9851158}
{'Topic': 'temperature', 'Value': 128, 'Sender': '10.0.0.13', 'Sent': 1647665444.0479126, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665444.0716577}
{'Topic': 'temperature', 'Value': 452, 'Sender': '10.0.0.13', 'Sent': 1647665444.148199, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665444.1704688}
{'Topic': 'pressure', 'Value': 227, 'Sender': '10.0.0.12', 'Sent': 1647665444.1880987, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665444.2097716}
{'Topic': 'temperature', 'Value': 387, 'Sender': '10.0.0.13', 'Sent': 1647665444.2502594, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665444.2739282}
{'Topic': 'humidity', 'Value': 84, 'Sender': '10.0.0.12', 'Sent': 1647665444.2886863, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665444.3141623}
{'Topic': 'temperature', 'Value': 464, 'Sender': '10.0.0.13', 'Sent': 1647665444.35172, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665444.5032132}
{'Topic': 'temperature', 'Value': 136, 'Sender': '10.0.0.13', 'Sent': 1647665444.4952695, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665444.5270197}
{'Topic': 'temperature', 'Value': 57, 'Sender': '10.0.0.13', 'Sent': 1647665444.595711, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665444.6167626}
{'Topic': 'temperature', 'Value': 323, 'Sender': '10.0.0.13', 'Sent': 1647665444.696299, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665444.718601}
{'Topic': 'temperature', 'Value': 45, 'Sender': '10.0.0.13', 'Sent': 1647665444.7986257, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665444.8199165}
{'Topic': 'pressure', 'Value': 493, 'Sender': '10.0.0.12', 'Sent': 1647665444.8105078, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665444.8316023}
{'Topic': 'temperature', 'Value': 49, 'Sender': '10.0.0.17', 'Sent': 1647665444.8166296, 'Brokered': 0, 'Subscriber': '10.0.0.62', 'Received': 1647665444.8402452}
