Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['altitude', 'airquality', 'humidity', 'smell', 'location', 'light', 'temperature', 'sound']
Getting subscriber object
Binding REP to tcp://10.0.0.68:5580
Getting registry proxy
Registering with tcp://10.0.0.8:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Reply received
[{'ip': '10.0.0.12', 'port': '5571'}, {'ip': '10.0.0.17', 'port': '5571'}, {'ip': '10.0.0.16', 'port': '5571'}, {'ip': '10.0.0.13', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.12:5571
Broker subscribing to tcp://10.0.0.17:5571
Broker subscribing to tcp://10.0.0.16:5571
Broker subscribing to tcp://10.0.0.13:5571
Starting subscriber listen loop...
{'Topic': 'temperature', 'Value': 207, 'Sender': '10.0.0.13', 'Sent': 1647665443.745425, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665443.7686837}
{'Topic': 'location', 'Value': 301, 'Sender': '10.0.0.12', 'Sent': 1647665443.7759645, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665443.796855}
{'Topic': 'temperature', 'Value': 230, 'Sender': '10.0.0.13', 'Sent': 1647665443.8457537, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665443.8711429}
{'Topic': 'airquality', 'Value': 26, 'Sender': '10.0.0.12', 'Sent': 1647665443.8772414, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665443.899255}
{'Topic': 'temperature', 'Value': 203, 'Sender': '10.0.0.13', 'Sent': 1647665443.9459496, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665443.9786768}
{'Topic': 'location', 'Value': 283, 'Sender': '10.0.0.12', 'Sent': 1647665443.9856389, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665444.0095708}
{'Topic': 'temperature', 'Value': 128, 'Sender': '10.0.0.13', 'Sent': 1647665444.0479126, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665444.0722911}
{'Topic': 'location', 'Value': 480, 'Sender': '10.0.0.12', 'Sent': 1647665444.0876017, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665444.1096416}
{'Topic': 'temperature', 'Value': 452, 'Sender': '10.0.0.13', 'Sent': 1647665444.148199, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665444.1699855}
{'Topic': 'temperature', 'Value': 387, 'Sender': '10.0.0.13', 'Sent': 1647665444.2502594, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665444.2744703}
{'Topic': 'humidity', 'Value': 84, 'Sender': '10.0.0.12', 'Sent': 1647665444.2886863, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665444.3184707}
{'Topic': 'temperature', 'Value': 464, 'Sender': '10.0.0.13', 'Sent': 1647665444.35172, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665444.5020585}
{'Topic': 'temperature', 'Value': 136, 'Sender': '10.0.0.13', 'Sent': 1647665444.4952695, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665444.5273755}
{'Topic': 'airquality', 'Value': 453, 'Sender': '10.0.0.12', 'Sent': 1647665444.4750755, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665444.5337017}
{'Topic': 'temperature', 'Value': 57, 'Sender': '10.0.0.13', 'Sent': 1647665444.595711, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665444.617447}
{'Topic': 'location', 'Value': 460, 'Sender': '10.0.0.12', 'Sent': 1647665444.6096683, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665444.6311982}
{'Topic': 'temperature', 'Value': 323, 'Sender': '10.0.0.13', 'Sent': 1647665444.696299, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665444.7236252}
{'Topic': 'airquality', 'Value': 73, 'Sender': '10.0.0.12', 'Sent': 1647665444.7101307, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665444.7313237}
{'Topic': 'temperature', 'Value': 45, 'Sender': '10.0.0.13', 'Sent': 1647665444.7986257, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665444.8199537}
{'Topic': 'temperature', 'Value': 49, 'Sender': '10.0.0.17', 'Sent': 1647665444.8166296, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665444.8384671}
{'Topic': 'temperature', 'Value': 205, 'Sender': '10.0.0.13', 'Sent': 1647665444.9034715, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665444.931787}
{'Topic': 'altitude', 'Value': 454, 'Sender': '10.0.0.17', 'Sent': 1647665444.9178295, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665444.9658751}
{'Topic': 'temperature', 'Value': 218, 'Sender': '10.0.0.13', 'Sent': 1647665445.0050662, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.0271683}
{'Topic': 'sound', 'Value': 466, 'Sender': '10.0.0.17', 'Sent': 1647665445.0183113, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.0397003}
{'Topic': 'temperature', 'Value': 14, 'Sender': '10.0.0.13', 'Sent': 1647665445.1060781, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.1321306}
{'Topic': 'location', 'Value': 351, 'Sender': '10.0.0.12', 'Sent': 1647665445.111594, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.1324322}
{'Topic': 'location', 'Value': 214, 'Sender': '10.0.0.17', 'Sent': 1647665445.1216843, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.142378}
{'Topic': 'temperature', 'Value': 487, 'Sender': '10.0.0.13', 'Sent': 1647665445.2066026, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.2339485}
{'Topic': 'sound', 'Value': 164, 'Sender': '10.0.0.17', 'Sent': 1647665445.224972, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.249608}
{'Topic': 'airquality', 'Value': 32, 'Sender': '10.0.0.12', 'Sent': 1647665445.3122096, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.3398297}
{'Topic': 'temperature', 'Value': 282, 'Sender': '10.0.0.13', 'Sent': 1647665445.3092678, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.3399465}
{'Topic': 'smell', 'Value': 243, 'Sender': '10.0.0.17', 'Sent': 1647665445.3254275, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.3487492}
{'Topic': 'temperature', 'Value': 309, 'Sender': '10.0.0.13', 'Sent': 1647665445.4111648, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.4335358}
{'Topic': 'altitude', 'Value': 280, 'Sender': '10.0.0.12', 'Sent': 1647665445.4124618, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.4347389}
{'Topic': 'location', 'Value': 194, 'Sender': '10.0.0.17', 'Sent': 1647665445.4267404, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.4502857}
{'Topic': 'humidity', 'Value': 218, 'Sender': '10.0.0.12', 'Sent': 1647665445.5168614, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.5385444}
{'Topic': 'temperature', 'Value': 412, 'Sender': '10.0.0.13', 'Sent': 1647665445.517022, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.5386899}
{'Topic': 'altitude', 'Value': 226, 'Sender': '10.0.0.17', 'Sent': 1647665445.5370414, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.5767257}
{'Topic': 'temperature', 'Value': 446, 'Sender': '10.0.0.13', 'Sent': 1647665445.6173406, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.6403413}
{'Topic': 'altitude', 'Value': 110, 'Sender': '10.0.0.17', 'Sent': 1647665445.6408179, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.6648583}
{'Topic': 'humidity', 'Value': 306, 'Sender': '10.0.0.12', 'Sent': 1647665445.7184327, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.7403376}
{'Topic': 'temperature', 'Value': 276, 'Sender': '10.0.0.13', 'Sent': 1647665445.71875, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.740449}
{'Topic': 'location', 'Value': 176, 'Sender': '10.0.0.12', 'Sent': 1647665445.8190892, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.8403883}
{'Topic': 'temperature', 'Value': 89, 'Sender': '10.0.0.13', 'Sent': 1647665445.8193972, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.8406057}
{'Topic': 'temperature', 'Value': 163, 'Sender': '10.0.0.13', 'Sent': 1647665445.919768, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.940716}
{'Topic': 'humidity', 'Value': 3, 'Sender': '10.0.0.12', 'Sent': 1647665445.9200253, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.9437811}
{'Topic': 'temperature', 'Value': 210, 'Sender': '10.0.0.17', 'Sent': 1647665445.9433417, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665445.9663534}
{'Topic': 'location', 'Value': 268, 'Sender': '10.0.0.16', 'Sent': 1647665445.994086, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647665446.018914}
