Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['sound', 'location', 'temperature', 'weather']
Getting subscriber object
Binding REP to tcp://10.0.0.75:5580
Getting registry proxy
Registering with tcp://10.0.0.5:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.11', 'port': '5561'}]
{'Topic': 'sound', 'Value': 272, 'Sender': '10.0.0.12', 'Sent': 1647708085.7852023, 'Brokered': 1647708085.8106158, 'Subscriber': '10.0.0.75', 'Received': 1647708085.8362932}
{'Topic': 'temperature', 'Value': 390, 'Sender': '10.0.0.12', 'Sent': 1647708085.8882403, 'Brokered': 1647708085.912809, 'Subscriber': '10.0.0.75', 'Received': 1647708085.9373236}
{'Topic': 'location', 'Value': 83, 'Sender': '10.0.0.12', 'Sent': 1647708085.9891167, 'Brokered': 1647708086.0117083, 'Subscriber': '10.0.0.75', 'Received': 1647708086.036475}
{'Topic': 'weather', 'Value': 261, 'Sender': '10.0.0.12', 'Sent': 1647708086.0912783, 'Brokered': 1647708086.1201785, 'Subscriber': '10.0.0.75', 'Received': 1647708086.146246}
{'Topic': 'temperature', 'Value': 249, 'Sender': '10.0.0.12', 'Sent': 1647708086.1923437, 'Brokered': 1647708086.2138844, 'Subscriber': '10.0.0.75', 'Received': 1647708086.236768}
{'Topic': 'weather', 'Value': 374, 'Sender': '10.0.0.12', 'Sent': 1647708086.2927847, 'Brokered': 1647708086.3144135, 'Subscriber': '10.0.0.75', 'Received': 1647708086.3365793}
{'Topic': 'temperature', 'Value': 44, 'Sender': '10.0.0.12', 'Sent': 1647708086.5941303, 'Brokered': 1647708086.6147382, 'Subscriber': '10.0.0.75', 'Received': 1647708086.6394813}
{'Topic': 'weather', 'Value': 141, 'Sender': '10.0.0.12', 'Sent': 1647708087.0063763, 'Brokered': 1647708087.0304134, 'Subscriber': '10.0.0.75', 'Received': 1647708087.0584812}
{'Topic': 'temperature', 'Value': 376, 'Sender': '10.0.0.48', 'Sent': 1647708087.1891077, 'Brokered': 1647708087.2107687, 'Subscriber': '10.0.0.75', 'Received': 1647708087.236474}
{'Topic': 'location', 'Value': 108, 'Sender': '10.0.0.48', 'Sent': 1647708087.6026845, 'Brokered': 1647708087.6233306, 'Subscriber': '10.0.0.75', 'Received': 1647708087.645296}
{'Topic': 'location', 'Value': 49, 'Sender': '10.0.0.48', 'Sent': 1647708087.7030873, 'Brokered': 1647708087.723909, 'Subscriber': '10.0.0.75', 'Received': 1647708087.7486222}
{'Topic': 'sound', 'Value': 216, 'Sender': '10.0.0.12', 'Sent': 1647708087.7234776, 'Brokered': 1647708087.749926, 'Subscriber': '10.0.0.75', 'Received': 1647708087.787607}
{'Topic': 'location', 'Value': 403, 'Sender': '10.0.0.48', 'Sent': 1647708087.9039118, 'Brokered': 1647708087.9247634, 'Subscriber': '10.0.0.75', 'Received': 1647708087.9489598}
{'Topic': 'weather', 'Value': 331, 'Sender': '10.0.0.12', 'Sent': 1647708087.9245698, 'Brokered': 1647708087.949579, 'Subscriber': '10.0.0.75', 'Received': 1647708087.9729438}
{'Topic': 'location', 'Value': 261, 'Sender': '10.0.0.12', 'Sent': 1647708088.025128, 'Brokered': 1647708088.0457513, 'Subscriber': '10.0.0.75', 'Received': 1647708088.0683143}
{'Topic': 'location', 'Value': 58, 'Sender': '10.0.0.48', 'Sent': 1647708088.104561, 'Brokered': 1647708088.1257377, 'Subscriber': '10.0.0.75', 'Received': 1647708088.1504183}
{'Topic': 'sound', 'Value': 287, 'Sender': '10.0.0.12', 'Sent': 1647708088.1255267, 'Brokered': 1647708088.1528115, 'Subscriber': '10.0.0.75', 'Received': 1647708088.1805549}
{'Topic': 'weather', 'Value': 190, 'Sender': '10.0.0.12', 'Sent': 1647708088.3262868, 'Brokered': 1647708088.3480537, 'Subscriber': '10.0.0.75', 'Received': 1647708088.3751512}
{'Topic': 'location', 'Value': 245, 'Sender': '10.0.0.48', 'Sent': 1647708088.40671, 'Brokered': 1647708088.42726, 'Subscriber': '10.0.0.75', 'Received': 1647708088.4544995}
{'Topic': 'temperature', 'Value': 176, 'Sender': '10.0.0.48', 'Sent': 1647708088.5090034, 'Brokered': 1647708088.5302458, 'Subscriber': '10.0.0.75', 'Received': 1647708088.5550056}
