Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['altitude', 'airquality', 'weather', 'pressure', 'smell']
Getting subscriber object
Binding REP to tcp://10.0.0.76:5580
Getting registry proxy
Registering with tcp://10.0.0.5:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Reply received
[{'ip': '10.0.0.11', 'port': '5561'}]
Starting subscriber listen loop...
{'Topic': 'weather', 'Value': 261, 'Sender': '10.0.0.12', 'Sent': 1647708086.0912783, 'Brokered': 1647708086.1201785, 'Subscriber': '10.0.0.76', 'Received': 1647708086.1461172}
{'Topic': 'weather', 'Value': 374, 'Sender': '10.0.0.12', 'Sent': 1647708086.2927847, 'Brokered': 1647708086.3144135, 'Subscriber': '10.0.0.76', 'Received': 1647708086.3353896}
{'Topic': 'airquality', 'Value': 181, 'Sender': '10.0.0.12', 'Sent': 1647708086.3931053, 'Brokered': 1647708086.413794, 'Subscriber': '10.0.0.76', 'Received': 1647708086.4374366}
{'Topic': 'pressure', 'Value': 99, 'Sender': '10.0.0.12', 'Sent': 1647708086.493401, 'Brokered': 1647708086.5140727, 'Subscriber': '10.0.0.76', 'Received': 1647708086.537404}
{'Topic': 'smell', 'Value': 390, 'Sender': '10.0.0.12', 'Sent': 1647708086.7954125, 'Brokered': 1647708086.8221905, 'Subscriber': '10.0.0.76', 'Received': 1647708086.8446405}
{'Topic': 'altitude', 'Value': 106, 'Sender': '10.0.0.12', 'Sent': 1647708086.8962095, 'Brokered': 1647708086.9199307, 'Subscriber': '10.0.0.76', 'Received': 1647708086.953755}
{'Topic': 'weather', 'Value': 141, 'Sender': '10.0.0.12', 'Sent': 1647708087.0063763, 'Brokered': 1647708087.0304134, 'Subscriber': '10.0.0.76', 'Received': 1647708087.0603693}
{'Topic': 'airquality', 'Value': 55, 'Sender': '10.0.0.48', 'Sent': 1647708087.0847702, 'Brokered': 1647708087.1074371, 'Subscriber': '10.0.0.76', 'Received': 1647708087.1486938}
{'Topic': 'altitude', 'Value': 361, 'Sender': '10.0.0.12', 'Sent': 1647708087.1072986, 'Brokered': 1647708087.138668, 'Subscriber': '10.0.0.76', 'Received': 1647708087.1637607}
{'Topic': 'altitude', 'Value': 23, 'Sender': '10.0.0.12', 'Sent': 1647708087.2076766, 'Brokered': 1647708087.2398217, 'Subscriber': '10.0.0.76', 'Received': 1647708087.2621832}
{'Topic': 'airquality', 'Value': 268, 'Sender': '10.0.0.48', 'Sent': 1647708087.3007216, 'Brokered': 1647708087.328088, 'Subscriber': '10.0.0.76', 'Received': 1647708087.3507264}
{'Topic': 'pressure', 'Value': 158, 'Sender': '10.0.0.48', 'Sent': 1647708087.4011843, 'Brokered': 1647708087.4232028, 'Subscriber': '10.0.0.76', 'Received': 1647708087.4585457}
{'Topic': 'altitude', 'Value': 71, 'Sender': '10.0.0.12', 'Sent': 1647708087.4182475, 'Brokered': 1647708087.4438632, 'Subscriber': '10.0.0.76', 'Received': 1647708087.4668665}
{'Topic': 'altitude', 'Value': 368, 'Sender': '10.0.0.48', 'Sent': 1647708087.50218, 'Brokered': 1647708087.5310876, 'Subscriber': '10.0.0.76', 'Received': 1647708087.5582063}
{'Topic': 'pressure', 'Value': 430, 'Sender': '10.0.0.12', 'Sent': 1647708087.5205104, 'Brokered': 1647708087.543526, 'Subscriber': '10.0.0.76', 'Received': 1647708087.5664313}
{'Topic': 'altitude', 'Value': 111, 'Sender': '10.0.0.12', 'Sent': 1647708087.6215441, 'Brokered': 1647708087.6422799, 'Subscriber': '10.0.0.76', 'Received': 1647708087.6651998}
{'Topic': 'altitude', 'Value': 267, 'Sender': '10.0.0.48', 'Sent': 1647708087.8034759, 'Brokered': 1647708087.8244603, 'Subscriber': '10.0.0.76', 'Received': 1647708087.8472917}
{'Topic': 'weather', 'Value': 331, 'Sender': '10.0.0.12', 'Sent': 1647708087.9245698, 'Brokered': 1647708087.949579, 'Subscriber': '10.0.0.76', 'Received': 1647708087.9715934}
{'Topic': 'altitude', 'Value': 476, 'Sender': '10.0.0.48', 'Sent': 1647708088.004203, 'Brokered': 1647708088.0277798, 'Subscriber': '10.0.0.76', 'Received': 1647708088.0505695}
{'Topic': 'airquality', 'Value': 132, 'Sender': '10.0.0.48', 'Sent': 1647708088.204968, 'Brokered': 1647708088.226329, 'Subscriber': '10.0.0.76', 'Received': 1647708088.2493138}
