Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['sound', 'location']
Getting subscriber object
Binding REP to tcp://10.0.0.79:5580
Getting registry proxy
Registering with tcp://10.0.0.2:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Starting monitor loop thread
Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.11', 'port': '5561'}]
{'Topic': 'sound', 'Value': 272, 'Sender': '10.0.0.12', 'Sent': 1647708085.7852023, 'Brokered': 1647708085.8106158, 'Subscriber': '10.0.0.79', 'Received': 1647708085.834142}
{'Topic': 'location', 'Value': 83, 'Sender': '10.0.0.12', 'Sent': 1647708085.9891167, 'Brokered': 1647708086.0117083, 'Subscriber': '10.0.0.79', 'Received': 1647708086.0344887}
{'Topic': 'location', 'Value': 108, 'Sender': '10.0.0.48', 'Sent': 1647708087.6026845, 'Brokered': 1647708087.6233306, 'Subscriber': '10.0.0.79', 'Received': 1647708087.6455934}
{'Topic': 'location', 'Value': 49, 'Sender': '10.0.0.48', 'Sent': 1647708087.7030873, 'Brokered': 1647708087.723909, 'Subscriber': '10.0.0.79', 'Received': 1647708087.7487917}
{'Topic': 'sound', 'Value': 216, 'Sender': '10.0.0.12', 'Sent': 1647708087.7234776, 'Brokered': 1647708087.749926, 'Subscriber': '10.0.0.79', 'Received': 1647708087.7877705}
{'Topic': 'location', 'Value': 403, 'Sender': '10.0.0.48', 'Sent': 1647708087.9039118, 'Brokered': 1647708087.9247634, 'Subscriber': '10.0.0.79', 'Received': 1647708087.9491127}
{'Topic': 'location', 'Value': 261, 'Sender': '10.0.0.12', 'Sent': 1647708088.025128, 'Brokered': 1647708088.0457513, 'Subscriber': '10.0.0.79', 'Received': 1647708088.0685594}
{'Topic': 'location', 'Value': 58, 'Sender': '10.0.0.48', 'Sent': 1647708088.104561, 'Brokered': 1647708088.1257377, 'Subscriber': '10.0.0.79', 'Received': 1647708088.1505954}
{'Topic': 'sound', 'Value': 287, 'Sender': '10.0.0.12', 'Sent': 1647708088.1255267, 'Brokered': 1647708088.1528115, 'Subscriber': '10.0.0.79', 'Received': 1647708088.1800919}
{'Topic': 'location', 'Value': 245, 'Sender': '10.0.0.48', 'Sent': 1647708088.40671, 'Brokered': 1647708088.42726, 'Subscriber': '10.0.0.79', 'Received': 1647708088.454677}
{'Topic': 'location', 'Value': 472, 'Sender': '10.0.0.12', 'Sent': 1647708088.5285656, 'Brokered': 1647708088.55661, 'Subscriber': '10.0.0.79', 'Received': 1647708088.5795474}
