Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['airquality', 'pressure', 'temperature', 'smell']
Getting subscriber object
Binding REP to tcp://10.0.0.81:5580
Getting registry proxy
Registering with tcp://10.0.0.2:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Request sent
Starting monitor loop thread
Starting subscriber listen loop...
{'Topic': 'temperature', 'Value': 390, 'Sender': '10.0.0.12', 'Sent': 1647708085.8882403, 'Brokered': 1647708085.912809, 'Subscriber': '10.0.0.81', 'Received': 1647708085.9355628}
Reply received
[{'ip': '10.0.0.11', 'port': '5561'}]
{'Topic': 'temperature', 'Value': 249, 'Sender': '10.0.0.12', 'Sent': 1647708086.1923437, 'Brokered': 1647708086.2138844, 'Subscriber': '10.0.0.81', 'Received': 1647708086.2376251}
{'Topic': 'airquality', 'Value': 181, 'Sender': '10.0.0.12', 'Sent': 1647708086.3931053, 'Brokered': 1647708086.413794, 'Subscriber': '10.0.0.81', 'Received': 1647708086.4359517}
{'Topic': 'pressure', 'Value': 99, 'Sender': '10.0.0.12', 'Sent': 1647708086.493401, 'Brokered': 1647708086.5140727, 'Subscriber': '10.0.0.81', 'Received': 1647708086.5375772}
{'Topic': 'temperature', 'Value': 44, 'Sender': '10.0.0.12', 'Sent': 1647708086.5941303, 'Brokered': 1647708086.6147382, 'Subscriber': '10.0.0.81', 'Received': 1647708086.6388931}
{'Topic': 'smell', 'Value': 390, 'Sender': '10.0.0.12', 'Sent': 1647708086.7954125, 'Brokered': 1647708086.8221905, 'Subscriber': '10.0.0.81', 'Received': 1647708086.8460677}
{'Topic': 'airquality', 'Value': 55, 'Sender': '10.0.0.48', 'Sent': 1647708087.0847702, 'Brokered': 1647708087.1074371, 'Subscriber': '10.0.0.81', 'Received': 1647708087.149011}
{'Topic': 'temperature', 'Value': 376, 'Sender': '10.0.0.48', 'Sent': 1647708087.1891077, 'Brokered': 1647708087.2107687, 'Subscriber': '10.0.0.81', 'Received': 1647708087.2372448}
{'Topic': 'airquality', 'Value': 268, 'Sender': '10.0.0.48', 'Sent': 1647708087.3007216, 'Brokered': 1647708087.328088, 'Subscriber': '10.0.0.81', 'Received': 1647708087.349426}
{'Topic': 'pressure', 'Value': 158, 'Sender': '10.0.0.48', 'Sent': 1647708087.4011843, 'Brokered': 1647708087.4232028, 'Subscriber': '10.0.0.81', 'Received': 1647708087.4587362}
{'Topic': 'pressure', 'Value': 430, 'Sender': '10.0.0.12', 'Sent': 1647708087.5205104, 'Brokered': 1647708087.543526, 'Subscriber': '10.0.0.81', 'Received': 1647708087.565713}
{'Topic': 'airquality', 'Value': 132, 'Sender': '10.0.0.48', 'Sent': 1647708088.204968, 'Brokered': 1647708088.226329, 'Subscriber': '10.0.0.81', 'Received': 1647708088.2487864}
{'Topic': 'airquality', 'Value': 439, 'Sender': '10.0.0.48', 'Sent': 1647708088.3052602, 'Brokered': 1647708088.3266494, 'Subscriber': '10.0.0.81', 'Received': 1647708088.3485122}
{'Topic': 'temperature', 'Value': 176, 'Sender': '10.0.0.48', 'Sent': 1647708088.5090034, 'Brokered': 1647708088.5302458, 'Subscriber': '10.0.0.81', 'Received': 1647708088.5547862}
{'Topic': 'airquality', 'Value': 232, 'Sender': '10.0.0.12', 'Sent': 1647708089.032528, 'Brokered': 1647708089.053181, 'Subscriber': '10.0.0.81', 'Received': 1647708089.075006}
{'Topic': 'pressure', 'Value': 155, 'Sender': '10.0.0.12', 'Sent': 1647708089.1372144, 'Brokered': 1647708089.1649444, 'Subscriber': '10.0.0.81', 'Received': 1647708089.186773}
{'Topic': 'pressure', 'Value': 292, 'Sender': '10.0.0.12', 'Sent': 1647708089.3449664, 'Brokered': 1647708089.3670967, 'Subscriber': '10.0.0.81', 'Received': 1647708089.3885767}
{'Topic': 'temperature', 'Value': 431, 'Sender': '10.0.0.12', 'Sent': 1647708089.4479392, 'Brokered': 1647708089.4692106, 'Subscriber': '10.0.0.81', 'Received': 1647708089.4914453}
{'Topic': 'pressure', 'Value': 217, 'Sender': '10.0.0.12', 'Sent': 1647708089.54835, 'Brokered': 1647708089.5686858, 'Subscriber': '10.0.0.81', 'Received': 1647708089.5948732}
{'Topic': 'pressure', 'Value': 145, 'Sender': '10.0.0.12', 'Sent': 1647708089.6502323, 'Brokered': 1647708089.673199, 'Subscriber': '10.0.0.81', 'Received': 1647708089.6953895}
{'Topic': 'pressure', 'Value': 100, 'Sender': '10.0.0.48', 'Sent': 1647708089.7236774, 'Brokered': 1647708089.7472265, 'Subscriber': '10.0.0.81', 'Received': 1647708089.770911}
{'Topic': 'pressure', 'Value': 461, 'Sender': '10.0.0.48', 'Sent': 1647708089.8240614, 'Brokered': 1647708089.845014, 'Subscriber': '10.0.0.81', 'Received': 1647708089.86729}
{'Topic': 'smell', 'Value': 82, 'Sender': '10.0.0.12', 'Sent': 1647708089.8506925, 'Brokered': 1647708089.873287, 'Subscriber': '10.0.0.81', 'Received': 1647708089.896598}
{'Topic': 'temperature', 'Value': 290, 'Sender': '10.0.0.12', 'Sent': 1647708089.9509792, 'Brokered': 1647708089.9716263, 'Subscriber': '10.0.0.81', 'Received': 1647708089.9948602}
{'Topic': 'pressure', 'Value': 373, 'Sender': '10.0.0.48', 'Sent': 1647708090.1251445, 'Brokered': 1647708090.14567, 'Subscriber': '10.0.0.81', 'Received': 1647708090.1679604}
{'Topic': 'smell', 'Value': 251, 'Sender': '10.0.0.12', 'Sent': 1647708090.3543532, 'Brokered': 1647708090.3781285, 'Subscriber': '10.0.0.81', 'Received': 1647708090.4046595}
{'Topic': 'temperature', 'Value': 371, 'Sender': '10.0.0.12', 'Sent': 1647708090.4547129, 'Brokered': 1647708090.4762373, 'Subscriber': '10.0.0.81', 'Received': 1647708090.498222}
{'Topic': 'pressure', 'Value': 251, 'Sender': '10.0.0.12', 'Sent': 1647708090.6613252, 'Brokered': 1647708090.685144, 'Subscriber': '10.0.0.81', 'Received': 1647708090.7085512}
{'Topic': 'temperature', 'Value': 485, 'Sender': '10.0.0.12', 'Sent': 1647708090.7616622, 'Brokered': 1647708090.7829432, 'Subscriber': '10.0.0.81', 'Received': 1647708090.8140469}
{'Topic': 'pressure', 'Value': 38, 'Sender': '10.0.0.12', 'Sent': 1647708090.962435, 'Brokered': 1647708090.9868145, 'Subscriber': '10.0.0.81', 'Received': 1647708091.0108964}
