Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['light', 'temperature', 'altitude', 'airquality', 'weather', 'sound', 'pressure', 'smell', 'humidity']
Getting subscriber object
Binding REP to tcp://10.0.0.96:5580
Getting registry proxy
Registering with tcp://10.0.0.7:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Request sent
Starting monitor loop thread
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.12', 'port': '5571'}, {'ip': '10.0.0.20', 'port': '5571'}, {'ip': '10.0.0.17', 'port': '5571'}, {'ip': '10.0.0.16', 'port': '5571'}, {'ip': '10.0.0.13', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.12:5571
Broker subscribing to tcp://10.0.0.20:5571
Broker subscribing to tcp://10.0.0.17:5571
Broker subscribing to tcp://10.0.0.16:5571
Broker subscribing to tcp://10.0.0.13:5571
{'Topic': 'pressure', 'Value': 203, 'Sender': '10.0.0.17', 'Sent': 1647665445.842681, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665445.8660674}
{'Topic': 'humidity', 'Value': 3, 'Sender': '10.0.0.12', 'Sent': 1647665445.9200253, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665445.9432254}
{'Topic': 'temperature', 'Value': 163, 'Sender': '10.0.0.13', 'Sent': 1647665445.919768, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665445.9433722}
{'Topic': 'temperature', 'Value': 210, 'Sender': '10.0.0.17', 'Sent': 1647665445.9433417, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665445.968138}
{'Topic': 'altitude', 'Value': 297, 'Sender': '10.0.0.12', 'Sent': 1647665446.0204394, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.0449893}
{'Topic': 'temperature', 'Value': 420, 'Sender': '10.0.0.13', 'Sent': 1647665446.0202608, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.046863}
{'Topic': 'temperature', 'Value': 199, 'Sender': '10.0.0.17', 'Sent': 1647665446.0440042, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.0694494}
{'Topic': 'airquality', 'Value': 132, 'Sender': '10.0.0.16', 'Sent': 1647665446.0954041, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.1201625}
{'Topic': 'light', 'Value': 144, 'Sender': '10.0.0.12', 'Sent': 1647665446.121234, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.152707}
{'Topic': 'temperature', 'Value': 80, 'Sender': '10.0.0.13', 'Sent': 1647665446.1210287, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.1529562}
{'Topic': 'pressure', 'Value': 441, 'Sender': '10.0.0.17', 'Sent': 1647665446.145293, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.174901}
{'Topic': 'humidity', 'Value': 289, 'Sender': '10.0.0.16', 'Sent': 1647665446.1959505, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.220112}
{'Topic': 'weather', 'Value': 376, 'Sender': '10.0.0.12', 'Sent': 1647665446.2218277, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.2478054}
{'Topic': 'temperature', 'Value': 57, 'Sender': '10.0.0.13', 'Sent': 1647665446.22239, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.248111}
{'Topic': 'pressure', 'Value': 238, 'Sender': '10.0.0.17', 'Sent': 1647665446.2476368, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.2719154}
{'Topic': 'light', 'Value': 146, 'Sender': '10.0.0.16', 'Sent': 1647665446.296733, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.3197773}
{'Topic': 'humidity', 'Value': 238, 'Sender': '10.0.0.12', 'Sent': 1647665446.3222666, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.3457153}
{'Topic': 'temperature', 'Value': 335, 'Sender': '10.0.0.13', 'Sent': 1647665446.3228202, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.3458476}
{'Topic': 'altitude', 'Value': 389, 'Sender': '10.0.0.17', 'Sent': 1647665446.3480008, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.372731}
{'Topic': 'altitude', 'Value': 173, 'Sender': '10.0.0.16', 'Sent': 1647665446.3973584, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.4214911}
{'Topic': 'airquality', 'Value': 271, 'Sender': '10.0.0.12', 'Sent': 1647665446.422899, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.4484334}
{'Topic': 'temperature', 'Value': 158, 'Sender': '10.0.0.13', 'Sent': 1647665446.4233513, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.4489994}
{'Topic': 'humidity', 'Value': 173, 'Sender': '10.0.0.17', 'Sent': 1647665446.4486313, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.473462}
{'Topic': 'altitude', 'Value': 306, 'Sender': '10.0.0.16', 'Sent': 1647665446.499129, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.522307}
{'Topic': 'weather', 'Value': 175, 'Sender': '10.0.0.12', 'Sent': 1647665446.5234292, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.5508764}
{'Topic': 'temperature', 'Value': 350, 'Sender': '10.0.0.13', 'Sent': 1647665446.523877, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.5509996}
{'Topic': 'airquality', 'Value': 368, 'Sender': '10.0.0.17', 'Sent': 1647665446.5492742, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.5729084}
{'Topic': 'altitude', 'Value': 119, 'Sender': '10.0.0.16', 'Sent': 1647665446.6006372, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.6259396}
{'Topic': 'pressure', 'Value': 183, 'Sender': '10.0.0.12', 'Sent': 1647665446.623855, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.6486704}
{'Topic': 'temperature', 'Value': 190, 'Sender': '10.0.0.13', 'Sent': 1647665446.6247191, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.6487896}
{'Topic': 'pressure', 'Value': 99, 'Sender': '10.0.0.17', 'Sent': 1647665446.6498117, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.6731548}
{'Topic': 'humidity', 'Value': 32, 'Sender': '10.0.0.12', 'Sent': 1647665446.7242873, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.746252}
{'Topic': 'temperature', 'Value': 232, 'Sender': '10.0.0.13', 'Sent': 1647665446.7264314, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.7506623}
{'Topic': 'pressure', 'Value': 186, 'Sender': '10.0.0.17', 'Sent': 1647665446.7502413, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.7721608}
{'Topic': 'light', 'Value': 274, 'Sender': '10.0.0.16', 'Sent': 1647665446.801324, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.8248167}
{'Topic': 'temperature', 'Value': 335, 'Sender': '10.0.0.13', 'Sent': 1647665446.8267965, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.851108}
{'Topic': 'airquality', 'Value': 366, 'Sender': '10.0.0.17', 'Sent': 1647665446.850587, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.8735654}
{'Topic': 'altitude', 'Value': 29, 'Sender': '10.0.0.16', 'Sent': 1647665446.9042256, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.930045}
{'Topic': 'temperature', 'Value': 490, 'Sender': '10.0.0.13', 'Sent': 1647665446.9286683, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.954704}
{'Topic': 'sound', 'Value': 247, 'Sender': '10.0.0.17', 'Sent': 1647665446.9522882, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665446.9783459}
{'Topic': 'airquality', 'Value': 108, 'Sender': '10.0.0.16', 'Sent': 1647665447.004698, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665447.027641}
{'Topic': 'humidity', 'Value': 345, 'Sender': '10.0.0.12', 'Sent': 1647665447.028983, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665447.0528476}
{'Topic': 'temperature', 'Value': 433, 'Sender': '10.0.0.13', 'Sent': 1647665447.0289829, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665447.0529697}
{'Topic': 'temperature', 'Value': 98, 'Sender': '10.0.0.17', 'Sent': 1647665447.0526524, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665447.0758698}
{'Topic': 'humidity', 'Value': 345, 'Sender': '10.0.0.16', 'Sent': 1647665447.1053565, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665447.1312933}
{'Topic': 'airquality', 'Value': 48, 'Sender': '10.0.0.12', 'Sent': 1647665447.1293046, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665447.1551752}
{'Topic': 'temperature', 'Value': 274, 'Sender': '10.0.0.13', 'Sent': 1647665447.1293366, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665447.1552937}
{'Topic': 'airquality', 'Value': 260, 'Sender': '10.0.0.17', 'Sent': 1647665447.1530967, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665447.1763563}
{'Topic': 'humidity', 'Value': 35, 'Sender': '10.0.0.16', 'Sent': 1647665447.2056904, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665447.228468}
{'Topic': 'light', 'Value': 199, 'Sender': '10.0.0.12', 'Sent': 1647665447.2295475, 'Brokered': 0, 'Subscriber': '10.0.0.96', 'Received': 1647665447.2530696}
