Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['temperature']
Getting subscriber object
Binding REP to tcp://10.0.0.109:5580
Getting registry proxy
Registering with tcp://10.0.0.9:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5571
Subscribing to tcp://10.0.0.56:5571
Starting update loop thread
Fetching updates from registry...
Request sent
Starting monitor loop thread
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.11', 'port': '5571'}, {'ip': '10.0.0.56', 'port': '5571'}, {'ip': '10.0.0.13', 'port': '5571'}, {'ip': '10.0.0.23', 'port': '5571'}, {'ip': '10.0.0.12', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.13:5571
Broker subscribing to tcp://10.0.0.23:5571
Broker subscribing to tcp://10.0.0.12:5571
{'Topic': 'temperature', 'Value': 198, 'Sender': '10.0.0.11', 'Sent': 1647665085.8448024, 'Brokered': 0, 'Subscriber': '10.0.0.109', 'Received': 1647665085.867177}
{'Topic': 'temperature', 'Value': 282, 'Sender': '10.0.0.11', 'Sent': 1647665085.9451692, 'Brokered': 0, 'Subscriber': '10.0.0.109', 'Received': 1647665085.9693515}
{'Topic': 'temperature', 'Value': 285, 'Sender': '10.0.0.56', 'Sent': 1647665086.7768831, 'Brokered': 0, 'Subscriber': '10.0.0.109', 'Received': 1647665086.8051794}
{'Topic': 'temperature', 'Value': 264, 'Sender': '10.0.0.56', 'Sent': 1647665087.0806444, 'Brokered': 0, 'Subscriber': '10.0.0.109', 'Received': 1647665087.1061842}
{'Topic': 'temperature', 'Value': 235, 'Sender': '10.0.0.11', 'Sent': 1647665087.4551783, 'Brokered': 0, 'Subscriber': '10.0.0.109', 'Received': 1647665087.4775112}
{'Topic': 'temperature', 'Value': 223, 'Sender': '10.0.0.11', 'Sent': 1647665087.6564734, 'Brokered': 0, 'Subscriber': '10.0.0.109', 'Received': 1647665087.6803415}
{'Topic': 'temperature', 'Value': 261, 'Sender': '10.0.0.56', 'Sent': 1647665088.086167, 'Brokered': 0, 'Subscriber': '10.0.0.109', 'Received': 1647665088.112259}
{'Topic': 'temperature', 'Value': 26, 'Sender': '10.0.0.56', 'Sent': 1647665088.1866293, 'Brokered': 0, 'Subscriber': '10.0.0.109', 'Received': 1647665088.2123814}
{'Topic': 'temperature', 'Value': 208, 'Sender': '10.0.0.56', 'Sent': 1647665088.390407, 'Brokered': 0, 'Subscriber': '10.0.0.109', 'Received': 1647665088.4128091}
{'Topic': 'temperature', 'Value': 488, 'Sender': '10.0.0.11', 'Sent': 1647665088.7663264, 'Brokered': 0, 'Subscriber': '10.0.0.109', 'Received': 1647665088.7897198}
{'Topic': 'temperature', 'Value': 355, 'Sender': '10.0.0.11', 'Sent': 1647665089.2691681, 'Brokered': 0, 'Subscriber': '10.0.0.109', 'Received': 1647665089.2916121}
{'Topic': 'temperature', 'Value': 96, 'Sender': '10.0.0.11', 'Sent': 1647665089.680117, 'Brokered': 0, 'Subscriber': '10.0.0.109', 'Received': 1647665089.7030733}
{'Topic': 'temperature', 'Value': 148, 'Sender': '10.0.0.11', 'Sent': 1647665089.780569, 'Brokered': 0, 'Subscriber': '10.0.0.109', 'Received': 1647665089.80398}
{'Topic': 'temperature', 'Value': 294, 'Sender': '10.0.0.11', 'Sent': 1647665089.8835163, 'Brokered': 0, 'Subscriber': '10.0.0.109', 'Received': 1647665089.9089139}
{'Topic': 'temperature', 'Value': 371, 'Sender': '10.0.0.56', 'Sent': 1647665090.5051877, 'Brokered': 0, 'Subscriber': '10.0.0.109', 'Received': 1647665090.5268135}
