Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['location', 'smell', 'light', 'weather', 'pressure', 'airquality', 'sound', 'temperature', 'altitude']
Getting subscriber object
Binding REP to tcp://10.0.0.63:5580
Getting registry proxy
Registering with tcp://10.0.0.9:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5571
Subscribing to tcp://10.0.0.56:5571
Subscribing to tcp://10.0.0.13:5571
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
{'Topic': 'location', 'Value': 309, 'Sender': '10.0.0.11', 'Sent': 1647665084.311615, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665084.3363287}
{'Topic': 'temperature', 'Value': 463, 'Sender': '10.0.0.11', 'Sent': 1647665084.4120393, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665084.4358256}
Reply received
[{'ip': '10.0.0.11', 'port': '5571'}, {'ip': '10.0.0.56', 'port': '5571'}, {'ip': '10.0.0.13', 'port': '5571'}, {'ip': '10.0.0.23', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.23:5571
{'Topic': 'weather', 'Value': 54, 'Sender': '10.0.0.11', 'Sent': 1647665084.5231981, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665084.5577283}
{'Topic': 'weather', 'Value': 19, 'Sender': '10.0.0.11', 'Sent': 1647665084.6329377, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665084.6649325}
{'Topic': 'altitude', 'Value': 32, 'Sender': '10.0.0.11', 'Sent': 1647665084.7371144, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665084.7617264}
{'Topic': 'weather', 'Value': 27, 'Sender': '10.0.0.11', 'Sent': 1647665084.837754, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665084.8699594}
{'Topic': 'altitude', 'Value': 360, 'Sender': '10.0.0.11', 'Sent': 1647665084.9382899, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665084.9603374}
{'Topic': 'altitude', 'Value': 210, 'Sender': '10.0.0.11', 'Sent': 1647665085.0387275, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665085.0618405}
{'Topic': 'location', 'Value': 63, 'Sender': '10.0.0.11', 'Sent': 1647665085.1393583, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665085.1669447}
{'Topic': 'light', 'Value': 105, 'Sender': '10.0.0.11', 'Sent': 1647665085.239714, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665085.2622993}
{'Topic': 'altitude', 'Value': 468, 'Sender': '10.0.0.11', 'Sent': 1647665085.3401206, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665085.363636}
{'Topic': 'temperature', 'Value': 314, 'Sender': '10.0.0.11', 'Sent': 1647665085.4407089, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665085.4638183}
{'Topic': 'altitude', 'Value': 286, 'Sender': '10.0.0.11', 'Sent': 1647665085.5427, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665085.5652678}
{'Topic': 'altitude', 'Value': 243, 'Sender': '10.0.0.11', 'Sent': 1647665085.744434, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665085.7691023}
{'Topic': 'altitude', 'Value': 15, 'Sender': '10.0.0.56', 'Sent': 1647665085.766816, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665085.7933137}
{'Topic': 'temperature', 'Value': 198, 'Sender': '10.0.0.11', 'Sent': 1647665085.8448024, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665085.8668675}
{'Topic': 'altitude', 'Value': 389, 'Sender': '10.0.0.56', 'Sent': 1647665085.8681219, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665085.8908885}
{'Topic': 'temperature', 'Value': 282, 'Sender': '10.0.0.11', 'Sent': 1647665085.9451692, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665085.9673142}
{'Topic': 'sound', 'Value': 278, 'Sender': '10.0.0.11', 'Sent': 1647665086.0454297, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665086.0705912}
{'Topic': 'sound', 'Value': 495, 'Sender': '10.0.0.11', 'Sent': 1647665086.14723, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665086.173339}
{'Topic': 'altitude', 'Value': 261, 'Sender': '10.0.0.56', 'Sent': 1647665086.170707, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665086.195379}
{'Topic': 'airquality', 'Value': 369, 'Sender': '10.0.0.13', 'Sent': 1647665086.2131453, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665086.2378902}
{'Topic': 'weather', 'Value': 56, 'Sender': '10.0.0.11', 'Sent': 1647665086.248234, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665086.2724562}
{'Topic': 'weather', 'Value': 36, 'Sender': '10.0.0.56', 'Sent': 1647665086.271218, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665086.2937033}
{'Topic': 'weather', 'Value': 73, 'Sender': '10.0.0.13', 'Sent': 1647665086.320009, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665086.3459735}
{'Topic': 'weather', 'Value': 310, 'Sender': '10.0.0.11', 'Sent': 1647665086.348871, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665086.372871}
{'Topic': 'airquality', 'Value': 167, 'Sender': '10.0.0.56', 'Sent': 1647665086.3735247, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665086.4002151}
{'Topic': 'weather', 'Value': 231, 'Sender': '10.0.0.13', 'Sent': 1647665086.4205124, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665086.4526076}
{'Topic': 'altitude', 'Value': 444, 'Sender': '10.0.0.11', 'Sent': 1647665086.449189, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665086.4731588}
{'Topic': 'light', 'Value': 430, 'Sender': '10.0.0.56', 'Sent': 1647665086.4737616, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665086.5173063}
{'Topic': 'weather', 'Value': 132, 'Sender': '10.0.0.13', 'Sent': 1647665086.521289, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665086.5524068}
{'Topic': 'airquality', 'Value': 404, 'Sender': '10.0.0.11', 'Sent': 1647665086.5506918, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665086.5783513}
{'Topic': 'pressure', 'Value': 336, 'Sender': '10.0.0.56', 'Sent': 1647665086.5751295, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665086.6042094}
{'Topic': 'weather', 'Value': 93, 'Sender': '10.0.0.13', 'Sent': 1647665086.6218927, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665086.6428115}
{'Topic': 'pressure', 'Value': 367, 'Sender': '10.0.0.11', 'Sent': 1647665086.651061, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665086.6747868}
{'Topic': 'location', 'Value': 136, 'Sender': '10.0.0.56', 'Sent': 1647665086.6756601, 'Brokered': 0, 'Subscriber': '10.0.0.63', 'Received': 1647665086.700779}
