Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['airquality', 'humidity', 'altitude', 'light', 'location', 'smell', 'temperature', 'pressure', 'sound']
Getting subscriber object
Binding REP to tcp://10.0.0.71:5580
Getting registry proxy
Registering with tcp://10.0.0.5:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5571
Subscribing to tcp://10.0.0.56:5571
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.11', 'port': '5571'}, {'ip': '10.0.0.56', 'port': '5571'}]
{'Topic': 'altitude', 'Value': 95, 'Sender': '10.0.0.11', 'Sent': 1647665083.6033146, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647665083.6250017}
{'Topic': 'light', 'Value': 304, 'Sender': '10.0.0.11', 'Sent': 1647665083.804921, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647665083.8269496}
{'Topic': 'light', 'Value': 277, 'Sender': '10.0.0.11', 'Sent': 1647665083.9055374, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647665083.9269407}
{'Topic': 'altitude', 'Value': 70, 'Sender': '10.0.0.11', 'Sent': 1647665084.0075383, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647665084.0293787}
{'Topic': 'sound', 'Value': 140, 'Sender': '10.0.0.11', 'Sent': 1647665084.1094007, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647665084.1326752}
{'Topic': 'humidity', 'Value': 264, 'Sender': '10.0.0.11', 'Sent': 1647665084.210609, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647665084.238133}
{'Topic': 'location', 'Value': 309, 'Sender': '10.0.0.11', 'Sent': 1647665084.311615, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647665084.335117}
{'Topic': 'temperature', 'Value': 463, 'Sender': '10.0.0.11', 'Sent': 1647665084.4120393, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647665084.435603}
{'Topic': 'altitude', 'Value': 32, 'Sender': '10.0.0.11', 'Sent': 1647665084.7371144, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647665084.7599454}
{'Topic': 'altitude', 'Value': 360, 'Sender': '10.0.0.11', 'Sent': 1647665084.9382899, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647665084.959206}
{'Topic': 'altitude', 'Value': 210, 'Sender': '10.0.0.11', 'Sent': 1647665085.0387275, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647665085.061492}
