Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['sound', 'temperature', 'altitude']
Getting subscriber object
Binding REP to tcp://10.0.0.99:5580
Getting registry proxy
Registering with tcp://10.0.0.2:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5571
Subscribing to tcp://10.0.0.56:5571
Subscribing to tcp://10.0.0.23:5571
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.11', 'port': '5571'}, {'ip': '10.0.0.56', 'port': '5571'}, {'ip': '10.0.0.13', 'port': '5571'}, {'ip': '10.0.0.23', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.13:5571
{'Topic': 'altitude', 'Value': 360, 'Sender': '10.0.0.11', 'Sent': 1647665084.9382899, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665084.960679}
{'Topic': 'altitude', 'Value': 210, 'Sender': '10.0.0.11', 'Sent': 1647665085.0387275, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665085.062325}
{'Topic': 'altitude', 'Value': 468, 'Sender': '10.0.0.11', 'Sent': 1647665085.3401206, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665085.3628013}
{'Topic': 'temperature', 'Value': 314, 'Sender': '10.0.0.11', 'Sent': 1647665085.4407089, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665085.464843}
{'Topic': 'altitude', 'Value': 286, 'Sender': '10.0.0.11', 'Sent': 1647665085.5427, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665085.56546}
{'Topic': 'altitude', 'Value': 243, 'Sender': '10.0.0.11', 'Sent': 1647665085.744434, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665085.7696996}
{'Topic': 'altitude', 'Value': 15, 'Sender': '10.0.0.56', 'Sent': 1647665085.766816, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665085.7951274}
{'Topic': 'temperature', 'Value': 198, 'Sender': '10.0.0.11', 'Sent': 1647665085.8448024, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665085.868914}
{'Topic': 'altitude', 'Value': 389, 'Sender': '10.0.0.56', 'Sent': 1647665085.8681219, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665085.891066}
{'Topic': 'temperature', 'Value': 282, 'Sender': '10.0.0.11', 'Sent': 1647665085.9451692, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665085.968783}
{'Topic': 'sound', 'Value': 278, 'Sender': '10.0.0.11', 'Sent': 1647665086.0454297, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665086.0714262}
{'Topic': 'sound', 'Value': 495, 'Sender': '10.0.0.11', 'Sent': 1647665086.14723, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665086.1740835}
{'Topic': 'altitude', 'Value': 261, 'Sender': '10.0.0.56', 'Sent': 1647665086.170707, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665086.1953256}
{'Topic': 'altitude', 'Value': 444, 'Sender': '10.0.0.11', 'Sent': 1647665086.449189, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665086.4722261}
{'Topic': 'temperature', 'Value': 285, 'Sender': '10.0.0.56', 'Sent': 1647665086.7768831, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665086.805357}
{'Topic': 'sound', 'Value': 426, 'Sender': '10.0.0.11', 'Sent': 1647665087.053691, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665087.0764635}
{'Topic': 'temperature', 'Value': 264, 'Sender': '10.0.0.56', 'Sent': 1647665087.0806444, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665087.1064188}
{'Topic': 'altitude', 'Value': 458, 'Sender': '10.0.0.23', 'Sent': 1647665087.1648822, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665087.1861362}
{'Topic': 'sound', 'Value': 206, 'Sender': '10.0.0.11', 'Sent': 1647665087.2546353, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665087.2789152}
{'Topic': 'altitude', 'Value': 113, 'Sender': '10.0.0.11', 'Sent': 1647665087.3548405, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665087.3776708}
{'Topic': 'temperature', 'Value': 235, 'Sender': '10.0.0.11', 'Sent': 1647665087.4551783, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665087.4777164}
{'Topic': 'altitude', 'Value': 464, 'Sender': '10.0.0.23', 'Sent': 1647665087.4678447, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665087.4907622}
{'Topic': 'temperature', 'Value': 223, 'Sender': '10.0.0.11', 'Sent': 1647665087.6564734, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665087.6801093}
{'Topic': 'sound', 'Value': 492, 'Sender': '10.0.0.11', 'Sent': 1647665087.857444, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665087.8811362}
{'Topic': 'altitude', 'Value': 71, 'Sender': '10.0.0.23', 'Sent': 1647665087.9732842, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665087.9945326}
{'Topic': 'temperature', 'Value': 261, 'Sender': '10.0.0.56', 'Sent': 1647665088.086167, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665088.1103208}
{'Topic': 'temperature', 'Value': 26, 'Sender': '10.0.0.56', 'Sent': 1647665088.1866293, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665088.2124698}
{'Topic': 'temperature', 'Value': 208, 'Sender': '10.0.0.56', 'Sent': 1647665088.390407, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665088.4128227}
{'Topic': 'sound', 'Value': 328, 'Sender': '10.0.0.56', 'Sent': 1647665088.4908488, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665088.5132754}
{'Topic': 'sound', 'Value': 397, 'Sender': '10.0.0.56', 'Sent': 1647665088.6918213, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665088.7157164}
{'Topic': 'temperature', 'Value': 488, 'Sender': '10.0.0.11', 'Sent': 1647665088.7663264, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665088.7908113}
{'Topic': 'altitude', 'Value': 290, 'Sender': '10.0.0.23', 'Sent': 1647665088.7807472, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665088.8020823}
{'Topic': 'altitude', 'Value': 285, 'Sender': '10.0.0.56', 'Sent': 1647665088.7926207, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665088.8165195}
{'Topic': 'altitude', 'Value': 63, 'Sender': '10.0.0.23', 'Sent': 1647665088.8810856, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665088.9019485}
{'Topic': 'sound', 'Value': 209, 'Sender': '10.0.0.56', 'Sent': 1647665088.8928225, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665088.9159248}
{'Topic': 'altitude', 'Value': 476, 'Sender': '10.0.0.23', 'Sent': 1647665088.9812908, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665089.0023704}
{'Topic': 'sound', 'Value': 369, 'Sender': '10.0.0.11', 'Sent': 1647665089.068085, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665089.0935583}
{'Topic': 'sound', 'Value': 214, 'Sender': '10.0.0.11', 'Sent': 1647665089.1688154, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665089.1919007}
{'Topic': 'temperature', 'Value': 355, 'Sender': '10.0.0.11', 'Sent': 1647665089.2691681, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665089.2925096}
{'Topic': 'altitude', 'Value': 174, 'Sender': '10.0.0.56', 'Sent': 1647665089.296659, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665089.3191223}
{'Topic': 'sound', 'Value': 173, 'Sender': '10.0.0.56', 'Sent': 1647665089.3971062, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665089.420719}
{'Topic': 'sound', 'Value': 420, 'Sender': '10.0.0.11', 'Sent': 1647665089.4706056, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665089.4975228}
{'Topic': 'altitude', 'Value': 69, 'Sender': '10.0.0.11', 'Sent': 1647665089.5792067, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665089.603579}
{'Topic': 'altitude', 'Value': 209, 'Sender': '10.0.0.23', 'Sent': 1647665089.5873957, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665089.6135507}
{'Topic': 'temperature', 'Value': 96, 'Sender': '10.0.0.11', 'Sent': 1647665089.680117, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665089.7034757}
{'Topic': 'altitude', 'Value': 342, 'Sender': '10.0.0.23', 'Sent': 1647665089.687764, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665089.7122855}
{'Topic': 'sound', 'Value': 495, 'Sender': '10.0.0.56', 'Sent': 1647665089.6994114, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665089.7272556}
{'Topic': 'temperature', 'Value': 148, 'Sender': '10.0.0.11', 'Sent': 1647665089.780569, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665089.8027215}
{'Topic': 'temperature', 'Value': 294, 'Sender': '10.0.0.11', 'Sent': 1647665089.8835163, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665089.9087756}
{'Topic': 'altitude', 'Value': 219, 'Sender': '10.0.0.11', 'Sent': 1647665090.0898118, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665090.1133904}
{'Topic': 'altitude', 'Value': 109, 'Sender': '10.0.0.23', 'Sent': 1647665090.0949135, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665090.1227355}
{'Topic': 'sound', 'Value': 348, 'Sender': '10.0.0.11', 'Sent': 1647665090.1902063, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665090.2169995}
{'Topic': 'altitude', 'Value': 18, 'Sender': '10.0.0.23', 'Sent': 1647665090.299148, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665090.3210785}
{'Topic': 'temperature', 'Value': 371, 'Sender': '10.0.0.56', 'Sent': 1647665090.5051877, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665090.5261366}
{'Topic': 'altitude', 'Value': 483, 'Sender': '10.0.0.11', 'Sent': 1647665090.693169, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665090.7167509}
{'Topic': 'altitude', 'Value': 47, 'Sender': '10.0.0.23', 'Sent': 1647665090.802978, 'Brokered': 0, 'Subscriber': '10.0.0.99', 'Received': 1647665090.8244002}
