Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['pressure', 'smell', 'humidity', 'weather', 'light']
Getting subscriber object
Binding REP to tcp://10.0.0.105:5580
Getting registry proxy
Registering with tcp://10.0.0.5:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
{'Topic': 'weather', 'Value': 213, 'Sender': '10.0.0.16', 'Sent': 1647710734.0683773, 'Brokered': 1647710734.1592128, 'Subscriber': '10.0.0.105', 'Received': 1647710735.275356}
{'Topic': 'light', 'Value': 263, 'Sender': '10.0.0.21', 'Sent': 1647710733.9963336, 'Brokered': 1647710734.1593776, 'Subscriber': '10.0.0.105', 'Received': 1647710735.2960904}
{'Topic': 'smell', 'Value': 297, 'Sender': '10.0.0.23', 'Sent': 1647710734.001891, 'Brokered': 1647710734.1795564, 'Subscriber': '10.0.0.105', 'Received': 1647710735.2963367}
{'Topic': 'humidity', 'Value': 405, 'Sender': '10.0.0.22', 'Sent': 1647710734.043611, 'Brokered': 1647710734.1850922, 'Subscriber': '10.0.0.105', 'Received': 1647710735.3147228}
{'Topic': 'light', 'Value': 338, 'Sender': '10.0.0.26', 'Sent': 1647710734.0212324, 'Brokered': 1647710734.2229753, 'Subscriber': '10.0.0.105', 'Received': 1647710735.3148751}
{'Topic': 'weather', 'Value': 142, 'Sender': '10.0.0.15', 'Sent': 1647710734.1232052, 'Brokered': 1647710734.2231064, 'Subscriber': '10.0.0.105', 'Received': 1647710735.314968}
{'Topic': 'weather', 'Value': 476, 'Sender': '10.0.0.15', 'Sent': 1647710734.2249913, 'Brokered': 1647710734.3059247, 'Subscriber': '10.0.0.105', 'Received': 1647710735.3819153}
{'Topic': 'weather', 'Value': 156, 'Sender': '10.0.0.16', 'Sent': 1647710734.1688771, 'Brokered': 1647710734.3060443, 'Subscriber': '10.0.0.105', 'Received': 1647710735.38205}
{'Topic': 'smell', 'Value': 262, 'Sender': '10.0.0.23', 'Sent': 1647710734.1027114, 'Brokered': 1647710734.3067386, 'Subscriber': '10.0.0.105', 'Received': 1647710735.3821998}
{'Topic': 'weather', 'Value': 159, 'Sender': '10.0.0.27', 'Sent': 1647710734.046589, 'Brokered': 1647710734.3074737, 'Subscriber': '10.0.0.105', 'Received': 1647710735.389061}
{'Topic': 'pressure', 'Value': 74, 'Sender': '10.0.0.26', 'Sent': 1647710734.1217885, 'Brokered': 1647710734.3244898, 'Subscriber': '10.0.0.105', 'Received': 1647710735.3892646}
{'Topic': 'pressure', 'Value': 424, 'Sender': '10.0.0.21', 'Sent': 1647710734.1982121, 'Brokered': 1647710734.3424203, 'Subscriber': '10.0.0.105', 'Received': 1647710735.4022958}
{'Topic': 'smell', 'Value': 270, 'Sender': '10.0.0.16', 'Sent': 1647710734.2705374, 'Brokered': 1647710734.3762012, 'Subscriber': '10.0.0.105', 'Received': 1647710737.8635728}
{'Topic': 'weather', 'Value': 35, 'Sender': '10.0.0.20', 'Sent': 1647710734.2265027, 'Brokered': 1647710734.3762968, 'Subscriber': '10.0.0.105', 'Received': 1647710737.8638418}
{'Topic': 'weather', 'Value': 310, 'Sender': '10.0.0.24', 'Sent': 1647710734.1911306, 'Brokered': 1647710734.3763995, 'Subscriber': '10.0.0.105', 'Received': 1647710737.8639772}
{'Topic': 'weather', 'Value': 334, 'Sender': '10.0.0.27', 'Sent': 1647710734.1467981, 'Brokered': 1647710734.376441, 'Subscriber': '10.0.0.105', 'Received': 1647710737.8640661}
{'Topic': 'light', 'Value': 28, 'Sender': '10.0.0.17', 'Sent': 1647710734.2950618, 'Brokered': 1647710734.3908012, 'Subscriber': '10.0.0.105', 'Received': 1647710737.864147}
{'Topic': 'light', 'Value': 49, 'Sender': '10.0.0.22', 'Sent': 1647710734.2444527, 'Brokered': 1647710734.3925116, 'Subscriber': '10.0.0.105', 'Received': 1647710737.8642237}
{'Topic': 'pressure', 'Value': 499, 'Sender': '10.0.0.26', 'Sent': 1647710734.2248662, 'Brokered': 1647710734.42589, 'Subscriber': '10.0.0.105', 'Received': 1647710737.865175}
{'Topic': 'humidity', 'Value': 275, 'Sender': '10.0.0.21', 'Sent': 1647710734.3193378, 'Brokered': 1647710734.4466956, 'Subscriber': '10.0.0.105', 'Received': 1647710737.865278}
{'Topic': 'weather', 'Value': 379, 'Sender': '10.0.0.16', 'Sent': 1647710734.3745914, 'Brokered': 1647710734.4546132, 'Subscriber': '10.0.0.105', 'Received': 1647710737.865373}
{'Topic': 'light', 'Value': 187, 'Sender': '10.0.0.22', 'Sent': 1647710734.3453696, 'Brokered': 1647710734.488767, 'Subscriber': '10.0.0.105', 'Received': 1647710737.8654578}
{'Topic': 'humidity', 'Value': 404, 'Sender': '10.0.0.15', 'Sent': 1647710734.4327912, 'Brokered': 1647710734.503091, 'Subscriber': '10.0.0.105', 'Received': 1647710737.8655343}
{'Topic': 'humidity', 'Value': 385, 'Sender': '10.0.0.16', 'Sent': 1647710734.4763112, 'Brokered': 1647710734.5551634, 'Subscriber': '10.0.0.105', 'Received': 1647710737.8656075}
{'Topic': 'pressure', 'Value': 303, 'Sender': '10.0.0.21', 'Sent': 1647710734.4226942, 'Brokered': 1647710734.5552707, 'Subscriber': '10.0.0.105', 'Received': 1647710737.874759}
{'Topic': 'pressure', 'Value': 356, 'Sender': '10.0.0.23', 'Sent': 1647710734.4241092, 'Brokered': 1647710734.5756009, 'Subscriber': '10.0.0.105', 'Received': 1647710737.8748534}
{'Topic': 'light', 'Value': 369, 'Sender': '10.0.0.15', 'Sent': 1647710734.5352092, 'Brokered': 1647710734.6002893, 'Subscriber': '10.0.0.105', 'Received': 1647710737.874934}
