Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['sound', 'temperature', 'humidity']
Getting subscriber object
Binding REP to tcp://10.0.0.106:5580
Getting registry proxy
Registering with tcp://10.0.0.2:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Starting monitor loop threadRequest sent

Starting subscriber listen loop...
{'Topic': 'temperature', 'Value': 353, 'Sender': '10.0.0.15', 'Sent': 1647701713.2499077, 'Brokered': 1647701713.310955, 'Subscriber': '10.0.0.106', 'Received': 1647701746.1032088}
{'Topic': 'sound', 'Value': 16, 'Sender': '10.0.0.15', 'Sent': 1647701713.5514565, 'Brokered': 1647701713.6129973, 'Subscriber': '10.0.0.106', 'Received': 1647701746.10561}
{'Topic': 'sound', 'Value': 2, 'Sender': '10.0.0.15', 'Sent': 1647701713.8575048, 'Brokered': 1647701713.919034, 'Subscriber': '10.0.0.106', 'Received': 1647701746.1061196}
{'Topic': 'humidity', 'Value': 25, 'Sender': '10.0.0.15', 'Sent': 1647701714.3607836, 'Brokered': 1647701714.4271398, 'Subscriber': '10.0.0.106', 'Received': 1647701746.1064599}
{'Topic': 'temperature', 'Value': 133, 'Sender': '10.0.0.15', 'Sent': 1647701715.4877608, 'Brokered': 1647701715.550336, 'Subscriber': '10.0.0.106', 'Received': 1647701746.1065671}
{'Topic': 'humidity', 'Value': 269, 'Sender': '10.0.0.15', 'Sent': 1647701715.5900013, 'Brokered': 1647701715.6532068, 'Subscriber': '10.0.0.106', 'Received': 1647701746.1067533}
{'Topic': 'sound', 'Value': 183, 'Sender': '10.0.0.15', 'Sent': 1647701715.893934, 'Brokered': 1647701715.956588, 'Subscriber': '10.0.0.106', 'Received': 1647701746.106851}
{'Topic': 'temperature', 'Value': 274, 'Sender': '10.0.0.15', 'Sent': 1647701716.1952548, 'Brokered': 1647701716.2584794, 'Subscriber': '10.0.0.106', 'Received': 1647701746.106932}
{'Topic': 'sound', 'Value': 344, 'Sender': '10.0.0.15', 'Sent': 1647701716.8009322, 'Brokered': 1647701716.864847, 'Subscriber': '10.0.0.106', 'Received': 1647701751.4665716}
{'Topic': 'humidity', 'Value': 236, 'Sender': '10.0.0.15', 'Sent': 1647701716.9023552, 'Brokered': 1647701716.9676096, 'Subscriber': '10.0.0.106', 'Received': 1647701751.4667463}
{'Topic': 'sound', 'Value': 291, 'Sender': '10.0.0.15', 'Sent': 1647701717.2075138, 'Brokered': 1647701717.2714472, 'Subscriber': '10.0.0.106', 'Received': 1647701751.46703}
{'Topic': 'temperature', 'Value': 63, 'Sender': '10.0.0.15', 'Sent': 1647701717.3080778, 'Brokered': 1647701717.3710687, 'Subscriber': '10.0.0.106', 'Received': 1647701751.467166}
{'Topic': 'humidity', 'Value': 421, 'Sender': '10.0.0.15', 'Sent': 1647701717.508801, 'Brokered': 1647701717.5714588, 'Subscriber': '10.0.0.106', 'Received': 1647701751.4672506}
