Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['airquality', 'smell', 'humidity']
Getting subscriber object
Binding REP to tcp://10.0.0.107:5580
Getting registry proxy
Registering with tcp://10.0.0.4:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...Starting subscriber listen loop...

Request sent
{'Topic': 'airquality', 'Value': 345, 'Sender': '10.0.0.15', 'Sent': 1647710695.7213175, 'Brokered': 1647710695.7872388, 'Subscriber': '10.0.0.107', 'Received': 1647710697.0013578}
{'Topic': 'airquality', 'Value': 234, 'Sender': '10.0.0.14', 'Sent': 1647710695.7365313, 'Brokered': 1647710695.7937644, 'Subscriber': '10.0.0.107', 'Received': 1647710697.001621}
{'Topic': 'smell', 'Value': 307, 'Sender': '10.0.0.16', 'Sent': 1647710695.721607, 'Brokered': 1647710695.795136, 'Subscriber': '10.0.0.107', 'Received': 1647710697.0017183}
{'Topic': 'humidity', 'Value': 54, 'Sender': '10.0.0.13', 'Sent': 1647710695.7617579, 'Brokered': 1647710695.805312, 'Subscriber': '10.0.0.107', 'Received': 1647710697.0019014}
{'Topic': 'airquality', 'Value': 82, 'Sender': '10.0.0.14', 'Sent': 1647710695.8375943, 'Brokered': 1647710695.8971395, 'Subscriber': '10.0.0.107', 'Received': 1647710697.0025034}
{'Topic': 'humidity', 'Value': 394, 'Sender': '10.0.0.13', 'Sent': 1647710695.8640676, 'Brokered': 1647710695.9074535, 'Subscriber': '10.0.0.107', 'Received': 1647710697.0026252}
{'Topic': 'airquality', 'Value': 150, 'Sender': '10.0.0.17', 'Sent': 1647710695.8309965, 'Brokered': 1647710695.9160247, 'Subscriber': '10.0.0.107', 'Received': 1647710697.002918}
{'Topic': 'smell', 'Value': 462, 'Sender': '10.0.0.21', 'Sent': 1647710695.8202164, 'Brokered': 1647710695.951569, 'Subscriber': '10.0.0.107', 'Received': 1647710699.503116}
{'Topic': 'smell', 'Value': 103, 'Sender': '10.0.0.12', 'Sent': 1647710695.927936, 'Brokered': 1647710695.9619973, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5033193}
{'Topic': 'airquality', 'Value': 302, 'Sender': '10.0.0.14', 'Sent': 1647710695.938703, 'Brokered': 1647710695.9933627, 'Subscriber': '10.0.0.107', 'Received': 1647710699.503809}
{'Topic': 'airquality', 'Value': 455, 'Sender': '10.0.0.14', 'Sent': 1647710696.0393078, 'Brokered': 1647710696.0966442, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5042682}
{'Topic': 'airquality', 'Value': 140, 'Sender': '10.0.0.15', 'Sent': 1647710696.0291889, 'Brokered': 1647710696.1083336, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5044298}
{'Topic': 'airquality', 'Value': 210, 'Sender': '10.0.0.14', 'Sent': 1647710696.1457098, 'Brokered': 1647710696.1997225, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5045187}
{'Topic': 'smell', 'Value': 182, 'Sender': '10.0.0.12', 'Sent': 1647710696.2315705, 'Brokered': 1647710696.2752254, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5046725}
{'Topic': 'smell', 'Value': 351, 'Sender': '10.0.0.23', 'Sent': 1647710696.1456344, 'Brokered': 1647710696.2992458, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5047834}
{'Topic': 'airquality', 'Value': 421, 'Sender': '10.0.0.14', 'Sent': 1647710696.2491302, 'Brokered': 1647710696.3104305, 'Subscriber': '10.0.0.107', 'Received': 1647710699.50487}
{'Topic': 'humidity', 'Value': 6, 'Sender': '10.0.0.21', 'Sent': 1647710696.2224503, 'Brokered': 1647710696.3526602, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5049946}
{'Topic': 'airquality', 'Value': 38, 'Sender': '10.0.0.14', 'Sent': 1647710696.3501596, 'Brokered': 1647710696.407232, 'Subscriber': '10.0.0.107', 'Received': 1647710699.505201}
{'Topic': 'smell', 'Value': 36, 'Sender': '10.0.0.16', 'Sent': 1647710696.329906, 'Brokered': 1647710696.4073226, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5052872}
{'Topic': 'airquality', 'Value': 53, 'Sender': '10.0.0.13', 'Sent': 1647710696.371691, 'Brokered': 1647710696.416891, 'Subscriber': '10.0.0.107', 'Received': 1647710699.505364}
{'Topic': 'smell', 'Value': 197, 'Sender': '10.0.0.12', 'Sent': 1647710696.4326203, 'Brokered': 1647710696.4694188, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5054562}
{'Topic': 'humidity', 'Value': 422, 'Sender': '10.0.0.23', 'Sent': 1647710696.3501525, 'Brokered': 1647710696.5026796, 'Subscriber': '10.0.0.107', 'Received': 1647710699.505533}
{'Topic': 'airquality', 'Value': 388, 'Sender': '10.0.0.14', 'Sent': 1647710696.4506989, 'Brokered': 1647710696.5131047, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5056074}
{'Topic': 'airquality', 'Value': 429, 'Sender': '10.0.0.16', 'Sent': 1647710696.4310253, 'Brokered': 1647710696.5132017, 'Subscriber': '10.0.0.107', 'Received': 1647710699.505688}
{'Topic': 'airquality', 'Value': 67, 'Sender': '10.0.0.14', 'Sent': 1647710696.5563924, 'Brokered': 1647710696.6130307, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5057619}
{'Topic': 'airquality', 'Value': 230, 'Sender': '10.0.0.16', 'Sent': 1647710696.5314708, 'Brokered': 1647710696.6192033, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5058362}
{'Topic': 'airquality', 'Value': 298, 'Sender': '10.0.0.13', 'Sent': 1647710696.5839217, 'Brokered': 1647710696.6320198, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5059092}
{'Topic': 'humidity', 'Value': 347, 'Sender': '10.0.0.15', 'Sent': 1647710696.6386282, 'Brokered': 1647710696.7018127, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5059822}
{'Topic': 'airquality', 'Value': 21, 'Sender': '10.0.0.14', 'Sent': 1647710696.6588874, 'Brokered': 1647710696.7127452, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5060554}
{'Topic': 'smell', 'Value': 155, 'Sender': '10.0.0.21', 'Sent': 1647710696.6275752, 'Brokered': 1647710696.7564662, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5061278}
{'Topic': 'humidity', 'Value': 8, 'Sender': '10.0.0.22', 'Sent': 1647710696.6056528, 'Brokered': 1647710696.7565267, 'Subscriber': '10.0.0.107', 'Received': 1647710699.506201}
{'Topic': 'airquality', 'Value': 444, 'Sender': '10.0.0.14', 'Sent': 1647710696.7606559, 'Brokered': 1647710696.8213847, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5062737}
{'Topic': 'humidity', 'Value': 62, 'Sender': '10.0.0.21', 'Sent': 1647710696.7279024, 'Brokered': 1647710696.8792865, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5063472}
{'Topic': 'airquality', 'Value': 100, 'Sender': '10.0.0.14', 'Sent': 1647710696.8614094, 'Brokered': 1647710696.9167833, 'Subscriber': '10.0.0.107', 'Received': 1647710699.542489}
{'Topic': 'airquality', 'Value': 191, 'Sender': '10.0.0.13', 'Sent': 1647710696.8857882, 'Brokered': 1647710696.9336538, 'Subscriber': '10.0.0.107', 'Received': 1647710699.544624}
{'Topic': 'airquality', 'Value': 335, 'Sender': '10.0.0.16', 'Sent': 1647710696.9354303, 'Brokered': 1647710697.013977, 'Subscriber': '10.0.0.107', 'Received': 1647710699.545032}
{'Topic': 'airquality', 'Value': 239, 'Sender': '10.0.0.14', 'Sent': 1647710696.963507, 'Brokered': 1647710697.0192335, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5451622}
{'Topic': 'airquality', 'Value': 178, 'Sender': '10.0.0.17', 'Sent': 1647710696.971242, 'Brokered': 1647710697.0773826, 'Subscriber': '10.0.0.107', 'Received': 1647710699.545326}
{'Topic': 'airquality', 'Value': 495, 'Sender': '10.0.0.14', 'Sent': 1647710697.0666041, 'Brokered': 1647710697.1296458, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5481443}
{'Topic': 'smell', 'Value': 489, 'Sender': '10.0.0.13', 'Sent': 1647710697.0907507, 'Brokered': 1647710697.138366, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5482876}
{'Topic': 'airquality', 'Value': 211, 'Sender': '10.0.0.17', 'Sent': 1647710697.0716503, 'Brokered': 1647710697.1562386, 'Subscriber': '10.0.0.107', 'Received': 1647710699.548405}
{'Topic': 'humidity', 'Value': 127, 'Sender': '10.0.0.12', 'Sent': 1647710697.15057, 'Brokered': 1647710697.2252955, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5485156}
{'Topic': 'airquality', 'Value': 192, 'Sender': '10.0.0.14', 'Sent': 1647710697.1708252, 'Brokered': 1647710697.2256904, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5486236}
{'Topic': 'smell', 'Value': 375, 'Sender': '10.0.0.16', 'Sent': 1647710697.1437547, 'Brokered': 1647710697.2257328, 'Subscriber': '10.0.0.107', 'Received': 1647710699.54874}
{'Topic': 'smell', 'Value': 407, 'Sender': '10.0.0.13', 'Sent': 1647710697.1992855, 'Brokered': 1647710697.2448428, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5488458}
{'Topic': 'smell', 'Value': 369, 'Sender': '10.0.0.12', 'Sent': 1647710697.254142, 'Brokered': 1647710697.288607, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5489507}
{'Topic': 'humidity', 'Value': 233, 'Sender': '10.0.0.23', 'Sent': 1647710697.1593516, 'Brokered': 1647710697.3099408, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5490556}
{'Topic': 'humidity', 'Value': 44, 'Sender': '10.0.0.16', 'Sent': 1647710697.2442687, 'Brokered': 1647710697.3209612, 'Subscriber': '10.0.0.107', 'Received': 1647710699.549167}
{'Topic': 'airquality', 'Value': 380, 'Sender': '10.0.0.14', 'Sent': 1647710697.277792, 'Brokered': 1647710697.3364434, 'Subscriber': '10.0.0.107', 'Received': 1647710699.5492713}
{'Topic': 'airquality', 'Value': 126, 'Sender': '10.0.0.17', 'Sent': 1647710697.2749581, 'Brokered': 1647710697.3609378, 'Subscriber': '10.0.0.107', 'Received': 1647710699.6082802}
