Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['sound', 'location', 'temperature', 'airquality', 'smell', 'humidity']
Getting subscriber object
Binding REP to tcp://10.0.0.111:5580
Getting registry proxy
Registering with tcp://10.0.0.8:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Request sent
Starting monitor loop thread
Starting subscriber listen loop...
{'Topic': 'humidity', 'Value': 224, 'Sender': '10.0.0.22', 'Sent': 1647710751.5976062, 'Brokered': 1647710751.7347977, 'Subscriber': '10.0.0.111', 'Received': 1647710752.9242318}
{'Topic': 'temperature', 'Value': 2, 'Sender': '10.0.0.26', 'Sent': 1647710751.585228, 'Brokered': 1647710751.7800608, 'Subscriber': '10.0.0.111', 'Received': 1647710752.9257314}
{'Topic': 'location', 'Value': 141, 'Sender': '10.0.0.28', 'Sent': 1647710751.5858548, 'Brokered': 1647710751.7897162, 'Subscriber': '10.0.0.111', 'Received': 1647710752.9258378}
{'Topic': 'smell', 'Value': 293, 'Sender': '10.0.0.24', 'Sent': 1647710751.6563842, 'Brokered': 1647710751.8203123, 'Subscriber': '10.0.0.111', 'Received': 1647710752.925985}
{'Topic': 'humidity', 'Value': 497, 'Sender': '10.0.0.22', 'Sent': 1647710751.6994805, 'Brokered': 1647710751.8419719, 'Subscriber': '10.0.0.111', 'Received': 1647710752.9330816}
{'Topic': 'temperature', 'Value': 420, 'Sender': '10.0.0.20', 'Sent': 1647710751.7467136, 'Brokered': 1647710751.8642404, 'Subscriber': '10.0.0.111', 'Received': 1647710752.9442065}
{'Topic': 'location', 'Value': 292, 'Sender': '10.0.0.21', 'Sent': 1647710751.7469792, 'Brokered': 1647710751.8841457, 'Subscriber': '10.0.0.111', 'Received': 1647710752.9639096}
{'Topic': 'temperature', 'Value': 196, 'Sender': '10.0.0.28', 'Sent': 1647710751.687488, 'Brokered': 1647710751.8962, 'Subscriber': '10.0.0.111', 'Received': 1647710752.9802225}
{'Topic': 'sound', 'Value': 393, 'Sender': '10.0.0.23', 'Sent': 1647710751.7662334, 'Brokered': 1647710751.9140563, 'Subscriber': '10.0.0.111', 'Received': 1647710753.00011}
{'Topic': 'humidity', 'Value': 254, 'Sender': '10.0.0.22', 'Sent': 1647710751.80425, 'Brokered': 1647710751.9470873, 'Subscriber': '10.0.0.111', 'Received': 1647710753.036412}
{'Topic': 'temperature', 'Value': 143, 'Sender': '10.0.0.20', 'Sent': 1647710751.8487413, 'Brokered': 1647710751.9689016, 'Subscriber': '10.0.0.111', 'Received': 1647710755.3819907}
{'Topic': 'humidity', 'Value': 166, 'Sender': '10.0.0.26', 'Sent': 1647710751.7871547, 'Brokered': 1647710751.9690225, 'Subscriber': '10.0.0.111', 'Received': 1647710755.3821242}
{'Topic': 'location', 'Value': 169, 'Sender': '10.0.0.21', 'Sent': 1647710751.8488855, 'Brokered': 1647710751.9810622, 'Subscriber': '10.0.0.111', 'Received': 1647710755.3822196}
{'Topic': 'sound', 'Value': 147, 'Sender': '10.0.0.28', 'Sent': 1647710751.7891853, 'Brokered': 1647710751.9915495, 'Subscriber': '10.0.0.111', 'Received': 1647710755.3822978}
{'Topic': 'temperature', 'Value': 371, 'Sender': '10.0.0.24', 'Sent': 1647710751.8651876, 'Brokered': 1647710752.0241094, 'Subscriber': '10.0.0.111', 'Received': 1647710755.3823736}
{'Topic': 'location', 'Value': 83, 'Sender': '10.0.0.21', 'Sent': 1647710751.9506052, 'Brokered': 1647710752.0795653, 'Subscriber': '10.0.0.111', 'Received': 1647710755.3825207}
{'Topic': 'sound', 'Value': 488, 'Sender': '10.0.0.27', 'Sent': 1647710751.9049652, 'Brokered': 1647710752.0981896, 'Subscriber': '10.0.0.111', 'Received': 1647710755.3826013}
{'Topic': 'location', 'Value': 350, 'Sender': '10.0.0.28', 'Sent': 1647710751.8904836, 'Brokered': 1647710752.0983608, 'Subscriber': '10.0.0.111', 'Received': 1647710755.382677}
{'Topic': 'humidity', 'Value': 177, 'Sender': '10.0.0.23', 'Sent': 1647710751.9691615, 'Brokered': 1647710752.126609, 'Subscriber': '10.0.0.111', 'Received': 1647710755.3827524}
{'Topic': 'location', 'Value': 255, 'Sender': '10.0.0.24', 'Sent': 1647710751.965889, 'Brokered': 1647710752.1394625, 'Subscriber': '10.0.0.111', 'Received': 1647710755.3828564}
{'Topic': 'humidity', 'Value': 130, 'Sender': '10.0.0.22', 'Sent': 1647710752.0062954, 'Brokered': 1647710752.1599836, 'Subscriber': '10.0.0.111', 'Received': 1647710755.3843217}
{'Topic': 'location', 'Value': 297, 'Sender': '10.0.0.23', 'Sent': 1647710752.0697134, 'Brokered': 1647710752.2222714, 'Subscriber': '10.0.0.111', 'Received': 1647710755.3844068}
{'Topic': 'sound', 'Value': 120, 'Sender': '10.0.0.24', 'Sent': 1647710752.0668218, 'Brokered': 1647710752.2338963, 'Subscriber': '10.0.0.111', 'Received': 1647710755.3844857}
{'Topic': 'location', 'Value': 362, 'Sender': '10.0.0.22', 'Sent': 1647710752.1106915, 'Brokered': 1647710752.2539933, 'Subscriber': '10.0.0.111', 'Received': 1647710755.384562}
{'Topic': 'temperature', 'Value': 260, 'Sender': '10.0.0.26', 'Sent': 1647710752.0938842, 'Brokered': 1647710752.277353, 'Subscriber': '10.0.0.111', 'Received': 1647710755.3846374}
{'Topic': 'temperature', 'Value': 382, 'Sender': '10.0.0.20', 'Sent': 1647710752.1603634, 'Brokered': 1647710752.277498, 'Subscriber': '10.0.0.111', 'Received': 1647710755.3847117}
{'Topic': 'temperature', 'Value': 477, 'Sender': '10.0.0.21', 'Sent': 1647710752.1620655, 'Brokered': 1647710752.2917645, 'Subscriber': '10.0.0.111', 'Received': 1647710755.384786}
{'Topic': 'humidity', 'Value': 202, 'Sender': '10.0.0.27', 'Sent': 1647710752.107934, 'Brokered': 1647710752.3043087, 'Subscriber': '10.0.0.111', 'Received': 1647710755.3848598}
{'Topic': 'humidity', 'Value': 364, 'Sender': '10.0.0.28', 'Sent': 1647710752.094051, 'Brokered': 1647710752.304405, 'Subscriber': '10.0.0.111', 'Received': 1647710755.384934}
