Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['altitude', 'pressure', 'light', 'temperature', 'humidity', 'airquality', 'sound', 'weather']
Getting subscriber object
Binding REP to tcp://10.0.0.64:5580
Getting registry proxy
Registering with tcp://10.0.0.5:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Request sent
Starting monitor loop thread
Starting subscriber listen loop...
{'Topic': 'light', 'Value': 381, 'Sender': '10.0.0.15', 'Sent': 1647701688.1671824, 'Brokered': 1647701688.2319524, 'Subscriber': '10.0.0.64', 'Received': 1647701688.8048854}
{'Topic': 'temperature', 'Value': 100, 'Sender': '10.0.0.15', 'Sent': 1647701688.267824, 'Brokered': 1647701688.3296402, 'Subscriber': '10.0.0.64', 'Received': 1647701688.9007244}
{'Topic': 'humidity', 'Value': 482, 'Sender': '10.0.0.15', 'Sent': 1647701688.368392, 'Brokered': 1647701688.4304414, 'Subscriber': '10.0.0.64', 'Received': 1647701689.0019574}
{'Topic': 'temperature', 'Value': 224, 'Sender': '10.0.0.15', 'Sent': 1647701688.4697545, 'Brokered': 1647701688.5341938, 'Subscriber': '10.0.0.64', 'Received': 1647701689.1027086}
{'Topic': 'weather', 'Value': 433, 'Sender': '10.0.0.15', 'Sent': 1647701688.5707858, 'Brokered': 1647701688.6328802, 'Subscriber': '10.0.0.64', 'Received': 1647701689.2020538}
{'Topic': 'light', 'Value': 72, 'Sender': '10.0.0.15', 'Sent': 1647701688.771657, 'Brokered': 1647701688.8356836, 'Subscriber': '10.0.0.64', 'Received': 1647701689.397183}
{'Topic': 'airquality', 'Value': 381, 'Sender': '10.0.0.15', 'Sent': 1647701688.9725094, 'Brokered': 1647701689.033796, 'Subscriber': '10.0.0.64', 'Received': 1647701689.6076338}
{'Topic': 'pressure', 'Value': 29, 'Sender': '10.0.0.15', 'Sent': 1647701689.0729444, 'Brokered': 1647701689.1338742, 'Subscriber': '10.0.0.64', 'Received': 1647701689.7067237}
{'Topic': 'weather', 'Value': 456, 'Sender': '10.0.0.15', 'Sent': 1647701689.2737894, 'Brokered': 1647701689.3353734, 'Subscriber': '10.0.0.64', 'Received': 1647701689.9022737}
{'Topic': 'humidity', 'Value': 469, 'Sender': '10.0.0.15', 'Sent': 1647701689.375089, 'Brokered': 1647701689.4386587, 'Subscriber': '10.0.0.64', 'Received': 1647701690.0098667}
{'Topic': 'weather', 'Value': 159, 'Sender': '10.0.0.15', 'Sent': 1647701689.676542, 'Brokered': 1647701689.7404199, 'Subscriber': '10.0.0.64', 'Received': 1647701690.3130004}
{'Topic': 'airquality', 'Value': 179, 'Sender': '10.0.0.15', 'Sent': 1647701689.7770844, 'Brokered': 1647701689.8392866, 'Subscriber': '10.0.0.64', 'Received': 1647701690.4051564}
{'Topic': 'humidity', 'Value': 392, 'Sender': '10.0.0.15', 'Sent': 1647701689.8780665, 'Brokered': 1647701689.940366, 'Subscriber': '10.0.0.64', 'Received': 1647701690.509371}
{'Topic': 'airquality', 'Value': 403, 'Sender': '10.0.0.15', 'Sent': 1647701689.9786675, 'Brokered': 1647701690.040513, 'Subscriber': '10.0.0.64', 'Received': 1647701690.6098106}
{'Topic': 'sound', 'Value': 135, 'Sender': '10.0.0.15', 'Sent': 1647701690.179956, 'Brokered': 1647701690.2422087, 'Subscriber': '10.0.0.64', 'Received': 1647701690.808918}
{'Topic': 'temperature', 'Value': 112, 'Sender': '10.0.0.15', 'Sent': 1647701690.2803648, 'Brokered': 1647701690.341634, 'Subscriber': '10.0.0.64', 'Received': 1647701690.909962}
{'Topic': 'light', 'Value': 22, 'Sender': '10.0.0.15', 'Sent': 1647701690.3807113, 'Brokered': 1647701690.4420745, 'Subscriber': '10.0.0.64', 'Received': 1647701691.0059617}
{'Topic': 'airquality', 'Value': 184, 'Sender': '10.0.0.15', 'Sent': 1647701690.481228, 'Brokered': 1647701690.5425234, 'Subscriber': '10.0.0.64', 'Received': 1647701691.109847}
{'Topic': 'humidity', 'Value': 379, 'Sender': '10.0.0.15', 'Sent': 1647701690.5819936, 'Brokered': 1647701690.64373, 'Subscriber': '10.0.0.64', 'Received': 1647701691.2089865}
{'Topic': 'humidity', 'Value': 240, 'Sender': '10.0.0.15', 'Sent': 1647701690.6823382, 'Brokered': 1647701690.7441113, 'Subscriber': '10.0.0.64', 'Received': 1647701691.3114192}
{'Topic': 'humidity', 'Value': 160, 'Sender': '10.0.0.15', 'Sent': 1647701690.883072, 'Brokered': 1647701690.9462345, 'Subscriber': '10.0.0.64', 'Received': 1647701691.5111554}
{'Topic': 'altitude', 'Value': 239, 'Sender': '10.0.0.15', 'Sent': 1647701690.9836564, 'Brokered': 1647701691.0451858, 'Subscriber': '10.0.0.64', 'Received': 1647701691.6112914}
{'Topic': 'weather', 'Value': 29, 'Sender': '10.0.0.15', 'Sent': 1647701691.0839555, 'Brokered': 1647701691.145875, 'Subscriber': '10.0.0.64', 'Received': 1647701691.712293}
{'Topic': 'airquality', 'Value': 137, 'Sender': '10.0.0.15', 'Sent': 1647701691.184414, 'Brokered': 1647701691.2461872, 'Subscriber': '10.0.0.64', 'Received': 1647701691.8129983}
{'Topic': 'altitude', 'Value': 102, 'Sender': '10.0.0.15', 'Sent': 1647701691.2854428, 'Brokered': 1647701691.346943, 'Subscriber': '10.0.0.64', 'Received': 1647701691.9111557}
{'Topic': 'temperature', 'Value': 435, 'Sender': '10.0.0.15', 'Sent': 1647701691.4863684, 'Brokered': 1647701691.5489051, 'Subscriber': '10.0.0.64', 'Received': 1647701692.1111126}
{'Topic': 'humidity', 'Value': 221, 'Sender': '10.0.0.15', 'Sent': 1647701691.5876515, 'Brokered': 1647701691.6502073, 'Subscriber': '10.0.0.64', 'Received': 1647701692.214119}
{'Topic': 'weather', 'Value': 13, 'Sender': '10.0.0.15', 'Sent': 1647701691.688146, 'Brokered': 1647701691.7495134, 'Subscriber': '10.0.0.64', 'Received': 1647701692.31643}
{'Topic': 'sound', 'Value': 274, 'Sender': '10.0.0.15', 'Sent': 1647701691.7886546, 'Brokered': 1647701691.850799, 'Subscriber': '10.0.0.64', 'Received': 1647701692.419029}
{'Topic': 'temperature', 'Value': 452, 'Sender': '10.0.0.15', 'Sent': 1647701691.8892446, 'Brokered': 1647701691.9512086, 'Subscriber': '10.0.0.64', 'Received': 1647701692.516326}
{'Topic': 'airquality', 'Value': 442, 'Sender': '10.0.0.15', 'Sent': 1647701691.989806, 'Brokered': 1647701692.0514543, 'Subscriber': '10.0.0.64', 'Received': 1647701692.622334}
{'Topic': 'weather', 'Value': 279, 'Sender': '10.0.0.15', 'Sent': 1647701692.0901928, 'Brokered': 1647701692.1520817, 'Subscriber': '10.0.0.64', 'Received': 1647701692.7270958}
{'Topic': 'temperature', 'Value': 448, 'Sender': '10.0.0.15', 'Sent': 1647701692.1904073, 'Brokered': 1647701692.2522087, 'Subscriber': '10.0.0.64', 'Received': 1647701692.8232832}
{'Topic': 'temperature', 'Value': 46, 'Sender': '10.0.0.15', 'Sent': 1647701692.2907488, 'Brokered': 1647701692.3521893, 'Subscriber': '10.0.0.64', 'Received': 1647701692.9286494}
{'Topic': 'pressure', 'Value': 394, 'Sender': '10.0.0.15', 'Sent': 1647701692.4925177, 'Brokered': 1647701692.5538538, 'Subscriber': '10.0.0.64', 'Received': 1647701693.1258266}
{'Topic': 'temperature', 'Value': 115, 'Sender': '10.0.0.15', 'Sent': 1647701692.592993, 'Brokered': 1647701692.654645, 'Subscriber': '10.0.0.64', 'Received': 1647701693.231481}
{'Topic': 'airquality', 'Value': 456, 'Sender': '10.0.0.15', 'Sent': 1647701692.6942902, 'Brokered': 1647701692.7570627, 'Subscriber': '10.0.0.64', 'Received': 1647701693.3268158}
{'Topic': 'weather', 'Value': 94, 'Sender': '10.0.0.15', 'Sent': 1647701692.7950568, 'Brokered': 1647701692.8583255, 'Subscriber': '10.0.0.64', 'Received': 1647701693.4277833}
{'Topic': 'airquality', 'Value': 29, 'Sender': '10.0.0.15', 'Sent': 1647701692.8960326, 'Brokered': 1647701692.9605083, 'Subscriber': '10.0.0.64', 'Received': 1647701693.5317435}
{'Topic': 'pressure', 'Value': 304, 'Sender': '10.0.0.15', 'Sent': 1647701692.996566, 'Brokered': 1647701693.0574386, 'Subscriber': '10.0.0.64', 'Received': 1647701693.6277773}
{'Topic': 'light', 'Value': 10, 'Sender': '10.0.0.15', 'Sent': 1647701693.0969477, 'Brokered': 1647701693.1583304, 'Subscriber': '10.0.0.64', 'Received': 1647701693.7288308}
{'Topic': 'pressure', 'Value': 24, 'Sender': '10.0.0.15', 'Sent': 1647701693.298612, 'Brokered': 1647701693.3607364, 'Subscriber': '10.0.0.64', 'Received': 1647701693.9291947}
{'Topic': 'weather', 'Value': 149, 'Sender': '10.0.0.15', 'Sent': 1647701693.398925, 'Brokered': 1647701693.4604237, 'Subscriber': '10.0.0.64', 'Received': 1647701694.0268204}
