Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['weather', 'airquality', 'smell', 'temperature']
Getting subscriber object
Binding REP to tcp://10.0.0.65:5580
Getting registry proxy
Registering with tcp://10.0.0.2:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
{'Topic': 'temperature', 'Value': 100, 'Sender': '10.0.0.15', 'Sent': 1647701688.267824, 'Brokered': 1647701688.3296402, 'Subscriber': '10.0.0.65', 'Received': 1647701688.9109795}
{'Topic': 'temperature', 'Value': 224, 'Sender': '10.0.0.15', 'Sent': 1647701688.4697545, 'Brokered': 1647701688.5341938, 'Subscriber': '10.0.0.65', 'Received': 1647701689.112872}
{'Topic': 'weather', 'Value': 433, 'Sender': '10.0.0.15', 'Sent': 1647701688.5707858, 'Brokered': 1647701688.6328802, 'Subscriber': '10.0.0.65', 'Received': 1647701689.2146566}
{'Topic': 'smell', 'Value': 273, 'Sender': '10.0.0.15', 'Sent': 1647701688.6712775, 'Brokered': 1647701688.73262, 'Subscriber': '10.0.0.65', 'Received': 1647701689.3104968}
{'Topic': 'smell', 'Value': 87, 'Sender': '10.0.0.15', 'Sent': 1647701688.8720827, 'Brokered': 1647701688.9359837, 'Subscriber': '10.0.0.65', 'Received': 1647701689.5171196}
{'Topic': 'airquality', 'Value': 381, 'Sender': '10.0.0.15', 'Sent': 1647701688.9725094, 'Brokered': 1647701689.033796, 'Subscriber': '10.0.0.65', 'Received': 1647701689.6152837}
{'Topic': 'smell', 'Value': 469, 'Sender': '10.0.0.15', 'Sent': 1647701689.1733758, 'Brokered': 1647701689.2346916, 'Subscriber': '10.0.0.65', 'Received': 1647701689.8168843}
{'Topic': 'weather', 'Value': 456, 'Sender': '10.0.0.15', 'Sent': 1647701689.2737894, 'Brokered': 1647701689.3353734, 'Subscriber': '10.0.0.65', 'Received': 1647701689.919486}
{'Topic': 'smell', 'Value': 44, 'Sender': '10.0.0.15', 'Sent': 1647701689.5761535, 'Brokered': 1647701689.638543, 'Subscriber': '10.0.0.65', 'Received': 1647701690.229323}
{'Topic': 'weather', 'Value': 159, 'Sender': '10.0.0.15', 'Sent': 1647701689.676542, 'Brokered': 1647701689.7404199, 'Subscriber': '10.0.0.65', 'Received': 1647701690.3155727}
{'Topic': 'airquality', 'Value': 179, 'Sender': '10.0.0.15', 'Sent': 1647701689.7770844, 'Brokered': 1647701689.8392866, 'Subscriber': '10.0.0.65', 'Received': 1647701690.4154365}
