Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['altitude', 'light', 'airquality', 'pressure']
Getting subscriber object
Binding REP to tcp://10.0.0.67:5580
Getting registry proxy
Registering with tcp://10.0.0.7:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Starting monitor loop threadRequest sent

Starting subscriber listen loop...
{'Topic': 'light', 'Value': 170, 'Sender': '10.0.0.18', 'Sent': 1647710639.4490304, 'Brokered': 1647710639.5410538, 'Subscriber': '10.0.0.67', 'Received': 1647710640.1342497}
{'Topic': 'airquality', 'Value': 44, 'Sender': '10.0.0.14', 'Sent': 1647710639.4999514, 'Brokered': 1647710639.5510137, 'Subscriber': '10.0.0.67', 'Received': 1647710640.144385}
{'Topic': 'light', 'Value': 203, 'Sender': '10.0.0.18', 'Sent': 1647710639.549413, 'Brokered': 1647710639.6405218, 'Subscriber': '10.0.0.67', 'Received': 1647710640.2357702}
{'Topic': 'airquality', 'Value': 465, 'Sender': '10.0.0.14', 'Sent': 1647710639.6003447, 'Brokered': 1647710639.6517045, 'Subscriber': '10.0.0.67', 'Received': 1647710640.2459595}
{'Topic': 'airquality', 'Value': 209, 'Sender': '10.0.0.13', 'Sent': 1647710639.6284688, 'Brokered': 1647710639.6694877, 'Subscriber': '10.0.0.67', 'Received': 1647710640.262637}
{'Topic': 'light', 'Value': 140, 'Sender': '10.0.0.18', 'Sent': 1647710639.6496754, 'Brokered': 1647710639.7416928, 'Subscriber': '10.0.0.67', 'Received': 1647710640.3353808}
{'Topic': 'airquality', 'Value': 34, 'Sender': '10.0.0.14', 'Sent': 1647710639.7010765, 'Brokered': 1647710639.7518873, 'Subscriber': '10.0.0.67', 'Received': 1647710640.3459373}
{'Topic': 'light', 'Value': 200, 'Sender': '10.0.0.18', 'Sent': 1647710639.7499783, 'Brokered': 1647710639.8437119, 'Subscriber': '10.0.0.67', 'Received': 1647710640.4392738}
{'Topic': 'airquality', 'Value': 34, 'Sender': '10.0.0.14', 'Sent': 1647710639.8020072, 'Brokered': 1647710639.853729, 'Subscriber': '10.0.0.67', 'Received': 1647710640.4492788}
{'Topic': 'pressure', 'Value': 284, 'Sender': '10.0.0.13', 'Sent': 1647710639.8303168, 'Brokered': 1647710639.8717957, 'Subscriber': '10.0.0.67', 'Received': 1647710640.4671931}
{'Topic': 'light', 'Value': 118, 'Sender': '10.0.0.18', 'Sent': 1647710639.850197, 'Brokered': 1647710639.942783, 'Subscriber': '10.0.0.67', 'Received': 1647710641.3214128}
{'Topic': 'airquality', 'Value': 203, 'Sender': '10.0.0.14', 'Sent': 1647710639.9024272, 'Brokered': 1647710639.9535632, 'Subscriber': '10.0.0.67', 'Received': 1647710641.321584}
{'Topic': 'light', 'Value': 457, 'Sender': '10.0.0.18', 'Sent': 1647710639.9509845, 'Brokered': 1647710640.044652, 'Subscriber': '10.0.0.67', 'Received': 1647710641.321672}
{'Topic': 'airquality', 'Value': 325, 'Sender': '10.0.0.14', 'Sent': 1647710640.003135, 'Brokered': 1647710640.054743, 'Subscriber': '10.0.0.67', 'Received': 1647710641.3217497}
{'Topic': 'light', 'Value': 379, 'Sender': '10.0.0.18', 'Sent': 1647710640.0512273, 'Brokered': 1647710640.14291, 'Subscriber': '10.0.0.67', 'Received': 1647710641.3218238}
{'Topic': 'airquality', 'Value': 374, 'Sender': '10.0.0.14', 'Sent': 1647710640.1036103, 'Brokered': 1647710640.1549528, 'Subscriber': '10.0.0.67', 'Received': 1647710641.3218958}
{'Topic': 'light', 'Value': 153, 'Sender': '10.0.0.18', 'Sent': 1647710640.151663, 'Brokered': 1647710640.2434618, 'Subscriber': '10.0.0.67', 'Received': 1647710641.321967}
{'Topic': 'airquality', 'Value': 334, 'Sender': '10.0.0.14', 'Sent': 1647710640.2038412, 'Brokered': 1647710640.2566392, 'Subscriber': '10.0.0.67', 'Received': 1647710641.3220367}
{'Topic': 'light', 'Value': 468, 'Sender': '10.0.0.18', 'Sent': 1647710640.251963, 'Brokered': 1647710640.346515, 'Subscriber': '10.0.0.67', 'Received': 1647710641.3221064}
{'Topic': 'airquality', 'Value': 63, 'Sender': '10.0.0.14', 'Sent': 1647710640.3041332, 'Brokered': 1647710640.356682, 'Subscriber': '10.0.0.67', 'Received': 1647710641.322176}
{'Topic': 'light', 'Value': 236, 'Sender': '10.0.0.18', 'Sent': 1647710640.352149, 'Brokered': 1647710640.4456387, 'Subscriber': '10.0.0.67', 'Received': 1647710641.322259}
{'Topic': 'airquality', 'Value': 167, 'Sender': '10.0.0.14', 'Sent': 1647710640.4045017, 'Brokered': 1647710640.4576244, 'Subscriber': '10.0.0.67', 'Received': 1647710641.3223293}
{'Topic': 'pressure', 'Value': 394, 'Sender': '10.0.0.13', 'Sent': 1647710640.4327507, 'Brokered': 1647710640.4752727, 'Subscriber': '10.0.0.67', 'Received': 1647710641.3223987}
{'Topic': 'light', 'Value': 37, 'Sender': '10.0.0.18', 'Sent': 1647710640.4527493, 'Brokered': 1647710640.5457249, 'Subscriber': '10.0.0.67', 'Received': 1647710641.3224676}
{'Topic': 'airquality', 'Value': 48, 'Sender': '10.0.0.14', 'Sent': 1647710640.504734, 'Brokered': 1647710640.556322, 'Subscriber': '10.0.0.67', 'Received': 1647710641.3226063}
{'Topic': 'airquality', 'Value': 444, 'Sender': '10.0.0.13', 'Sent': 1647710640.533102, 'Brokered': 1647710640.573851, 'Subscriber': '10.0.0.67', 'Received': 1647710641.3226814}
{'Topic': 'light', 'Value': 47, 'Sender': '10.0.0.18', 'Sent': 1647710640.5534308, 'Brokered': 1647710640.648048, 'Subscriber': '10.0.0.67', 'Received': 1647710641.3227525}
{'Topic': 'airquality', 'Value': 472, 'Sender': '10.0.0.14', 'Sent': 1647710640.605201, 'Brokered': 1647710640.6584866, 'Subscriber': '10.0.0.67', 'Received': 1647710641.3344684}
{'Topic': 'light', 'Value': 365, 'Sender': '10.0.0.18', 'Sent': 1647710640.654307, 'Brokered': 1647710640.746231, 'Subscriber': '10.0.0.67', 'Received': 1647710641.3417242}
{'Topic': 'airquality', 'Value': 324, 'Sender': '10.0.0.14', 'Sent': 1647710640.7056262, 'Brokered': 1647710640.7570648, 'Subscriber': '10.0.0.67', 'Received': 1647710641.4267669}
{'Topic': 'pressure', 'Value': 155, 'Sender': '10.0.0.13', 'Sent': 1647710640.7348852, 'Brokered': 1647710640.7756402, 'Subscriber': '10.0.0.67', 'Received': 1647710641.4269836}
{'Topic': 'light', 'Value': 122, 'Sender': '10.0.0.18', 'Sent': 1647710640.7545376, 'Brokered': 1647710640.8468406, 'Subscriber': '10.0.0.67', 'Received': 1647710641.4434555}
{'Topic': 'airquality', 'Value': 373, 'Sender': '10.0.0.14', 'Sent': 1647710640.806426, 'Brokered': 1647710640.8576734, 'Subscriber': '10.0.0.67', 'Received': 1647710641.4536555}
{'Topic': 'light', 'Value': 463, 'Sender': '10.0.0.18', 'Sent': 1647710640.8550107, 'Brokered': 1647710640.9489548, 'Subscriber': '10.0.0.67', 'Received': 1647710641.5450642}
{'Topic': 'airquality', 'Value': 459, 'Sender': '10.0.0.14', 'Sent': 1647710640.907052, 'Brokered': 1647710640.9608977, 'Subscriber': '10.0.0.67', 'Received': 1647710641.5554001}
{'Topic': 'light', 'Value': 186, 'Sender': '10.0.0.18', 'Sent': 1647710640.9552655, 'Brokered': 1647710641.0472627, 'Subscriber': '10.0.0.67', 'Received': 1647710641.6408563}
{'Topic': 'airquality', 'Value': 207, 'Sender': '10.0.0.14', 'Sent': 1647710641.007541, 'Brokered': 1647710641.0589643, 'Subscriber': '10.0.0.67', 'Received': 1647710641.6511414}
{'Topic': 'airquality', 'Value': 161, 'Sender': '10.0.0.13', 'Sent': 1647710641.0366075, 'Brokered': 1647710641.0781174, 'Subscriber': '10.0.0.67', 'Received': 1647710641.6717405}
{'Topic': 'pressure', 'Value': 135, 'Sender': '10.0.0.12', 'Sent': 1647710641.0824387, 'Brokered': 1647710641.1142309, 'Subscriber': '10.0.0.67', 'Received': 1647710641.7071786}
{'Topic': 'light', 'Value': 182, 'Sender': '10.0.0.18', 'Sent': 1647710641.0556042, 'Brokered': 1647710641.1474023, 'Subscriber': '10.0.0.67', 'Received': 1647710641.7403774}
{'Topic': 'airquality', 'Value': 229, 'Sender': '10.0.0.14', 'Sent': 1647710641.1078088, 'Brokered': 1647710641.159898, 'Subscriber': '10.0.0.67', 'Received': 1647710641.7545202}
{'Topic': 'light', 'Value': 165, 'Sender': '10.0.0.18', 'Sent': 1647710641.1565807, 'Brokered': 1647710641.2488174, 'Subscriber': '10.0.0.67', 'Received': 1647710641.840805}
{'Topic': 'airquality', 'Value': 383, 'Sender': '10.0.0.14', 'Sent': 1647710641.2081158, 'Brokered': 1647710641.260105, 'Subscriber': '10.0.0.67', 'Received': 1647710641.8535774}
{'Topic': 'light', 'Value': 257, 'Sender': '10.0.0.18', 'Sent': 1647710641.2570658, 'Brokered': 1647710641.3493774, 'Subscriber': '10.0.0.67', 'Received': 1647710641.94533}
{'Topic': 'airquality', 'Value': 274, 'Sender': '10.0.0.14', 'Sent': 1647710641.3083851, 'Brokered': 1647710641.3594348, 'Subscriber': '10.0.0.67', 'Received': 1647710641.955544}
{'Topic': 'light', 'Value': 2, 'Sender': '10.0.0.18', 'Sent': 1647710641.358288, 'Brokered': 1647710641.4505508, 'Subscriber': '10.0.0.67', 'Received': 1647710642.04721}
