Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['weather', 'pressure', 'humidity', 'sound', 'light']
Getting subscriber object
Binding REP to tcp://10.0.0.71:5580
Getting registry proxy
Registering with tcp://10.0.0.7:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Request sent
Starting monitor loop thread
Starting subscriber listen loop...
{'Topic': 'light', 'Value': 498, 'Sender': '10.0.0.18', 'Sent': 1647710646.5840244, 'Brokered': 1647710646.6772873, 'Subscriber': '10.0.0.71', 'Received': 1647710647.3255394}
{'Topic': 'pressure', 'Value': 227, 'Sender': '10.0.0.12', 'Sent': 1647710646.710795, 'Brokered': 1647710646.7443733, 'Subscriber': '10.0.0.71', 'Received': 1647710647.3861804}
{'Topic': 'light', 'Value': 186, 'Sender': '10.0.0.18', 'Sent': 1647710646.6844437, 'Brokered': 1647710646.7774618, 'Subscriber': '10.0.0.71', 'Received': 1647710647.4133222}
{'Topic': 'humidity', 'Value': 211, 'Sender': '10.0.0.12', 'Sent': 1647710646.8111606, 'Brokered': 1647710646.841732, 'Subscriber': '10.0.0.71', 'Received': 1647710647.4860313}
{'Topic': 'light', 'Value': 458, 'Sender': '10.0.0.18', 'Sent': 1647710646.784933, 'Brokered': 1647710646.8801847, 'Subscriber': '10.0.0.71', 'Received': 1647710647.517023}
{'Topic': 'sound', 'Value': 61, 'Sender': '10.0.0.12', 'Sent': 1647710646.9116945, 'Brokered': 1647710646.9436245, 'Subscriber': '10.0.0.71', 'Received': 1647710647.588093}
{'Topic': 'light', 'Value': 106, 'Sender': '10.0.0.18', 'Sent': 1647710646.8851945, 'Brokered': 1647710646.9781468, 'Subscriber': '10.0.0.71', 'Received': 1647710647.6192248}
{'Topic': 'sound', 'Value': 249, 'Sender': '10.0.0.13', 'Sent': 1647710646.9775178, 'Brokered': 1647710647.019057, 'Subscriber': '10.0.0.71', 'Received': 1647710647.659279}
{'Topic': 'light', 'Value': 9, 'Sender': '10.0.0.18', 'Sent': 1647710646.9859362, 'Brokered': 1647710647.0788164, 'Subscriber': '10.0.0.71', 'Received': 1647710647.7216475}
{'Topic': 'humidity', 'Value': 8, 'Sender': '10.0.0.13', 'Sent': 1647710647.0781136, 'Brokered': 1647710647.1193526, 'Subscriber': '10.0.0.71', 'Received': 1647710647.7652843}
{'Topic': 'weather', 'Value': 421, 'Sender': '10.0.0.12', 'Sent': 1647710647.1133945, 'Brokered': 1647710647.1458168, 'Subscriber': '10.0.0.71', 'Received': 1647710648.6473815}
{'Topic': 'light', 'Value': 434, 'Sender': '10.0.0.18', 'Sent': 1647710647.0863419, 'Brokered': 1647710647.179159, 'Subscriber': '10.0.0.71', 'Received': 1647710648.6475315}
{'Topic': 'humidity', 'Value': 271, 'Sender': '10.0.0.12', 'Sent': 1647710647.2138095, 'Brokered': 1647710647.2449427, 'Subscriber': '10.0.0.71', 'Received': 1647710648.6476214}
{'Topic': 'light', 'Value': 188, 'Sender': '10.0.0.18', 'Sent': 1647710647.1867769, 'Brokered': 1647710647.2780688, 'Subscriber': '10.0.0.71', 'Received': 1647710648.6477015}
{'Topic': 'pressure', 'Value': 463, 'Sender': '10.0.0.13', 'Sent': 1647710647.278909, 'Brokered': 1647710647.3197598, 'Subscriber': '10.0.0.71', 'Received': 1647710648.6477773}
{'Topic': 'light', 'Value': 7, 'Sender': '10.0.0.18', 'Sent': 1647710647.2873063, 'Brokered': 1647710647.381681, 'Subscriber': '10.0.0.71', 'Received': 1647710648.647851}
{'Topic': 'light', 'Value': 494, 'Sender': '10.0.0.18', 'Sent': 1647710647.3884573, 'Brokered': 1647710647.4858994, 'Subscriber': '10.0.0.71', 'Received': 1647710648.6479237}
{'Topic': 'humidity', 'Value': 4, 'Sender': '10.0.0.12', 'Sent': 1647710647.5162697, 'Brokered': 1647710647.5508354, 'Subscriber': '10.0.0.71', 'Received': 1647710648.6480658}
{'Topic': 'light', 'Value': 0, 'Sender': '10.0.0.18', 'Sent': 1647710647.489064, 'Brokered': 1647710647.581661, 'Subscriber': '10.0.0.71', 'Received': 1647710648.648153}
{'Topic': 'pressure', 'Value': 331, 'Sender': '10.0.0.12', 'Sent': 1647710647.6176057, 'Brokered': 1647710647.6486628, 'Subscriber': '10.0.0.71', 'Received': 1647710648.6482277}
{'Topic': 'light', 'Value': 177, 'Sender': '10.0.0.18', 'Sent': 1647710647.5894203, 'Brokered': 1647710647.681556, 'Subscriber': '10.0.0.71', 'Received': 1647710648.6483114}
{'Topic': 'sound', 'Value': 411, 'Sender': '10.0.0.12', 'Sent': 1647710647.7180183, 'Brokered': 1647710647.749032, 'Subscriber': '10.0.0.71', 'Received': 1647710648.6483858}
{'Topic': 'light', 'Value': 462, 'Sender': '10.0.0.18', 'Sent': 1647710647.6897223, 'Brokered': 1647710647.7837787, 'Subscriber': '10.0.0.71', 'Received': 1647710648.6484592}
{'Topic': 'humidity', 'Value': 111, 'Sender': '10.0.0.12', 'Sent': 1647710647.8186243, 'Brokered': 1647710647.8494296, 'Subscriber': '10.0.0.71', 'Received': 1647710648.648533}
{'Topic': 'light', 'Value': 67, 'Sender': '10.0.0.18', 'Sent': 1647710647.790072, 'Brokered': 1647710647.8817673, 'Subscriber': '10.0.0.71', 'Received': 1647710648.6486053}
{'Topic': 'sound', 'Value': 229, 'Sender': '10.0.0.12', 'Sent': 1647710647.9188673, 'Brokered': 1647710647.9502108, 'Subscriber': '10.0.0.71', 'Received': 1647710648.6486783}
{'Topic': 'light', 'Value': 137, 'Sender': '10.0.0.18', 'Sent': 1647710647.890483, 'Brokered': 1647710647.9835162, 'Subscriber': '10.0.0.71', 'Received': 1647710648.64875}
{'Topic': 'sound', 'Value': 37, 'Sender': '10.0.0.13', 'Sent': 1647710647.9822776, 'Brokered': 1647710648.0249567, 'Subscriber': '10.0.0.71', 'Received': 1647710648.6876516}
{'Topic': 'light', 'Value': 319, 'Sender': '10.0.0.18', 'Sent': 1647710647.9911358, 'Brokered': 1647710648.0834348, 'Subscriber': '10.0.0.71', 'Received': 1647710648.7260342}
{'Topic': 'sound', 'Value': 270, 'Sender': '10.0.0.13', 'Sent': 1647710648.0836267, 'Brokered': 1647710648.1247392, 'Subscriber': '10.0.0.71', 'Received': 1647710648.7721097}
{'Topic': 'pressure', 'Value': 37, 'Sender': '10.0.0.12', 'Sent': 1647710648.1213114, 'Brokered': 1647710648.1531215, 'Subscriber': '10.0.0.71', 'Received': 1647710648.796922}
{'Topic': 'light', 'Value': 215, 'Sender': '10.0.0.18', 'Sent': 1647710648.0916862, 'Brokered': 1647710648.1846375, 'Subscriber': '10.0.0.71', 'Received': 1647710648.8298068}
{'Topic': 'sound', 'Value': 318, 'Sender': '10.0.0.13', 'Sent': 1647710648.1839378, 'Brokered': 1647710648.2282805, 'Subscriber': '10.0.0.71', 'Received': 1647710648.8704748}
{'Topic': 'light', 'Value': 135, 'Sender': '10.0.0.18', 'Sent': 1647710648.1920135, 'Brokered': 1647710648.2906065, 'Subscriber': '10.0.0.71', 'Received': 1647710648.9319358}
{'Topic': 'sound', 'Value': 316, 'Sender': '10.0.0.13', 'Sent': 1647710648.2844257, 'Brokered': 1647710648.3271265, 'Subscriber': '10.0.0.71', 'Received': 1647710648.9669545}
{'Topic': 'sound', 'Value': 162, 'Sender': '10.0.0.12', 'Sent': 1647710648.3229144, 'Brokered': 1647710648.3536155, 'Subscriber': '10.0.0.71', 'Received': 1647710648.991435}
{'Topic': 'light', 'Value': 273, 'Sender': '10.0.0.18', 'Sent': 1647710648.2924936, 'Brokered': 1647710648.3874543, 'Subscriber': '10.0.0.71', 'Received': 1647710649.0285823}
{'Topic': 'light', 'Value': 227, 'Sender': '10.0.0.18', 'Sent': 1647710648.3930204, 'Brokered': 1647710648.485989, 'Subscriber': '10.0.0.71', 'Received': 1647710649.132554}
{'Topic': 'humidity', 'Value': 211, 'Sender': '10.0.0.12', 'Sent': 1647710648.5238223, 'Brokered': 1647710648.5544481, 'Subscriber': '10.0.0.71', 'Received': 1647710649.1956139}
{'Topic': 'light', 'Value': 327, 'Sender': '10.0.0.18', 'Sent': 1647710648.493341, 'Brokered': 1647710648.5879598, 'Subscriber': '10.0.0.71', 'Received': 1647710649.2290616}
{'Topic': 'humidity', 'Value': 455, 'Sender': '10.0.0.12', 'Sent': 1647710648.624361, 'Brokered': 1647710648.6552277, 'Subscriber': '10.0.0.71', 'Received': 1647710649.2925918}
{'Topic': 'light', 'Value': 396, 'Sender': '10.0.0.18', 'Sent': 1647710648.5937896, 'Brokered': 1647710648.6871269, 'Subscriber': '10.0.0.71', 'Received': 1647710649.3317566}
{'Topic': 'light', 'Value': 410, 'Sender': '10.0.0.18', 'Sent': 1647710648.6944253, 'Brokered': 1647710648.786686, 'Subscriber': '10.0.0.71', 'Received': 1647710649.4248714}
{'Topic': 'light', 'Value': 241, 'Sender': '10.0.0.18', 'Sent': 1647710648.794762, 'Brokered': 1647710648.8872898, 'Subscriber': '10.0.0.71', 'Received': 1647710649.526738}
{'Topic': 'humidity', 'Value': 107, 'Sender': '10.0.0.12', 'Sent': 1647710648.9259567, 'Brokered': 1647710648.957637, 'Subscriber': '10.0.0.71', 'Received': 1647710649.5964966}
{'Topic': 'light', 'Value': 260, 'Sender': '10.0.0.18', 'Sent': 1647710648.8951588, 'Brokered': 1647710648.9870038, 'Subscriber': '10.0.0.71', 'Received': 1647710649.9249725}
{'Topic': 'pressure', 'Value': 404, 'Sender': '10.0.0.12', 'Sent': 1647710649.0266013, 'Brokered': 1647710649.0596974, 'Subscriber': '10.0.0.71', 'Received': 1647710649.9251747}
{'Topic': 'light', 'Value': 352, 'Sender': '10.0.0.18', 'Sent': 1647710648.995869, 'Brokered': 1647710649.0919642, 'Subscriber': '10.0.0.71', 'Received': 1647710649.925269}
{'Topic': 'weather', 'Value': 410, 'Sender': '10.0.0.12', 'Sent': 1647710649.1268678, 'Brokered': 1647710649.158583, 'Subscriber': '10.0.0.71', 'Received': 1647710649.9253502}
{'Topic': 'light', 'Value': 374, 'Sender': '10.0.0.18', 'Sent': 1647710649.0963967, 'Brokered': 1647710649.190732, 'Subscriber': '10.0.0.71', 'Received': 1647710649.9254272}
{'Topic': 'light', 'Value': 69, 'Sender': '10.0.0.18', 'Sent': 1647710649.1969984, 'Brokered': 1647710649.289684, 'Subscriber': '10.0.0.71', 'Received': 1647710649.9261286}
{'Topic': 'pressure', 'Value': 342, 'Sender': '10.0.0.13', 'Sent': 1647710649.2911773, 'Brokered': 1647710649.3327405, 'Subscriber': '10.0.0.71', 'Received': 1647710649.9695976}
{'Topic': 'weather', 'Value': 218, 'Sender': '10.0.0.12', 'Sent': 1647710649.3282974, 'Brokered': 1647710649.359074, 'Subscriber': '10.0.0.71', 'Received': 1647710649.9984524}
{'Topic': 'light', 'Value': 113, 'Sender': '10.0.0.18', 'Sent': 1647710649.2974906, 'Brokered': 1647710649.3895087, 'Subscriber': '10.0.0.71', 'Received': 1647710650.0307894}
{'Topic': 'sound', 'Value': 154, 'Sender': '10.0.0.13', 'Sent': 1647710649.3915644, 'Brokered': 1647710649.4326785, 'Subscriber': '10.0.0.71', 'Received': 1647710650.0817823}
{'Topic': 'light', 'Value': 432, 'Sender': '10.0.0.18', 'Sent': 1647710649.3982713, 'Brokered': 1647710649.4894311, 'Subscriber': '10.0.0.71', 'Received': 1647710650.1333623}
{'Topic': 'light', 'Value': 337, 'Sender': '10.0.0.18', 'Sent': 1647710649.498869, 'Brokered': 1647710649.590872, 'Subscriber': '10.0.0.71', 'Received': 1647710650.241796}
{'Topic': 'humidity', 'Value': 487, 'Sender': '10.0.0.12', 'Sent': 1647710649.6295245, 'Brokered': 1647710649.6609478, 'Subscriber': '10.0.0.71', 'Received': 1647710650.3032568}
{'Topic': 'light', 'Value': 370, 'Sender': '10.0.0.18', 'Sent': 1647710649.5991561, 'Brokered': 1647710649.690583, 'Subscriber': '10.0.0.71', 'Received': 1647710650.3320134}
{'Topic': 'pressure', 'Value': 7, 'Sender': '10.0.0.12', 'Sent': 1647710649.7300687, 'Brokered': 1647710649.761828, 'Subscriber': '10.0.0.71', 'Received': 1647710650.4098344}
{'Topic': 'light', 'Value': 447, 'Sender': '10.0.0.18', 'Sent': 1647710649.6993847, 'Brokered': 1647710649.7921069, 'Subscriber': '10.0.0.71', 'Received': 1647710650.4352224}
{'Topic': 'light', 'Value': 112, 'Sender': '10.0.0.18', 'Sent': 1647710649.7997584, 'Brokered': 1647710649.8907268, 'Subscriber': '10.0.0.71', 'Received': 1647710650.5442455}
{'Topic': 'humidity', 'Value': 26, 'Sender': '10.0.0.13', 'Sent': 1647710649.8932781, 'Brokered': 1647710649.934656, 'Subscriber': '10.0.0.71', 'Received': 1647710650.5841475}
{'Topic': 'humidity', 'Value': 112, 'Sender': '10.0.0.12', 'Sent': 1647710649.930868, 'Brokered': 1647710649.9617465, 'Subscriber': '10.0.0.71', 'Received': 1647710650.6071072}
{'Topic': 'light', 'Value': 111, 'Sender': '10.0.0.18', 'Sent': 1647710649.900192, 'Brokered': 1647710649.9924376, 'Subscriber': '10.0.0.71', 'Received': 1647710650.6329544}
{'Topic': 'light', 'Value': 434, 'Sender': '10.0.0.18', 'Sent': 1647710650.000636, 'Brokered': 1647710650.096804, 'Subscriber': '10.0.0.71', 'Received': 1647710650.74216}
{'Topic': 'weather', 'Value': 471, 'Sender': '10.0.0.12', 'Sent': 1647710650.1316214, 'Brokered': 1647710650.1627002, 'Subscriber': '10.0.0.71', 'Received': 1647710650.8056214}
{'Topic': 'light', 'Value': 255, 'Sender': '10.0.0.18', 'Sent': 1647710650.1011775, 'Brokered': 1647710650.19952, 'Subscriber': '10.0.0.71', 'Received': 1647710650.8396165}
{'Topic': 'humidity', 'Value': 330, 'Sender': '10.0.0.13', 'Sent': 1647710650.199219, 'Brokered': 1647710650.2423143, 'Subscriber': '10.0.0.71', 'Received': 1647710650.8882062}
{'Topic': 'light', 'Value': 109, 'Sender': '10.0.0.18', 'Sent': 1647710650.2017841, 'Brokered': 1647710650.294588, 'Subscriber': '10.0.0.71', 'Received': 1647710650.940622}
{'Topic': 'sound', 'Value': 353, 'Sender': '10.0.0.13', 'Sent': 1647710650.2994475, 'Brokered': 1647710650.341027, 'Subscriber': '10.0.0.71', 'Received': 1647710650.981861}
