Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['location', 'humidity', 'light']
Getting subscriber object
Binding REP to tcp://10.0.0.72:5580
Getting registry proxy
Registering with tcp://10.0.0.10:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Request sent
Starting monitor loop thread
Starting subscriber listen loop...
{'Topic': 'light', 'Value': 236, 'Sender': '10.0.0.18', 'Sent': 1647710640.352149, 'Brokered': 1647710640.4456387, 'Subscriber': '10.0.0.72', 'Received': 1647710641.0890186}
{'Topic': 'light', 'Value': 37, 'Sender': '10.0.0.18', 'Sent': 1647710640.4527493, 'Brokered': 1647710640.5457249, 'Subscriber': '10.0.0.72', 'Received': 1647710641.191333}
{'Topic': 'light', 'Value': 47, 'Sender': '10.0.0.18', 'Sent': 1647710640.5534308, 'Brokered': 1647710640.648048, 'Subscriber': '10.0.0.72', 'Received': 1647710641.2923093}
{'Topic': 'light', 'Value': 365, 'Sender': '10.0.0.18', 'Sent': 1647710640.654307, 'Brokered': 1647710640.746231, 'Subscriber': '10.0.0.72', 'Received': 1647710641.3924592}
{'Topic': 'light', 'Value': 122, 'Sender': '10.0.0.18', 'Sent': 1647710640.7545376, 'Brokered': 1647710640.8468406, 'Subscriber': '10.0.0.72', 'Received': 1647710641.4944258}
{'Topic': 'light', 'Value': 463, 'Sender': '10.0.0.18', 'Sent': 1647710640.8550107, 'Brokered': 1647710640.9489548, 'Subscriber': '10.0.0.72', 'Received': 1647710641.5955973}
{'Topic': 'humidity', 'Value': 357, 'Sender': '10.0.0.12', 'Sent': 1647710640.9812188, 'Brokered': 1647710641.0134501, 'Subscriber': '10.0.0.72', 'Received': 1647710641.6580298}
{'Topic': 'light', 'Value': 186, 'Sender': '10.0.0.18', 'Sent': 1647710640.9552655, 'Brokered': 1647710641.0472627, 'Subscriber': '10.0.0.72', 'Received': 1647710641.6921165}
{'Topic': 'light', 'Value': 182, 'Sender': '10.0.0.18', 'Sent': 1647710641.0556042, 'Brokered': 1647710641.1474023, 'Subscriber': '10.0.0.72', 'Received': 1647710641.7909997}
{'Topic': 'light', 'Value': 165, 'Sender': '10.0.0.18', 'Sent': 1647710641.1565807, 'Brokered': 1647710641.2488174, 'Subscriber': '10.0.0.72', 'Received': 1647710641.893527}
{'Topic': 'humidity', 'Value': 268, 'Sender': '10.0.0.13', 'Sent': 1647710641.237269, 'Brokered': 1647710641.2791467, 'Subscriber': '10.0.0.72', 'Received': 1647710642.3800535}
{'Topic': 'light', 'Value': 257, 'Sender': '10.0.0.18', 'Sent': 1647710641.2570658, 'Brokered': 1647710641.3493774, 'Subscriber': '10.0.0.72', 'Received': 1647710642.380218}
