Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['humidity', 'sound', 'light', 'temperature', 'location', 'smell', 'weather']
Getting subscriber object
Binding REP to tcp://10.0.0.74:5580
Getting registry proxy
Registering with tcp://10.0.0.3:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Request sent
Starting monitor loop thread
Starting subscriber listen loop...
{'Topic': 'light', 'Value': 416, 'Sender': '10.0.0.18', 'Sent': 1647710642.663253, 'Brokered': 1647710642.7561712, 'Subscriber': '10.0.0.74', 'Received': 1647710643.4318213}
{'Topic': 'temperature', 'Value': 104, 'Sender': '10.0.0.13', 'Sent': 1647710642.7443109, 'Brokered': 1647710642.784875, 'Subscriber': '10.0.0.74', 'Received': 1647710643.4606304}
{'Topic': 'temperature', 'Value': 125, 'Sender': '10.0.0.12', 'Sent': 1647710642.790134, 'Brokered': 1647710642.8225565, 'Subscriber': '10.0.0.74', 'Received': 1647710643.50257}
{'Topic': 'light', 'Value': 435, 'Sender': '10.0.0.18', 'Sent': 1647710642.7636418, 'Brokered': 1647710642.8569121, 'Subscriber': '10.0.0.74', 'Received': 1647710643.5359268}
{'Topic': 'light', 'Value': 222, 'Sender': '10.0.0.13', 'Sent': 1647710642.8452685, 'Brokered': 1647710642.887515, 'Subscriber': '10.0.0.74', 'Received': 1647710643.5645392}
{'Topic': 'humidity', 'Value': 382, 'Sender': '10.0.0.12', 'Sent': 1647710642.8905058, 'Brokered': 1647710642.9215949, 'Subscriber': '10.0.0.74', 'Received': 1647710643.5982385}
{'Topic': 'light', 'Value': 257, 'Sender': '10.0.0.18', 'Sent': 1647710642.8641007, 'Brokered': 1647710642.9581974, 'Subscriber': '10.0.0.74', 'Received': 1647710643.6371856}
{'Topic': 'sound', 'Value': 364, 'Sender': '10.0.0.13', 'Sent': 1647710642.9456809, 'Brokered': 1647710642.9876516, 'Subscriber': '10.0.0.74', 'Received': 1647710643.660458}
{'Topic': 'humidity', 'Value': 395, 'Sender': '10.0.0.12', 'Sent': 1647710642.991093, 'Brokered': 1647710643.0244944, 'Subscriber': '10.0.0.74', 'Received': 1647710643.6995318}
{'Topic': 'light', 'Value': 264, 'Sender': '10.0.0.18', 'Sent': 1647710642.9644454, 'Brokered': 1647710643.0602825, 'Subscriber': '10.0.0.74', 'Received': 1647710643.7326224}
{'Topic': 'temperature', 'Value': 346, 'Sender': '10.0.0.13', 'Sent': 1647710643.046006, 'Brokered': 1647710643.0882483, 'Subscriber': '10.0.0.74', 'Received': 1647710644.7905521}
{'Topic': 'weather', 'Value': 294, 'Sender': '10.0.0.12', 'Sent': 1647710643.091865, 'Brokered': 1647710643.1227827, 'Subscriber': '10.0.0.74', 'Received': 1647710644.7908416}
{'Topic': 'light', 'Value': 408, 'Sender': '10.0.0.18', 'Sent': 1647710643.065655, 'Brokered': 1647710643.1617086, 'Subscriber': '10.0.0.74', 'Received': 1647710644.7911055}
{'Topic': 'temperature', 'Value': 216, 'Sender': '10.0.0.12', 'Sent': 1647710643.1922994, 'Brokered': 1647710643.2240472, 'Subscriber': '10.0.0.74', 'Received': 1647710644.7912278}
{'Topic': 'light', 'Value': 8, 'Sender': '10.0.0.18', 'Sent': 1647710643.165921, 'Brokered': 1647710643.260466, 'Subscriber': '10.0.0.74', 'Received': 1647710644.7913234}
{'Topic': 'weather', 'Value': 346, 'Sender': '10.0.0.12', 'Sent': 1647710643.2929354, 'Brokered': 1647710643.3235967, 'Subscriber': '10.0.0.74', 'Received': 1647710644.7914822}
{'Topic': 'light', 'Value': 124, 'Sender': '10.0.0.18', 'Sent': 1647710643.2663085, 'Brokered': 1647710643.3594747, 'Subscriber': '10.0.0.74', 'Received': 1647710644.7915668}
{'Topic': 'sound', 'Value': 441, 'Sender': '10.0.0.13', 'Sent': 1647710643.348102, 'Brokered': 1647710643.3908596, 'Subscriber': '10.0.0.74', 'Received': 1647710644.7916455}
{'Topic': 'light', 'Value': 476, 'Sender': '10.0.0.18', 'Sent': 1647710643.367438, 'Brokered': 1647710643.461241, 'Subscriber': '10.0.0.74', 'Received': 1647710644.7917202}
{'Topic': 'sound', 'Value': 442, 'Sender': '10.0.0.12', 'Sent': 1647710643.4934347, 'Brokered': 1647710643.524195, 'Subscriber': '10.0.0.74', 'Received': 1647710644.791793}
{'Topic': 'light', 'Value': 226, 'Sender': '10.0.0.18', 'Sent': 1647710643.4678915, 'Brokered': 1647710643.5602536, 'Subscriber': '10.0.0.74', 'Received': 1647710644.7918816}
{'Topic': 'humidity', 'Value': 239, 'Sender': '10.0.0.13', 'Sent': 1647710643.549185, 'Brokered': 1647710643.59118, 'Subscriber': '10.0.0.74', 'Received': 1647710644.7919562}
{'Topic': 'sound', 'Value': 337, 'Sender': '10.0.0.12', 'Sent': 1647710643.5936205, 'Brokered': 1647710643.6252337, 'Subscriber': '10.0.0.74', 'Received': 1647710644.7920291}
{'Topic': 'light', 'Value': 132, 'Sender': '10.0.0.18', 'Sent': 1647710643.5682497, 'Brokered': 1647710643.6613202, 'Subscriber': '10.0.0.74', 'Received': 1647710644.7921016}
{'Topic': 'light', 'Value': 275, 'Sender': '10.0.0.13', 'Sent': 1647710643.6497004, 'Brokered': 1647710643.6907914, 'Subscriber': '10.0.0.74', 'Received': 1647710644.7921739}
{'Topic': 'light', 'Value': 141, 'Sender': '10.0.0.18', 'Sent': 1647710643.6690826, 'Brokered': 1647710643.7636201, 'Subscriber': '10.0.0.74', 'Received': 1647710644.7926548}
{'Topic': 'smell', 'Value': 169, 'Sender': '10.0.0.13', 'Sent': 1647710643.7526367, 'Brokered': 1647710643.7942016, 'Subscriber': '10.0.0.74', 'Received': 1647710644.7928882}
{'Topic': 'weather', 'Value': 462, 'Sender': '10.0.0.12', 'Sent': 1647710643.794701, 'Brokered': 1647710643.8256736, 'Subscriber': '10.0.0.74', 'Received': 1647710644.793025}
{'Topic': 'light', 'Value': 380, 'Sender': '10.0.0.18', 'Sent': 1647710643.7698042, 'Brokered': 1647710643.8621528, 'Subscriber': '10.0.0.74', 'Received': 1647710644.8186252}
{'Topic': 'light', 'Value': 205, 'Sender': '10.0.0.13', 'Sent': 1647710643.8540618, 'Brokered': 1647710643.8955996, 'Subscriber': '10.0.0.74', 'Received': 1647710644.8190145}
{'Topic': 'weather', 'Value': 313, 'Sender': '10.0.0.12', 'Sent': 1647710643.8952785, 'Brokered': 1647710643.926525, 'Subscriber': '10.0.0.74', 'Received': 1647710644.8191576}
{'Topic': 'light', 'Value': 204, 'Sender': '10.0.0.18', 'Sent': 1647710643.8704321, 'Brokered': 1647710643.963725, 'Subscriber': '10.0.0.74', 'Received': 1647710644.8192668}
{'Topic': 'light', 'Value': 221, 'Sender': '10.0.0.13', 'Sent': 1647710643.9550133, 'Brokered': 1647710643.9987478, 'Subscriber': '10.0.0.74', 'Received': 1647710644.8194716}
{'Topic': 'sound', 'Value': 280, 'Sender': '10.0.0.12', 'Sent': 1647710643.9956436, 'Brokered': 1647710644.028633, 'Subscriber': '10.0.0.74', 'Received': 1647710644.819595}
{'Topic': 'light', 'Value': 345, 'Sender': '10.0.0.18', 'Sent': 1647710643.9707131, 'Brokered': 1647710644.0660992, 'Subscriber': '10.0.0.74', 'Received': 1647710644.8202367}
{'Topic': 'humidity', 'Value': 168, 'Sender': '10.0.0.13', 'Sent': 1647710644.0563889, 'Brokered': 1647710644.0979006, 'Subscriber': '10.0.0.74', 'Received': 1647710644.8213806}
{'Topic': 'temperature', 'Value': 384, 'Sender': '10.0.0.12', 'Sent': 1647710644.0967991, 'Brokered': 1647710644.1285827, 'Subscriber': '10.0.0.74', 'Received': 1647710644.8219986}
{'Topic': 'light', 'Value': 413, 'Sender': '10.0.0.18', 'Sent': 1647710644.071016, 'Brokered': 1647710644.1636095, 'Subscriber': '10.0.0.74', 'Received': 1647710644.8510387}
{'Topic': 'humidity', 'Value': 169, 'Sender': '10.0.0.12', 'Sent': 1647710644.1979115, 'Brokered': 1647710644.229215, 'Subscriber': '10.0.0.74', 'Received': 1647710644.9073353}
{'Topic': 'light', 'Value': 466, 'Sender': '10.0.0.18', 'Sent': 1647710644.1720054, 'Brokered': 1647710644.2689798, 'Subscriber': '10.0.0.74', 'Received': 1647710644.9480007}
{'Topic': 'temperature', 'Value': 498, 'Sender': '10.0.0.13', 'Sent': 1647710644.2587109, 'Brokered': 1647710644.300091, 'Subscriber': '10.0.0.74', 'Received': 1647710644.9789248}
{'Topic': 'light', 'Value': 58, 'Sender': '10.0.0.18', 'Sent': 1647710644.272985, 'Brokered': 1647710644.3680582, 'Subscriber': '10.0.0.74', 'Received': 1647710645.051572}
{'Topic': 'light', 'Value': 157, 'Sender': '10.0.0.18', 'Sent': 1647710644.3732712, 'Brokered': 1647710644.4646292, 'Subscriber': '10.0.0.74', 'Received': 1647710645.1437225}
{'Topic': 'humidity', 'Value': 408, 'Sender': '10.0.0.13', 'Sent': 1647710644.4595654, 'Brokered': 1647710644.5011532, 'Subscriber': '10.0.0.74', 'Received': 1647710645.1753354}
{'Topic': 'light', 'Value': 394, 'Sender': '10.0.0.18', 'Sent': 1647710644.4739525, 'Brokered': 1647710644.5718908, 'Subscriber': '10.0.0.74', 'Received': 1647710645.2488804}
{'Topic': 'humidity', 'Value': 286, 'Sender': '10.0.0.12', 'Sent': 1647710644.5992968, 'Brokered': 1647710644.6308298, 'Subscriber': '10.0.0.74', 'Received': 1647710645.3084502}
{'Topic': 'light', 'Value': 182, 'Sender': '10.0.0.18', 'Sent': 1647710644.5744853, 'Brokered': 1647710644.667815, 'Subscriber': '10.0.0.74', 'Received': 1647710645.3426816}
{'Topic': 'light', 'Value': 103, 'Sender': '10.0.0.13', 'Sent': 1647710644.6601806, 'Brokered': 1647710644.702359, 'Subscriber': '10.0.0.74', 'Received': 1647710645.3812933}
