Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['humidity', 'sound']
Getting subscriber object
Binding REP to tcp://10.0.0.77:5580
Getting registry proxy
Registering with tcp://10.0.0.2:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Starting monitor loop threadRequest sent

Starting subscriber listen loop...
{'Topic': 'sound', 'Value': 481, 'Sender': '10.0.0.13', 'Sent': 1647710650.6010742, 'Brokered': 1647710650.6441162, 'Subscriber': '10.0.0.77', 'Received': 1647710651.358224}
{'Topic': 'humidity', 'Value': 238, 'Sender': '10.0.0.12', 'Sent': 1647710650.6345966, 'Brokered': 1647710650.6652598, 'Subscriber': '10.0.0.77', 'Received': 1647710651.370683}
{'Topic': 'sound', 'Value': 339, 'Sender': '10.0.0.12', 'Sent': 1647710651.3379653, 'Brokered': 1647710651.3692133, 'Subscriber': '10.0.0.77', 'Received': 1647710652.0747247}
{'Topic': 'sound', 'Value': 343, 'Sender': '10.0.0.12', 'Sent': 1647710651.8408418, 'Brokered': 1647710651.8725424, 'Subscriber': '10.0.0.77', 'Received': 1647710652.5825188}
{'Topic': 'humidity', 'Value': 5, 'Sender': '10.0.0.13', 'Sent': 1647710651.909721, 'Brokered': 1647710651.9517906, 'Subscriber': '10.0.0.77', 'Received': 1647710652.664981}
{'Topic': 'sound', 'Value': 21, 'Sender': '10.0.0.12', 'Sent': 1647710652.0422616, 'Brokered': 1647710652.073323, 'Subscriber': '10.0.0.77', 'Received': 1647710652.7831557}
{'Topic': 'sound', 'Value': 363, 'Sender': '10.0.0.12', 'Sent': 1647710652.1472604, 'Brokered': 1647710652.1807194, 'Subscriber': '10.0.0.77', 'Received': 1647710652.8954666}
{'Topic': 'sound', 'Value': 130, 'Sender': '10.0.0.12', 'Sent': 1647710652.247602, 'Brokered': 1647710652.2785454, 'Subscriber': '10.0.0.77', 'Received': 1647710652.9843981}
{'Topic': 'sound', 'Value': 354, 'Sender': '10.0.0.13', 'Sent': 1647710652.7132127, 'Brokered': 1647710652.75645, 'Subscriber': '10.0.0.77', 'Received': 1647710653.464195}
{'Topic': 'sound', 'Value': 369, 'Sender': '10.0.0.13', 'Sent': 1647710652.9140694, 'Brokered': 1647710652.9564123, 'Subscriber': '10.0.0.77', 'Received': 1647710653.6660066}
{'Topic': 'sound', 'Value': 366, 'Sender': '10.0.0.13', 'Sent': 1647710653.316088, 'Brokered': 1647710653.3571382, 'Subscriber': '10.0.0.77', 'Received': 1647710654.0686808}
{'Topic': 'humidity', 'Value': 118, 'Sender': '10.0.0.12', 'Sent': 1647710653.3542495, 'Brokered': 1647710653.38598, 'Subscriber': '10.0.0.77', 'Received': 1647710654.0895643}
{'Topic': 'humidity', 'Value': 61, 'Sender': '10.0.0.13', 'Sent': 1647710653.4164941, 'Brokered': 1647710653.4633806, 'Subscriber': '10.0.0.77', 'Received': 1647710654.1728072}
{'Topic': 'humidity', 'Value': 232, 'Sender': '10.0.0.12', 'Sent': 1647710653.6552963, 'Brokered': 1647710653.6866608, 'Subscriber': '10.0.0.77', 'Received': 1647710654.390796}
{'Topic': 'humidity', 'Value': 270, 'Sender': '10.0.0.12', 'Sent': 1647710653.7559447, 'Brokered': 1647710653.7876809, 'Subscriber': '10.0.0.77', 'Received': 1647710654.4898605}
{'Topic': 'sound', 'Value': 113, 'Sender': '10.0.0.13', 'Sent': 1647710653.8181622, 'Brokered': 1647710653.858977, 'Subscriber': '10.0.0.77', 'Received': 1647710654.571545}
{'Topic': 'humidity', 'Value': 93, 'Sender': '10.0.0.12', 'Sent': 1647710653.856695, 'Brokered': 1647710653.8882961, 'Subscriber': '10.0.0.77', 'Received': 1647710654.5936499}
{'Topic': 'sound', 'Value': 318, 'Sender': '10.0.0.13', 'Sent': 1647710653.9184704, 'Brokered': 1647710653.9645762, 'Subscriber': '10.0.0.77', 'Received': 1647710654.6763413}
{'Topic': 'humidity', 'Value': 25, 'Sender': '10.0.0.12', 'Sent': 1647710653.9602392, 'Brokered': 1647710653.9945521, 'Subscriber': '10.0.0.77', 'Received': 1647710654.7071786}
{'Topic': 'sound', 'Value': 273, 'Sender': '10.0.0.13', 'Sent': 1647710654.019259, 'Brokered': 1647710654.0603848, 'Subscriber': '10.0.0.77', 'Received': 1647710654.7698727}
{'Topic': 'sound', 'Value': 257, 'Sender': '10.0.0.12', 'Sent': 1647710654.1609988, 'Brokered': 1647710654.192663, 'Subscriber': '10.0.0.77', 'Received': 1647710654.8973444}
{'Topic': 'sound', 'Value': 382, 'Sender': '10.0.0.12', 'Sent': 1647710654.3618479, 'Brokered': 1647710654.392988, 'Subscriber': '10.0.0.77', 'Received': 1647710655.1012173}
{'Topic': 'humidity', 'Value': 326, 'Sender': '10.0.0.13', 'Sent': 1647710654.4211092, 'Brokered': 1647710654.465353, 'Subscriber': '10.0.0.77', 'Received': 1647710655.175149}
{'Topic': 'humidity', 'Value': 312, 'Sender': '10.0.0.13', 'Sent': 1647710654.8241377, 'Brokered': 1647710654.8654447, 'Subscriber': '10.0.0.77', 'Received': 1647710655.5777998}
{'Topic': 'sound', 'Value': 63, 'Sender': '10.0.0.13', 'Sent': 1647710655.1268513, 'Brokered': 1647710655.1689048, 'Subscriber': '10.0.0.77', 'Received': 1647710655.8740938}
{'Topic': 'sound', 'Value': 269, 'Sender': '10.0.0.12', 'Sent': 1647710655.1647267, 'Brokered': 1647710655.1955314, 'Subscriber': '10.0.0.77', 'Received': 1647710655.9041183}
{'Topic': 'sound', 'Value': 372, 'Sender': '10.0.0.12', 'Sent': 1647710655.4658384, 'Brokered': 1647710655.4970164, 'Subscriber': '10.0.0.77', 'Received': 1647710656.2008865}
{'Topic': 'sound', 'Value': 331, 'Sender': '10.0.0.13', 'Sent': 1647710655.5298183, 'Brokered': 1647710655.5781007, 'Subscriber': '10.0.0.77', 'Received': 1647710656.2827346}
{'Topic': 'humidity', 'Value': 378, 'Sender': '10.0.0.12', 'Sent': 1647710655.5663023, 'Brokered': 1647710655.5973952, 'Subscriber': '10.0.0.77', 'Received': 1647710656.3000247}
{'Topic': 'sound', 'Value': 438, 'Sender': '10.0.0.12', 'Sent': 1647710655.6669793, 'Brokered': 1647710655.699162, 'Subscriber': '10.0.0.77', 'Received': 1647710656.4116824}
{'Topic': 'sound', 'Value': 268, 'Sender': '10.0.0.12', 'Sent': 1647710655.768094, 'Brokered': 1647710655.7992074, 'Subscriber': '10.0.0.77', 'Received': 1647710656.5043592}
{'Topic': 'humidity', 'Value': 167, 'Sender': '10.0.0.13', 'Sent': 1647710655.830777, 'Brokered': 1647710655.8726115, 'Subscriber': '10.0.0.77', 'Received': 1647710656.576998}
{'Topic': 'sound', 'Value': 160, 'Sender': '10.0.0.13', 'Sent': 1647710656.0312564, 'Brokered': 1647710656.0730164, 'Subscriber': '10.0.0.77', 'Received': 1647710656.774095}
{'Topic': 'sound', 'Value': 276, 'Sender': '10.0.0.12', 'Sent': 1647710656.7734253, 'Brokered': 1647710656.804331, 'Subscriber': '10.0.0.77', 'Received': 1647710657.5637128}
{'Topic': 'humidity', 'Value': 51, 'Sender': '10.0.0.13', 'Sent': 1647710657.239757, 'Brokered': 1647710657.2815695, 'Subscriber': '10.0.0.77', 'Received': 1647710657.9909384}
{'Topic': 'sound', 'Value': 71, 'Sender': '10.0.0.12', 'Sent': 1647710657.2779305, 'Brokered': 1647710657.308584, 'Subscriber': '10.0.0.77', 'Received': 1647710658.0152686}
{'Topic': 'humidity', 'Value': 341, 'Sender': '10.0.0.15', 'Sent': 1647710657.384054, 'Brokered': 1647710657.4496706, 'Subscriber': '10.0.0.77', 'Received': 1647710658.1601431}
{'Topic': 'sound', 'Value': 105, 'Sender': '10.0.0.13', 'Sent': 1647710657.4405272, 'Brokered': 1647710657.481917, 'Subscriber': '10.0.0.77', 'Received': 1647710658.1904624}
{'Topic': 'humidity', 'Value': 414, 'Sender': '10.0.0.16', 'Sent': 1647710657.448695, 'Brokered': 1647710657.521129, 'Subscriber': '10.0.0.77', 'Received': 1647710658.2385068}
{'Topic': 'sound', 'Value': 236, 'Sender': '10.0.0.12', 'Sent': 1647710657.580349, 'Brokered': 1647710657.611422, 'Subscriber': '10.0.0.77', 'Received': 1647710658.3242705}
{'Topic': 'humidity', 'Value': 202, 'Sender': '10.0.0.12', 'Sent': 1647710657.6808, 'Brokered': 1647710657.7123027, 'Subscriber': '10.0.0.77', 'Received': 1647710658.4256785}
{'Topic': 'sound', 'Value': 321, 'Sender': '10.0.0.15', 'Sent': 1647710657.788496, 'Brokered': 1647710657.8512876, 'Subscriber': '10.0.0.77', 'Received': 1647710658.5583787}
