Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['smell', 'location', 'airquality', 'pressure', 'sound', 'light', 'altitude', 'temperature', 'humidity', 'weather']
Getting subscriber object
Binding REP to tcp://10.0.0.78:5580
Getting registry proxy
Registering with tcp://10.0.0.3:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Request sent
Starting monitor loop thread
Starting subscriber listen loop...
{'Topic': 'location', 'Value': 305, 'Sender': '10.0.0.15', 'Sent': 1647701703.3642657, 'Brokered': 1647701703.4250307, 'Subscriber': '10.0.0.78', 'Received': 1647701704.1401603}
{'Topic': 'location', 'Value': 436, 'Sender': '10.0.0.15', 'Sent': 1647701703.4701848, 'Brokered': 1647701703.5329564, 'Subscriber': '10.0.0.78', 'Received': 1647701704.2444692}
{'Topic': 'smell', 'Value': 38, 'Sender': '10.0.0.15', 'Sent': 1647701703.5706613, 'Brokered': 1647701703.6349926, 'Subscriber': '10.0.0.78', 'Received': 1647701704.3505688}
{'Topic': 'weather', 'Value': 139, 'Sender': '10.0.0.15', 'Sent': 1647701703.6712222, 'Brokered': 1647701703.733754, 'Subscriber': '10.0.0.78', 'Received': 1647701704.4442003}
{'Topic': 'location', 'Value': 457, 'Sender': '10.0.0.15', 'Sent': 1647701703.772901, 'Brokered': 1647701703.83422, 'Subscriber': '10.0.0.78', 'Received': 1647701704.5433888}
{'Topic': 'smell', 'Value': 71, 'Sender': '10.0.0.15', 'Sent': 1647701703.8732464, 'Brokered': 1647701703.9350073, 'Subscriber': '10.0.0.78', 'Received': 1647701704.6469848}
{'Topic': 'pressure', 'Value': 70, 'Sender': '10.0.0.15', 'Sent': 1647701703.9734666, 'Brokered': 1647701704.0373125, 'Subscriber': '10.0.0.78', 'Received': 1647701704.7545733}
{'Topic': 'humidity', 'Value': 51, 'Sender': '10.0.0.15', 'Sent': 1647701704.0739856, 'Brokered': 1647701704.1360185, 'Subscriber': '10.0.0.78', 'Received': 1647701704.8514743}
{'Topic': 'location', 'Value': 485, 'Sender': '10.0.0.15', 'Sent': 1647701704.1748, 'Brokered': 1647701704.2366862, 'Subscriber': '10.0.0.78', 'Received': 1647701704.9523928}
{'Topic': 'airquality', 'Value': 140, 'Sender': '10.0.0.15', 'Sent': 1647701704.2750733, 'Brokered': 1647701704.3363278, 'Subscriber': '10.0.0.78', 'Received': 1647701705.048284}
{'Topic': 'smell', 'Value': 297, 'Sender': '10.0.0.15', 'Sent': 1647701704.3756857, 'Brokered': 1647701704.4371307, 'Subscriber': '10.0.0.78', 'Received': 1647701705.6645484}
{'Topic': 'humidity', 'Value': 147, 'Sender': '10.0.0.15', 'Sent': 1647701704.476228, 'Brokered': 1647701704.5385208, 'Subscriber': '10.0.0.78', 'Received': 1647701705.66548}
{'Topic': 'temperature', 'Value': 159, 'Sender': '10.0.0.15', 'Sent': 1647701704.57662, 'Brokered': 1647701704.6387243, 'Subscriber': '10.0.0.78', 'Received': 1647701705.6667879}
{'Topic': 'light', 'Value': 476, 'Sender': '10.0.0.15', 'Sent': 1647701704.6769056, 'Brokered': 1647701704.738539, 'Subscriber': '10.0.0.78', 'Received': 1647701705.6681278}
{'Topic': 'pressure', 'Value': 313, 'Sender': '10.0.0.15', 'Sent': 1647701704.777229, 'Brokered': 1647701704.8395627, 'Subscriber': '10.0.0.78', 'Received': 1647701705.6682568}
{'Topic': 'humidity', 'Value': 410, 'Sender': '10.0.0.15', 'Sent': 1647701704.8776448, 'Brokered': 1647701704.9412622, 'Subscriber': '10.0.0.78', 'Received': 1647701705.6684582}
{'Topic': 'humidity', 'Value': 240, 'Sender': '10.0.0.15', 'Sent': 1647701704.9779127, 'Brokered': 1647701705.039353, 'Subscriber': '10.0.0.78', 'Received': 1647701705.7699952}
{'Topic': 'temperature', 'Value': 134, 'Sender': '10.0.0.15', 'Sent': 1647701705.0781844, 'Brokered': 1647701705.1403618, 'Subscriber': '10.0.0.78', 'Received': 1647701705.861272}
{'Topic': 'altitude', 'Value': 185, 'Sender': '10.0.0.15', 'Sent': 1647701705.1786687, 'Brokered': 1647701705.2571635, 'Subscriber': '10.0.0.78', 'Received': 1647701705.987505}
{'Topic': 'pressure', 'Value': 270, 'Sender': '10.0.0.15', 'Sent': 1647701705.2822342, 'Brokered': 1647701705.3476264, 'Subscriber': '10.0.0.78', 'Received': 1647701706.066443}
{'Topic': 'sound', 'Value': 442, 'Sender': '10.0.0.15', 'Sent': 1647701705.3862648, 'Brokered': 1647701705.4485123, 'Subscriber': '10.0.0.78', 'Received': 1647701706.1571126}
{'Topic': 'sound', 'Value': 236, 'Sender': '10.0.0.15', 'Sent': 1647701705.4869566, 'Brokered': 1647701705.5526035, 'Subscriber': '10.0.0.78', 'Received': 1647701706.259102}
{'Topic': 'humidity', 'Value': 150, 'Sender': '10.0.0.15', 'Sent': 1647701705.5873373, 'Brokered': 1647701705.6492822, 'Subscriber': '10.0.0.78', 'Received': 1647701706.3520918}
{'Topic': 'pressure', 'Value': 487, 'Sender': '10.0.0.15', 'Sent': 1647701705.6880927, 'Brokered': 1647701705.7504807, 'Subscriber': '10.0.0.78', 'Received': 1647701706.461961}
{'Topic': 'pressure', 'Value': 344, 'Sender': '10.0.0.15', 'Sent': 1647701705.7883866, 'Brokered': 1647701705.8512664, 'Subscriber': '10.0.0.78', 'Received': 1647701706.564784}
{'Topic': 'pressure', 'Value': 232, 'Sender': '10.0.0.15', 'Sent': 1647701705.8894186, 'Brokered': 1647701705.951276, 'Subscriber': '10.0.0.78', 'Received': 1647701706.6635747}
{'Topic': 'altitude', 'Value': 242, 'Sender': '10.0.0.15', 'Sent': 1647701705.9897256, 'Brokered': 1647701706.0509634, 'Subscriber': '10.0.0.78', 'Received': 1647701706.7672458}
{'Topic': 'temperature', 'Value': 122, 'Sender': '10.0.0.15', 'Sent': 1647701706.090125, 'Brokered': 1647701706.151743, 'Subscriber': '10.0.0.78', 'Received': 1647701706.87075}
{'Topic': 'altitude', 'Value': 494, 'Sender': '10.0.0.15', 'Sent': 1647701706.1905298, 'Brokered': 1647701706.2551115, 'Subscriber': '10.0.0.78', 'Received': 1647701706.9789574}
{'Topic': 'humidity', 'Value': 248, 'Sender': '10.0.0.15', 'Sent': 1647701706.290928, 'Brokered': 1647701706.3524587, 'Subscriber': '10.0.0.78', 'Received': 1647701707.0741012}
{'Topic': 'location', 'Value': 107, 'Sender': '10.0.0.15', 'Sent': 1647701706.3912246, 'Brokered': 1647701706.4534988, 'Subscriber': '10.0.0.78', 'Received': 1647701707.178991}
{'Topic': 'location', 'Value': 136, 'Sender': '10.0.0.15', 'Sent': 1647701706.4916565, 'Brokered': 1647701706.5546482, 'Subscriber': '10.0.0.78', 'Received': 1647701707.270979}
{'Topic': 'pressure', 'Value': 434, 'Sender': '10.0.0.15', 'Sent': 1647701706.5921514, 'Brokered': 1647701706.6552913, 'Subscriber': '10.0.0.78', 'Received': 1647701707.3733315}
{'Topic': 'weather', 'Value': 351, 'Sender': '10.0.0.15', 'Sent': 1647701706.6924748, 'Brokered': 1647701706.7537024, 'Subscriber': '10.0.0.78', 'Received': 1647701707.4797292}
{'Topic': 'light', 'Value': 475, 'Sender': '10.0.0.15', 'Sent': 1647701706.7964888, 'Brokered': 1647701706.8625457, 'Subscriber': '10.0.0.78', 'Received': 1647701707.5896726}
{'Topic': 'location', 'Value': 360, 'Sender': '10.0.0.15', 'Sent': 1647701706.8969176, 'Brokered': 1647701706.9593956, 'Subscriber': '10.0.0.78', 'Received': 1647701707.679528}
{'Topic': 'temperature', 'Value': 28, 'Sender': '10.0.0.15', 'Sent': 1647701706.9971557, 'Brokered': 1647701707.0600317, 'Subscriber': '10.0.0.78', 'Received': 1647701707.7770028}
{'Topic': 'sound', 'Value': 155, 'Sender': '10.0.0.15', 'Sent': 1647701707.0974028, 'Brokered': 1647701707.1606379, 'Subscriber': '10.0.0.78', 'Received': 1647701707.881452}
{'Topic': 'altitude', 'Value': 244, 'Sender': '10.0.0.15', 'Sent': 1647701707.1978116, 'Brokered': 1647701707.2602124, 'Subscriber': '10.0.0.78', 'Received': 1647701707.9756532}
{'Topic': 'sound', 'Value': 64, 'Sender': '10.0.0.15', 'Sent': 1647701707.2980332, 'Brokered': 1647701707.358794, 'Subscriber': '10.0.0.78', 'Received': 1647701708.0702512}
{'Topic': 'sound', 'Value': 149, 'Sender': '10.0.0.15', 'Sent': 1647701707.3982923, 'Brokered': 1647701707.4602137, 'Subscriber': '10.0.0.78', 'Received': 1647701708.170933}
{'Topic': 'humidity', 'Value': 369, 'Sender': '10.0.0.15', 'Sent': 1647701707.499384, 'Brokered': 1647701707.564115, 'Subscriber': '10.0.0.78', 'Received': 1647701708.2771115}
{'Topic': 'location', 'Value': 350, 'Sender': '10.0.0.15', 'Sent': 1647701707.6000488, 'Brokered': 1647701707.6615875, 'Subscriber': '10.0.0.78', 'Received': 1647701708.37214}
{'Topic': 'temperature', 'Value': 193, 'Sender': '10.0.0.15', 'Sent': 1647701707.7009337, 'Brokered': 1647701707.7632866, 'Subscriber': '10.0.0.78', 'Received': 1647701708.4760125}
{'Topic': 'altitude', 'Value': 174, 'Sender': '10.0.0.15', 'Sent': 1647701707.8012984, 'Brokered': 1647701707.8640604, 'Subscriber': '10.0.0.78', 'Received': 1647701708.5801837}
{'Topic': 'temperature', 'Value': 454, 'Sender': '10.0.0.15', 'Sent': 1647701707.9015923, 'Brokered': 1647701707.9637458, 'Subscriber': '10.0.0.78', 'Received': 1647701708.675144}
{'Topic': 'temperature', 'Value': 390, 'Sender': '10.0.0.15', 'Sent': 1647701708.0029793, 'Brokered': 1647701708.064956, 'Subscriber': '10.0.0.78', 'Received': 1647701708.7836053}
{'Topic': 'airquality', 'Value': 296, 'Sender': '10.0.0.15', 'Sent': 1647701708.1040697, 'Brokered': 1647701708.1656725, 'Subscriber': '10.0.0.78', 'Received': 1647701708.8826718}
{'Topic': 'sound', 'Value': 486, 'Sender': '10.0.0.15', 'Sent': 1647701708.2043843, 'Brokered': 1647701708.265766, 'Subscriber': '10.0.0.78', 'Received': 1647701708.989819}
