Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['temperature', 'airquality', 'location', 'altitude', 'smell', 'pressure', 'weather', 'light', 'sound']
Getting subscriber object
Binding REP to tcp://10.0.0.80:5580
Getting registry proxy
Registering with tcp://10.0.0.7:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Request sent
Starting monitor loop thread
Starting subscriber listen loop...
{'Topic': 'pressure', 'Value': 29, 'Sender': '10.0.0.15', 'Sent': 1647701689.0729444, 'Brokered': 1647701689.1338742, 'Subscriber': '10.0.0.80', 'Received': 1647701689.868363}
{'Topic': 'smell', 'Value': 469, 'Sender': '10.0.0.15', 'Sent': 1647701689.1733758, 'Brokered': 1647701689.2346916, 'Subscriber': '10.0.0.80', 'Received': 1647701689.9687245}
{'Topic': 'weather', 'Value': 456, 'Sender': '10.0.0.15', 'Sent': 1647701689.2737894, 'Brokered': 1647701689.3353734, 'Subscriber': '10.0.0.80', 'Received': 1647701690.0647383}
{'Topic': 'location', 'Value': 223, 'Sender': '10.0.0.15', 'Sent': 1647701689.4756598, 'Brokered': 1647701689.5378258, 'Subscriber': '10.0.0.80', 'Received': 1647701690.267666}
{'Topic': 'smell', 'Value': 44, 'Sender': '10.0.0.15', 'Sent': 1647701689.5761535, 'Brokered': 1647701689.638543, 'Subscriber': '10.0.0.80', 'Received': 1647701690.3706708}
{'Topic': 'weather', 'Value': 159, 'Sender': '10.0.0.15', 'Sent': 1647701689.676542, 'Brokered': 1647701689.7404199, 'Subscriber': '10.0.0.80', 'Received': 1647701690.4686587}
{'Topic': 'airquality', 'Value': 179, 'Sender': '10.0.0.15', 'Sent': 1647701689.7770844, 'Brokered': 1647701689.8392866, 'Subscriber': '10.0.0.80', 'Received': 1647701690.5711582}
{'Topic': 'airquality', 'Value': 403, 'Sender': '10.0.0.15', 'Sent': 1647701689.9786675, 'Brokered': 1647701690.040513, 'Subscriber': '10.0.0.80', 'Received': 1647701690.7731738}
{'Topic': 'smell', 'Value': 91, 'Sender': '10.0.0.15', 'Sent': 1647701690.07931, 'Brokered': 1647701690.1412358, 'Subscriber': '10.0.0.80', 'Received': 1647701690.8700259}
{'Topic': 'sound', 'Value': 135, 'Sender': '10.0.0.15', 'Sent': 1647701690.179956, 'Brokered': 1647701690.2422087, 'Subscriber': '10.0.0.80', 'Received': 1647701690.9749348}
{'Topic': 'temperature', 'Value': 112, 'Sender': '10.0.0.15', 'Sent': 1647701690.2803648, 'Brokered': 1647701690.341634, 'Subscriber': '10.0.0.80', 'Received': 1647701691.3886802}
{'Topic': 'light', 'Value': 22, 'Sender': '10.0.0.15', 'Sent': 1647701690.3807113, 'Brokered': 1647701690.4420745, 'Subscriber': '10.0.0.80', 'Received': 1647701691.388876}
{'Topic': 'airquality', 'Value': 184, 'Sender': '10.0.0.15', 'Sent': 1647701690.481228, 'Brokered': 1647701690.5425234, 'Subscriber': '10.0.0.80', 'Received': 1647701691.3890276}
