Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['temperature', 'location', 'humidity', 'airquality', 'altitude']
Getting subscriber object
Binding REP to tcp://10.0.0.81:5580
Getting registry proxy
Registering with tcp://10.0.0.2:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
{'Topic': 'altitude', 'Value': 435, 'Sender': '10.0.0.19', 'Sent': 1647710722.434319, 'Brokered': 1647710722.5468082, 'Subscriber': '10.0.0.81', 'Received': 1647710723.3398845}
{'Topic': 'temperature', 'Value': 262, 'Sender': '10.0.0.20', 'Sent': 1647710722.4357965, 'Brokered': 1647710722.5567892, 'Subscriber': '10.0.0.81', 'Received': 1647710723.3401349}
{'Topic': 'airquality', 'Value': 107, 'Sender': '10.0.0.24', 'Sent': 1647710722.404087, 'Brokered': 1647710722.5707135, 'Subscriber': '10.0.0.81', 'Received': 1647710723.3402257}
{'Topic': 'altitude', 'Value': 11, 'Sender': '10.0.0.26', 'Sent': 1647710722.3887336, 'Brokered': 1647710722.5709064, 'Subscriber': '10.0.0.81', 'Received': 1647710723.3403058}
{'Topic': 'humidity', 'Value': 447, 'Sender': '10.0.0.16', 'Sent': 1647710722.4967208, 'Brokered': 1647710722.5816975, 'Subscriber': '10.0.0.81', 'Received': 1647710723.340381}
{'Topic': 'airquality', 'Value': 395, 'Sender': '10.0.0.14', 'Sent': 1647710722.5282176, 'Brokered': 1647710722.5882256, 'Subscriber': '10.0.0.81', 'Received': 1647710723.3554306}
{'Topic': 'airquality', 'Value': 72, 'Sender': '10.0.0.17', 'Sent': 1647710722.4978228, 'Brokered': 1647710722.5904763, 'Subscriber': '10.0.0.81', 'Received': 1647710723.3561895}
{'Topic': 'airquality', 'Value': 31, 'Sender': '10.0.0.15', 'Sent': 1647710722.5299513, 'Brokered': 1647710722.6030185, 'Subscriber': '10.0.0.81', 'Received': 1647710723.3639078}
{'Topic': 'humidity', 'Value': 483, 'Sender': '10.0.0.12', 'Sent': 1647710722.587605, 'Brokered': 1647710722.64963, 'Subscriber': '10.0.0.81', 'Received': 1647710725.1286569}
{'Topic': 'altitude', 'Value': 418, 'Sender': '10.0.0.19', 'Sent': 1647710722.5367596, 'Brokered': 1647710722.6497872, 'Subscriber': '10.0.0.81', 'Received': 1647710725.128802}
{'Topic': 'temperature', 'Value': 58, 'Sender': '10.0.0.20', 'Sent': 1647710722.5365868, 'Brokered': 1647710722.6564882, 'Subscriber': '10.0.0.81', 'Received': 1647710725.128891}
{'Topic': 'airquality', 'Value': 214, 'Sender': '10.0.0.24', 'Sent': 1647710722.5043082, 'Brokered': 1647710722.6654708, 'Subscriber': '10.0.0.81', 'Received': 1647710725.1289697}
{'Topic': 'humidity', 'Value': 135, 'Sender': '10.0.0.26', 'Sent': 1647710722.4905617, 'Brokered': 1647710722.6772823, 'Subscriber': '10.0.0.81', 'Received': 1647710725.1290457}
