Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['humidity', 'light']
Getting subscriber object
Binding REP to tcp://10.0.0.90:5580
Getting registry proxy
Registering with tcp://10.0.0.5:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
{'Topic': 'light', 'Value': 270, 'Sender': '10.0.0.27', 'Sent': 1647710812.7260025, 'Brokered': 1647710812.91927, 'Subscriber': '10.0.0.90', 'Received': 1647710813.8108015}
{'Topic': 'humidity', 'Value': 320, 'Sender': '10.0.0.31', 'Sent': 1647710812.7573907, 'Brokered': 1647710812.9954374, 'Subscriber': '10.0.0.90', 'Received': 1647710813.8576512}
{'Topic': 'humidity', 'Value': 224, 'Sender': '10.0.0.29', 'Sent': 1647710812.8037143, 'Brokered': 1647710813.0245614, 'Subscriber': '10.0.0.90', 'Received': 1647710813.9006765}
{'Topic': 'humidity', 'Value': 35, 'Sender': '10.0.0.27', 'Sent': 1647710813.0285273, 'Brokered': 1647710813.2169867, 'Subscriber': '10.0.0.90', 'Received': 1647710814.0983186}
{'Topic': 'light', 'Value': 467, 'Sender': '10.0.0.27', 'Sent': 1647710813.1300085, 'Brokered': 1647710813.3479178, 'Subscriber': '10.0.0.90', 'Received': 1647710814.2244382}
{'Topic': 'light', 'Value': 428, 'Sender': '10.0.0.28', 'Sent': 1647710813.2298293, 'Brokered': 1647710813.4367037, 'Subscriber': '10.0.0.90', 'Received': 1647710814.328287}
{'Topic': 'light', 'Value': 355, 'Sender': '10.0.0.29', 'Sent': 1647710813.3137972, 'Brokered': 1647710813.5363572, 'Subscriber': '10.0.0.90', 'Received': 1647710814.4251246}
Reply received
[{'ip': '10.0.0.11', 'port': '5561'}]
{'Topic': 'humidity', 'Value': 13, 'Sender': '10.0.0.24', 'Sent': 1647710813.4585903, 'Brokered': 1647710813.6280117, 'Subscriber': '10.0.0.90', 'Received': 1647710815.8621984}
{'Topic': 'humidity', 'Value': 264, 'Sender': '10.0.0.29', 'Sent': 1647710813.5227542, 'Brokered': 1647710813.7406309, 'Subscriber': '10.0.0.90', 'Received': 1647710815.8641052}
{'Topic': 'humidity', 'Value': 473, 'Sender': '10.0.0.31', 'Sent': 1647710813.5658605, 'Brokered': 1647710813.803733, 'Subscriber': '10.0.0.90', 'Received': 1647710815.873653}
{'Topic': 'light', 'Value': 272, 'Sender': '10.0.0.27', 'Sent': 1647710813.645122, 'Brokered': 1647710813.835451, 'Subscriber': '10.0.0.90', 'Received': 1647710815.8737812}
{'Topic': 'humidity', 'Value': 26, 'Sender': '10.0.0.25', 'Sent': 1647710813.7078006, 'Brokered': 1647710813.880846, 'Subscriber': '10.0.0.90', 'Received': 1647710815.873868}
{'Topic': 'humidity', 'Value': 469, 'Sender': '10.0.0.28', 'Sent': 1647710813.8394406, 'Brokered': 1647710814.0469384, 'Subscriber': '10.0.0.90', 'Received': 1647710815.873947}
{'Topic': 'light', 'Value': 482, 'Sender': '10.0.0.29', 'Sent': 1647710813.8277776, 'Brokered': 1647710814.0469995, 'Subscriber': '10.0.0.90', 'Received': 1647710815.8740237}
{'Topic': 'humidity', 'Value': 412, 'Sender': '10.0.0.27', 'Sent': 1647710813.9538693, 'Brokered': 1647710814.1566937, 'Subscriber': '10.0.0.90', 'Received': 1647710815.8740988}
{'Topic': 'humidity', 'Value': 201, 'Sender': '10.0.0.27', 'Sent': 1647710814.0546753, 'Brokered': 1647710814.2583327, 'Subscriber': '10.0.0.90', 'Received': 1647710815.8741724}
{'Topic': 'humidity', 'Value': 345, 'Sender': '10.0.0.25', 'Sent': 1647710814.122737, 'Brokered': 1647710814.3024938, 'Subscriber': '10.0.0.90', 'Received': 1647710815.8742597}
{'Topic': 'humidity', 'Value': 286, 'Sender': '10.0.0.27', 'Sent': 1647710814.1565132, 'Brokered': 1647710814.3765724, 'Subscriber': '10.0.0.90', 'Received': 1647710815.8743339}
{'Topic': 'light', 'Value': 194, 'Sender': '10.0.0.28', 'Sent': 1647710814.14943, 'Brokered': 1647710814.3766418, 'Subscriber': '10.0.0.90', 'Received': 1647710815.8744056}
