Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['light', 'temperature', 'smell', 'humidity', 'location', 'airquality']
Getting subscriber object
Binding REP to tcp://10.0.0.92:5580
Getting registry proxy
Registering with tcp://10.0.0.4:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Request sent
Starting monitor loop thread
Starting subscriber listen loop...
{'Topic': 'temperature', 'Value': 53, 'Sender': '10.0.0.13', 'Sent': 1647710652.8136177, 'Brokered': 1647710652.8580256, 'Subscriber': '10.0.0.92', 'Received': 1647710653.711217}
{'Topic': 'light', 'Value': 376, 'Sender': '10.0.0.18', 'Sent': 1647710652.8167338, 'Brokered': 1647710652.9089193, 'Subscriber': '10.0.0.92', 'Received': 1647710653.7773252}
{'Topic': 'airquality', 'Value': 108, 'Sender': '10.0.0.14', 'Sent': 1647710652.8806267, 'Brokered': 1647710652.9342017, 'Subscriber': '10.0.0.92', 'Received': 1647710653.8037808}
{'Topic': 'light', 'Value': 26, 'Sender': '10.0.0.18', 'Sent': 1647710652.9170072, 'Brokered': 1647710653.0097396, 'Subscriber': '10.0.0.92', 'Received': 1647710653.874856}
{'Topic': 'airquality', 'Value': 273, 'Sender': '10.0.0.14', 'Sent': 1647710652.9811127, 'Brokered': 1647710653.0330698, 'Subscriber': '10.0.0.92', 'Received': 1647710653.9005642}
{'Topic': 'airquality', 'Value': 276, 'Sender': '10.0.0.13', 'Sent': 1647710653.0144668, 'Brokered': 1647710653.0573578, 'Subscriber': '10.0.0.92', 'Received': 1647710653.9208977}
{'Topic': 'temperature', 'Value': 270, 'Sender': '10.0.0.12', 'Sent': 1647710653.0532372, 'Brokered': 1647710653.0842462, 'Subscriber': '10.0.0.92', 'Received': 1647710653.9461997}
{'Topic': 'light', 'Value': 24, 'Sender': '10.0.0.18', 'Sent': 1647710653.0174856, 'Brokered': 1647710653.109057, 'Subscriber': '10.0.0.92', 'Received': 1647710653.9729857}
{'Topic': 'airquality', 'Value': 183, 'Sender': '10.0.0.14', 'Sent': 1647710653.0818825, 'Brokered': 1647710653.133173, 'Subscriber': '10.0.0.92', 'Received': 1647710654.0044506}
{'Topic': 'light', 'Value': 322, 'Sender': '10.0.0.13', 'Sent': 1647710653.1153507, 'Brokered': 1647710653.1570415, 'Subscriber': '10.0.0.92', 'Received': 1647710654.024884}
{'Topic': 'light', 'Value': 330, 'Sender': '10.0.0.18', 'Sent': 1647710653.1180215, 'Brokered': 1647710653.2092433, 'Subscriber': '10.0.0.92', 'Received': 1647710655.4331043}
{'Topic': 'airquality', 'Value': 261, 'Sender': '10.0.0.14', 'Sent': 1647710653.18399, 'Brokered': 1647710653.2358625, 'Subscriber': '10.0.0.92', 'Received': 1647710655.4332511}
{'Topic': 'airquality', 'Value': 221, 'Sender': '10.0.0.13', 'Sent': 1647710653.2156975, 'Brokered': 1647710653.256676, 'Subscriber': '10.0.0.92', 'Received': 1647710655.4333498}
{'Topic': 'light', 'Value': 384, 'Sender': '10.0.0.18', 'Sent': 1647710653.2183652, 'Brokered': 1647710653.30998, 'Subscriber': '10.0.0.92', 'Received': 1647710655.4335167}
{'Topic': 'airquality', 'Value': 41, 'Sender': '10.0.0.14', 'Sent': 1647710653.2845483, 'Brokered': 1647710653.3366773, 'Subscriber': '10.0.0.92', 'Received': 1647710655.433603}
{'Topic': 'humidity', 'Value': 118, 'Sender': '10.0.0.12', 'Sent': 1647710653.3542495, 'Brokered': 1647710653.38598, 'Subscriber': '10.0.0.92', 'Received': 1647710655.4336812}
{'Topic': 'light', 'Value': 197, 'Sender': '10.0.0.18', 'Sent': 1647710653.3187013, 'Brokered': 1647710653.4116735, 'Subscriber': '10.0.0.92', 'Received': 1647710655.4338083}
