Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['altitude', 'location', 'airquality', 'temperature', 'sound', 'weather', 'light', 'smell', 'humidity']
Getting subscriber object
Binding REP to tcp://10.0.0.96:5580
Getting registry proxy
Registering with tcp://10.0.0.7:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
{'Topic': 'humidity', 'Value': 369, 'Sender': '10.0.0.15', 'Sent': 1647701707.499384, 'Brokered': 1647701707.564115, 'Subscriber': '10.0.0.96', 'Received': 1647701708.4662392}
{'Topic': 'location', 'Value': 350, 'Sender': '10.0.0.15', 'Sent': 1647701707.6000488, 'Brokered': 1647701707.6615875, 'Subscriber': '10.0.0.96', 'Received': 1647701708.5601783}
{'Topic': 'temperature', 'Value': 193, 'Sender': '10.0.0.15', 'Sent': 1647701707.7009337, 'Brokered': 1647701707.7632866, 'Subscriber': '10.0.0.96', 'Received': 1647701708.6641057}
{'Topic': 'altitude', 'Value': 174, 'Sender': '10.0.0.15', 'Sent': 1647701707.8012984, 'Brokered': 1647701707.8640604, 'Subscriber': '10.0.0.96', 'Received': 1647701708.77048}
{'Topic': 'temperature', 'Value': 454, 'Sender': '10.0.0.15', 'Sent': 1647701707.9015923, 'Brokered': 1647701707.9637458, 'Subscriber': '10.0.0.96', 'Received': 1647701708.8671093}
{'Topic': 'temperature', 'Value': 390, 'Sender': '10.0.0.15', 'Sent': 1647701708.0029793, 'Brokered': 1647701708.064956, 'Subscriber': '10.0.0.96', 'Received': 1647701708.9714215}
{'Topic': 'airquality', 'Value': 296, 'Sender': '10.0.0.15', 'Sent': 1647701708.1040697, 'Brokered': 1647701708.1656725, 'Subscriber': '10.0.0.96', 'Received': 1647701709.0686839}
{'Topic': 'sound', 'Value': 486, 'Sender': '10.0.0.15', 'Sent': 1647701708.2043843, 'Brokered': 1647701708.265766, 'Subscriber': '10.0.0.96', 'Received': 1647701709.175093}
{'Topic': 'location', 'Value': 168, 'Sender': '10.0.0.15', 'Sent': 1647701708.5067585, 'Brokered': 1647701708.5681818, 'Subscriber': '10.0.0.96', 'Received': 1647701709.4887125}
{'Topic': 'airquality', 'Value': 307, 'Sender': '10.0.0.15', 'Sent': 1647701708.607063, 'Brokered': 1647701708.6696165, 'Subscriber': '10.0.0.96', 'Received': 1647701709.6095138}
{'Topic': 'sound', 'Value': 14, 'Sender': '10.0.0.15', 'Sent': 1647701708.7074568, 'Brokered': 1647701708.7701051, 'Subscriber': '10.0.0.96', 'Received': 1647701710.419774}
{'Topic': 'sound', 'Value': 349, 'Sender': '10.0.0.15', 'Sent': 1647701708.8084288, 'Brokered': 1647701708.8743591, 'Subscriber': '10.0.0.96', 'Received': 1647701710.4199355}
{'Topic': 'weather', 'Value': 330, 'Sender': '10.0.0.15', 'Sent': 1647701708.911291, 'Brokered': 1647701708.973542, 'Subscriber': '10.0.0.96', 'Received': 1647701710.4200234}
{'Topic': 'light', 'Value': 244, 'Sender': '10.0.0.15', 'Sent': 1647701709.0117528, 'Brokered': 1647701709.0739284, 'Subscriber': '10.0.0.96', 'Received': 1647701710.4201021}
{'Topic': 'altitude', 'Value': 220, 'Sender': '10.0.0.15', 'Sent': 1647701709.1122894, 'Brokered': 1647701709.174446, 'Subscriber': '10.0.0.96', 'Received': 1647701710.4204872}
{'Topic': 'sound', 'Value': 328, 'Sender': '10.0.0.15', 'Sent': 1647701709.212781, 'Brokered': 1647701709.2740264, 'Subscriber': '10.0.0.96', 'Received': 1647701710.4205873}
{'Topic': 'temperature', 'Value': 394, 'Sender': '10.0.0.15', 'Sent': 1647701709.3136017, 'Brokered': 1647701709.3776352, 'Subscriber': '10.0.0.96', 'Received': 1647701710.4206667}
{'Topic': 'light', 'Value': 241, 'Sender': '10.0.0.15', 'Sent': 1647701709.41412, 'Brokered': 1647701709.4762142, 'Subscriber': '10.0.0.96', 'Received': 1647701710.4207418}
{'Topic': 'humidity', 'Value': 345, 'Sender': '10.0.0.15', 'Sent': 1647701709.5145, 'Brokered': 1647701709.5781264, 'Subscriber': '10.0.0.96', 'Received': 1647701710.480859}
{'Topic': 'weather', 'Value': 238, 'Sender': '10.0.0.15', 'Sent': 1647701709.6151, 'Brokered': 1647701709.6792948, 'Subscriber': '10.0.0.96', 'Received': 1647701710.575101}
{'Topic': 'airquality', 'Value': 76, 'Sender': '10.0.0.15', 'Sent': 1647701709.7156744, 'Brokered': 1647701709.7780912, 'Subscriber': '10.0.0.96', 'Received': 1647701710.6811407}
{'Topic': 'location', 'Value': 295, 'Sender': '10.0.0.15', 'Sent': 1647701709.8160872, 'Brokered': 1647701709.8801503, 'Subscriber': '10.0.0.96', 'Received': 1647701710.7776809}
{'Topic': 'altitude', 'Value': 335, 'Sender': '10.0.0.15', 'Sent': 1647701709.9178276, 'Brokered': 1647701709.9792206, 'Subscriber': '10.0.0.96', 'Received': 1647701710.879182}
{'Topic': 'location', 'Value': 286, 'Sender': '10.0.0.15', 'Sent': 1647701710.1224146, 'Brokered': 1647701710.1845973, 'Subscriber': '10.0.0.96', 'Received': 1647701711.0874941}
{'Topic': 'sound', 'Value': 352, 'Sender': '10.0.0.15', 'Sent': 1647701710.222895, 'Brokered': 1647701710.286747, 'Subscriber': '10.0.0.96', 'Received': 1647701711.2019053}
{'Topic': 'weather', 'Value': 473, 'Sender': '10.0.0.15', 'Sent': 1647701710.3231928, 'Brokered': 1647701710.3861258, 'Subscriber': '10.0.0.96', 'Received': 1647701711.2923818}
{'Topic': 'airquality', 'Value': 376, 'Sender': '10.0.0.15', 'Sent': 1647701710.423704, 'Brokered': 1647701710.4856105, 'Subscriber': '10.0.0.96', 'Received': 1647701711.3924584}
{'Topic': 'temperature', 'Value': 33, 'Sender': '10.0.0.15', 'Sent': 1647701710.5239682, 'Brokered': 1647701710.588769, 'Subscriber': '10.0.0.96', 'Received': 1647701711.495456}
{'Topic': 'location', 'Value': 201, 'Sender': '10.0.0.15', 'Sent': 1647701710.624423, 'Brokered': 1647701710.685453, 'Subscriber': '10.0.0.96', 'Received': 1647701711.5775225}
{'Topic': 'location', 'Value': 412, 'Sender': '10.0.0.15', 'Sent': 1647701710.7249439, 'Brokered': 1647701710.7896073, 'Subscriber': '10.0.0.96', 'Received': 1647701711.6894684}
{'Topic': 'humidity', 'Value': 87, 'Sender': '10.0.0.15', 'Sent': 1647701710.8251002, 'Brokered': 1647701710.886582, 'Subscriber': '10.0.0.96', 'Received': 1647701711.784798}
{'Topic': 'location', 'Value': 11, 'Sender': '10.0.0.15', 'Sent': 1647701710.9253902, 'Brokered': 1647701710.991755, 'Subscriber': '10.0.0.96', 'Received': 1647701711.8847358}
{'Topic': 'light', 'Value': 366, 'Sender': '10.0.0.15', 'Sent': 1647701711.0258856, 'Brokered': 1647701711.0878646, 'Subscriber': '10.0.0.96', 'Received': 1647701711.9869604}
