Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['airquality', 'location', 'pressure', 'sound']
Getting subscriber object
Binding REP to tcp://10.0.0.97:5580
Getting registry proxy
Registering with tcp://10.0.0.8:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.11', 'port': '5561'}]
{'Topic': 'sound', 'Value': 315, 'Sender': '10.0.0.24', 'Sent': 1647710756.035339, 'Brokered': 1647710756.201039, 'Subscriber': '10.0.0.97', 'Received': 1647710757.2298899}
{'Topic': 'location', 'Value': 2, 'Sender': '10.0.0.23', 'Sent': 1647710756.0550025, 'Brokered': 1647710756.2282386, 'Subscriber': '10.0.0.97', 'Received': 1647710757.2302248}
{'Topic': 'sound', 'Value': 372, 'Sender': '10.0.0.25', 'Sent': 1647710756.0471373, 'Brokered': 1647710756.2283485, 'Subscriber': '10.0.0.97', 'Received': 1647710757.230325}
{'Topic': 'sound', 'Value': 292, 'Sender': '10.0.0.28', 'Sent': 1647710756.1720822, 'Brokered': 1647710756.3777237, 'Subscriber': '10.0.0.97', 'Received': 1647710757.3079624}
{'Topic': 'pressure', 'Value': 140, 'Sender': '10.0.0.27', 'Sent': 1647710756.1959403, 'Brokered': 1647710756.3892713, 'Subscriber': '10.0.0.97', 'Received': 1647710757.324092}
{'Topic': 'location', 'Value': 190, 'Sender': '10.0.0.24', 'Sent': 1647710756.2359405, 'Brokered': 1647710756.401553, 'Subscriber': '10.0.0.97', 'Received': 1647710757.335906}
{'Topic': 'sound', 'Value': 332, 'Sender': '10.0.0.25', 'Sent': 1647710756.2487354, 'Brokered': 1647710756.42498, 'Subscriber': '10.0.0.97', 'Received': 1647710757.359486}
{'Topic': 'location', 'Value': 454, 'Sender': '10.0.0.22', 'Sent': 1647710756.2970996, 'Brokered': 1647710756.4393518, 'Subscriber': '10.0.0.97', 'Received': 1647710757.3708622}
{'Topic': 'location', 'Value': 323, 'Sender': '10.0.0.26', 'Sent': 1647710756.3698454, 'Brokered': 1647710756.564926, 'Subscriber': '10.0.0.97', 'Received': 1647710759.2248046}
{'Topic': 'pressure', 'Value': 114, 'Sender': '10.0.0.23', 'Sent': 1647710756.4685433, 'Brokered': 1647710756.6198132, 'Subscriber': '10.0.0.97', 'Received': 1647710759.2249532}
{'Topic': 'sound', 'Value': 41, 'Sender': '10.0.0.25', 'Sent': 1647710756.4529965, 'Brokered': 1647710756.6284726, 'Subscriber': '10.0.0.97', 'Received': 1647710759.2250426}
{'Topic': 'airquality', 'Value': 201, 'Sender': '10.0.0.26', 'Sent': 1647710756.4755902, 'Brokered': 1647710756.6545975, 'Subscriber': '10.0.0.97', 'Received': 1647710759.2251222}
{'Topic': 'sound', 'Value': 409, 'Sender': '10.0.0.28', 'Sent': 1647710756.477775, 'Brokered': 1647710756.6915522, 'Subscriber': '10.0.0.97', 'Received': 1647710759.2251983}
{'Topic': 'sound', 'Value': 343, 'Sender': '10.0.0.24', 'Sent': 1647710756.537913, 'Brokered': 1647710756.7121427, 'Subscriber': '10.0.0.97', 'Received': 1647710759.2252717}
{'Topic': 'sound', 'Value': 49, 'Sender': '10.0.0.23', 'Sent': 1647710756.5733004, 'Brokered': 1647710756.7358136, 'Subscriber': '10.0.0.97', 'Received': 1647710759.2253435}
{'Topic': 'location', 'Value': 50, 'Sender': '10.0.0.26', 'Sent': 1647710756.5766313, 'Brokered': 1647710756.7815688, 'Subscriber': '10.0.0.97', 'Received': 1647710759.2254155}
{'Topic': 'sound', 'Value': 8, 'Sender': '10.0.0.21', 'Sent': 1647710756.6659105, 'Brokered': 1647710756.835903, 'Subscriber': '10.0.0.97', 'Received': 1647710759.225487}
{'Topic': 'sound', 'Value': 155, 'Sender': '10.0.0.23', 'Sent': 1647710756.678024, 'Brokered': 1647710756.8360238, 'Subscriber': '10.0.0.97', 'Received': 1647710759.2255583}
{'Topic': 'location', 'Value': 196, 'Sender': '10.0.0.26', 'Sent': 1647710756.6787195, 'Brokered': 1647710756.8743253, 'Subscriber': '10.0.0.97', 'Received': 1647710759.225636}
{'Topic': 'sound', 'Value': 60, 'Sender': '10.0.0.23', 'Sent': 1647710756.7788494, 'Brokered': 1647710756.9532661, 'Subscriber': '10.0.0.97', 'Received': 1647710759.2257085}
{'Topic': 'location', 'Value': 58, 'Sender': '10.0.0.21', 'Sent': 1647710756.87234, 'Brokered': 1647710757.0004125, 'Subscriber': '10.0.0.97', 'Received': 1647710759.225794}
{'Topic': 'pressure', 'Value': 288, 'Sender': '10.0.0.28', 'Sent': 1647710756.7813573, 'Brokered': 1647710757.0006618, 'Subscriber': '10.0.0.97', 'Received': 1647710759.2258675}
{'Topic': 'airquality', 'Value': 436, 'Sender': '10.0.0.24', 'Sent': 1647710756.8546464, 'Brokered': 1647710757.016374, 'Subscriber': '10.0.0.97', 'Received': 1647710759.2259398}
{'Topic': 'airquality', 'Value': 10, 'Sender': '10.0.0.25', 'Sent': 1647710756.8638995, 'Brokered': 1647710757.050953, 'Subscriber': '10.0.0.97', 'Received': 1647710759.2260113}
{'Topic': 'location', 'Value': 111, 'Sender': '10.0.0.22', 'Sent': 1647710756.912271, 'Brokered': 1647710757.056478, 'Subscriber': '10.0.0.97', 'Received': 1647710759.2260826}
{'Topic': 'location', 'Value': 445, 'Sender': '10.0.0.24', 'Sent': 1647710756.956837, 'Brokered': 1647710757.1261995, 'Subscriber': '10.0.0.97', 'Received': 1647710759.226153}
{'Topic': 'location', 'Value': 62, 'Sender': '10.0.0.23', 'Sent': 1647710756.9863405, 'Brokered': 1647710757.1358328, 'Subscriber': '10.0.0.97', 'Received': 1647710759.2262702}
{'Topic': 'pressure', 'Value': 159, 'Sender': '10.0.0.25', 'Sent': 1647710756.9658515, 'Brokered': 1647710757.1410272, 'Subscriber': '10.0.0.97', 'Received': 1647710759.23216}
{'Topic': 'sound', 'Value': 455, 'Sender': '10.0.0.21', 'Sent': 1647710757.0743682, 'Brokered': 1647710757.2042458, 'Subscriber': '10.0.0.97', 'Received': 1647710759.2323117}
{'Topic': 'pressure', 'Value': 47, 'Sender': '10.0.0.27', 'Sent': 1647710757.0094779, 'Brokered': 1647710757.204357, 'Subscriber': '10.0.0.97', 'Received': 1647710759.2324004}
