Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['humidity', 'smell', 'light', 'pressure', 'airquality', 'location']
Getting subscriber object
Binding REP to tcp://10.0.0.102:5580
Getting registry proxy
Registering with tcp://10.0.0.5:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Starting monitor loop threadRequest sent

Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.11', 'port': '5561'}]
{'Topic': 'pressure', 'Value': 485, 'Sender': '10.0.0.13', 'Sent': 1647708892.6269019, 'Brokered': 1647708892.6487436, 'Subscriber': '10.0.0.102', 'Received': 1647708892.6700711}
{'Topic': 'pressure', 'Value': 232, 'Sender': '10.0.0.14', 'Sent': 1647708892.6306367, 'Brokered': 1647708892.651514, 'Subscriber': '10.0.0.102', 'Received': 1647708892.6726027}
{'Topic': 'light', 'Value': 4, 'Sender': '10.0.0.15', 'Sent': 1647708892.6719992, 'Brokered': 1647708892.6931016, 'Subscriber': '10.0.0.102', 'Received': 1647708892.7138662}
{'Topic': 'humidity', 'Value': 21, 'Sender': '10.0.0.100', 'Sent': 1647708892.7091696, 'Brokered': 1647708892.7303112, 'Subscriber': '10.0.0.102', 'Received': 1647708892.7514856}
{'Topic': 'light', 'Value': 80, 'Sender': '10.0.0.13', 'Sent': 1647708892.7277362, 'Brokered': 1647708892.7493525, 'Subscriber': '10.0.0.102', 'Received': 1647708892.7703316}
{'Topic': 'airquality', 'Value': 222, 'Sender': '10.0.0.15', 'Sent': 1647708892.7725124, 'Brokered': 1647708892.7941592, 'Subscriber': '10.0.0.102', 'Received': 1647708892.8166203}
{'Topic': 'location', 'Value': 55, 'Sender': '10.0.0.13', 'Sent': 1647708892.8284945, 'Brokered': 1647708892.8495684, 'Subscriber': '10.0.0.102', 'Received': 1647708892.8701825}
{'Topic': 'pressure', 'Value': 232, 'Sender': '10.0.0.14', 'Sent': 1647708892.8330362, 'Brokered': 1647708892.8574667, 'Subscriber': '10.0.0.102', 'Received': 1647708892.8795779}
{'Topic': 'humidity', 'Value': 465, 'Sender': '10.0.0.100', 'Sent': 1647708892.9145467, 'Brokered': 1647708892.935152, 'Subscriber': '10.0.0.102', 'Received': 1647708892.9572659}
{'Topic': 'smell', 'Value': 17, 'Sender': '10.0.0.13', 'Sent': 1647708892.928892, 'Brokered': 1647708892.9498086, 'Subscriber': '10.0.0.102', 'Received': 1647708892.9706097}
{'Topic': 'location', 'Value': 220, 'Sender': '10.0.0.100', 'Sent': 1647708893.0154366, 'Brokered': 1647708893.0366528, 'Subscriber': '10.0.0.102', 'Received': 1647708893.0573266}
{'Topic': 'smell', 'Value': 332, 'Sender': '10.0.0.13', 'Sent': 1647708893.0300326, 'Brokered': 1647708893.050682, 'Subscriber': '10.0.0.102', 'Received': 1647708893.0738056}
{'Topic': 'pressure', 'Value': 117, 'Sender': '10.0.0.14', 'Sent': 1647708893.0340917, 'Brokered': 1647708893.0546203, 'Subscriber': '10.0.0.102', 'Received': 1647708893.0754535}
{'Topic': 'light', 'Value': 74, 'Sender': '10.0.0.15', 'Sent': 1647708893.0738068, 'Brokered': 1647708893.0943902, 'Subscriber': '10.0.0.102', 'Received': 1647708893.115968}
{'Topic': 'humidity', 'Value': 319, 'Sender': '10.0.0.100', 'Sent': 1647708893.1157863, 'Brokered': 1647708893.1375017, 'Subscriber': '10.0.0.102', 'Received': 1647708893.1609251}
{'Topic': 'airquality', 'Value': 177, 'Sender': '10.0.0.13', 'Sent': 1647708893.1305287, 'Brokered': 1647708893.1510313, 'Subscriber': '10.0.0.102', 'Received': 1647708893.1719866}
{'Topic': 'light', 'Value': 21, 'Sender': '10.0.0.14', 'Sent': 1647708893.1356158, 'Brokered': 1647708893.1616378, 'Subscriber': '10.0.0.102', 'Received': 1647708893.1823344}
{'Topic': 'humidity', 'Value': 358, 'Sender': '10.0.0.15', 'Sent': 1647708893.1748264, 'Brokered': 1647708893.1951945, 'Subscriber': '10.0.0.102', 'Received': 1647708893.2162538}
{'Topic': 'smell', 'Value': 398, 'Sender': '10.0.0.100', 'Sent': 1647708893.2163477, 'Brokered': 1647708893.2369251, 'Subscriber': '10.0.0.102', 'Received': 1647708893.2582605}
{'Topic': 'humidity', 'Value': 147, 'Sender': '10.0.0.13', 'Sent': 1647708893.2325122, 'Brokered': 1647708893.2587328, 'Subscriber': '10.0.0.102', 'Received': 1647708893.2812912}
{'Topic': 'light', 'Value': 262, 'Sender': '10.0.0.14', 'Sent': 1647708893.2359776, 'Brokered': 1647708893.258819, 'Subscriber': '10.0.0.102', 'Received': 1647708893.2814896}
{'Topic': 'smell', 'Value': 20, 'Sender': '10.0.0.15', 'Sent': 1647708893.2751498, 'Brokered': 1647708893.295443, 'Subscriber': '10.0.0.102', 'Received': 1647708893.3180509}
{'Topic': 'light', 'Value': 114, 'Sender': '10.0.0.13', 'Sent': 1647708893.3327587, 'Brokered': 1647708893.3538318, 'Subscriber': '10.0.0.102', 'Received': 1647708893.374732}
{'Topic': 'pressure', 'Value': 350, 'Sender': '10.0.0.14', 'Sent': 1647708893.3366454, 'Brokered': 1647708893.3587947, 'Subscriber': '10.0.0.102', 'Received': 1647708893.3791413}
{'Topic': 'airquality', 'Value': 104, 'Sender': '10.0.0.15', 'Sent': 1647708893.3754034, 'Brokered': 1647708893.3969734, 'Subscriber': '10.0.0.102', 'Received': 1647708893.4191985}
{'Topic': 'location', 'Value': 97, 'Sender': '10.0.0.100', 'Sent': 1647708893.4182036, 'Brokered': 1647708893.4395366, 'Subscriber': '10.0.0.102', 'Received': 1647708893.4607074}
{'Topic': 'airquality', 'Value': 208, 'Sender': '10.0.0.13', 'Sent': 1647708893.4331434, 'Brokered': 1647708893.4536052, 'Subscriber': '10.0.0.102', 'Received': 1647708893.474112}
{'Topic': 'pressure', 'Value': 26, 'Sender': '10.0.0.15', 'Sent': 1647708893.4756918, 'Brokered': 1647708893.496311, 'Subscriber': '10.0.0.102', 'Received': 1647708893.5172853}
{'Topic': 'smell', 'Value': 428, 'Sender': '10.0.0.100', 'Sent': 1647708893.518477, 'Brokered': 1647708893.5395582, 'Subscriber': '10.0.0.102', 'Received': 1647708893.5606768}
{'Topic': 'pressure', 'Value': 146, 'Sender': '10.0.0.13', 'Sent': 1647708893.5334327, 'Brokered': 1647708893.5546489, 'Subscriber': '10.0.0.102', 'Received': 1647708893.5758753}
{'Topic': 'location', 'Value': 430, 'Sender': '10.0.0.14', 'Sent': 1647708893.5383043, 'Brokered': 1647708893.5591838, 'Subscriber': '10.0.0.102', 'Received': 1647708893.5799286}
{'Topic': 'airquality', 'Value': 88, 'Sender': '10.0.0.13', 'Sent': 1647708893.633911, 'Brokered': 1647708893.6562753, 'Subscriber': '10.0.0.102', 'Received': 1647708893.6771934}
