Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['humidity', 'temperature', 'smell', 'pressure', 'altitude', 'location', 'weather', 'sound']
Getting subscriber object
Binding REP to tcp://10.0.0.106:5580
Getting registry proxy
Registering with tcp://10.0.0.7:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...Starting monitor loop thread

Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.11', 'port': '5561'}]
{'Topic': 'pressure', 'Value': 485, 'Sender': '10.0.0.13', 'Sent': 1647708892.6269019, 'Brokered': 1647708892.6487436, 'Subscriber': '10.0.0.106', 'Received': 1647708892.669633}
{'Topic': 'pressure', 'Value': 232, 'Sender': '10.0.0.14', 'Sent': 1647708892.6306367, 'Brokered': 1647708892.651514, 'Subscriber': '10.0.0.106', 'Received': 1647708892.6731207}
{'Topic': 'temperature', 'Value': 410, 'Sender': '10.0.0.12', 'Sent': 1647708892.6706908, 'Brokered': 1647708892.6916726, 'Subscriber': '10.0.0.106', 'Received': 1647708892.7127995}
{'Topic': 'humidity', 'Value': 21, 'Sender': '10.0.0.100', 'Sent': 1647708892.7091696, 'Brokered': 1647708892.7303112, 'Subscriber': '10.0.0.106', 'Received': 1647708892.7510428}
{'Topic': 'altitude', 'Value': 86, 'Sender': '10.0.0.14', 'Sent': 1647708892.7311282, 'Brokered': 1647708892.752066, 'Subscriber': '10.0.0.106', 'Received': 1647708892.772849}
{'Topic': 'temperature', 'Value': 347, 'Sender': '10.0.0.12', 'Sent': 1647708892.771169, 'Brokered': 1647708892.7930462, 'Subscriber': '10.0.0.106', 'Received': 1647708892.816177}
{'Topic': 'weather', 'Value': 341, 'Sender': '10.0.0.100', 'Sent': 1647708892.8139205, 'Brokered': 1647708892.8348024, 'Subscriber': '10.0.0.106', 'Received': 1647708892.8580976}
{'Topic': 'location', 'Value': 55, 'Sender': '10.0.0.13', 'Sent': 1647708892.8284945, 'Brokered': 1647708892.8495684, 'Subscriber': '10.0.0.106', 'Received': 1647708892.8701825}
{'Topic': 'pressure', 'Value': 232, 'Sender': '10.0.0.14', 'Sent': 1647708892.8330362, 'Brokered': 1647708892.8574667, 'Subscriber': '10.0.0.106', 'Received': 1647708892.878582}
{'Topic': 'temperature', 'Value': 452, 'Sender': '10.0.0.12', 'Sent': 1647708892.8714685, 'Brokered': 1647708892.892122, 'Subscriber': '10.0.0.106', 'Received': 1647708892.912995}
{'Topic': 'altitude', 'Value': 266, 'Sender': '10.0.0.15', 'Sent': 1647708892.8729548, 'Brokered': 1647708892.893918, 'Subscriber': '10.0.0.106', 'Received': 1647708892.914687}
{'Topic': 'humidity', 'Value': 465, 'Sender': '10.0.0.100', 'Sent': 1647708892.9145467, 'Brokered': 1647708892.935152, 'Subscriber': '10.0.0.106', 'Received': 1647708892.9574373}
{'Topic': 'smell', 'Value': 17, 'Sender': '10.0.0.13', 'Sent': 1647708892.928892, 'Brokered': 1647708892.9498086, 'Subscriber': '10.0.0.106', 'Received': 1647708892.9709713}
{'Topic': 'altitude', 'Value': 284, 'Sender': '10.0.0.14', 'Sent': 1647708892.933573, 'Brokered': 1647708892.9577825, 'Subscriber': '10.0.0.106', 'Received': 1647708892.9783444}
{'Topic': 'temperature', 'Value': 50, 'Sender': '10.0.0.12', 'Sent': 1647708892.9716828, 'Brokered': 1647708892.9924064, 'Subscriber': '10.0.0.106', 'Received': 1647708893.012846}
{'Topic': 'weather', 'Value': 179, 'Sender': '10.0.0.15', 'Sent': 1647708892.9733832, 'Brokered': 1647708892.9938927, 'Subscriber': '10.0.0.106', 'Received': 1647708893.0158162}
{'Topic': 'location', 'Value': 220, 'Sender': '10.0.0.100', 'Sent': 1647708893.0154366, 'Brokered': 1647708893.0366528, 'Subscriber': '10.0.0.106', 'Received': 1647708893.0575798}
{'Topic': 'smell', 'Value': 332, 'Sender': '10.0.0.13', 'Sent': 1647708893.0300326, 'Brokered': 1647708893.050682, 'Subscriber': '10.0.0.106', 'Received': 1647708893.0735726}
{'Topic': 'pressure', 'Value': 117, 'Sender': '10.0.0.14', 'Sent': 1647708893.0340917, 'Brokered': 1647708893.0546203, 'Subscriber': '10.0.0.106', 'Received': 1647708893.0752487}
{'Topic': 'temperature', 'Value': 154, 'Sender': '10.0.0.12', 'Sent': 1647708893.0731487, 'Brokered': 1647708893.0941253, 'Subscriber': '10.0.0.106', 'Received': 1647708893.1162393}
{'Topic': 'humidity', 'Value': 319, 'Sender': '10.0.0.100', 'Sent': 1647708893.1157863, 'Brokered': 1647708893.1375017, 'Subscriber': '10.0.0.106', 'Received': 1647708893.1611598}
{'Topic': 'temperature', 'Value': 326, 'Sender': '10.0.0.12', 'Sent': 1647708893.1735969, 'Brokered': 1647708893.1942751, 'Subscriber': '10.0.0.106', 'Received': 1647708893.2156436}
