Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['light', 'temperature', 'weather', 'altitude', 'smell', 'sound', 'location']
Getting subscriber object
Binding REP to tcp://10.0.0.107:5580
Getting registry proxy
Registering with tcp://10.0.0.1:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Starting subscriber listen loop...
Request sent
{'Topic': 'weather', 'Value': 19, 'Sender': '10.0.0.44', 'Sent': 1647710106.4211662, 'Brokered': 1647710106.4451244, 'Subscriber': '10.0.0.107', 'Received': 1647710106.4658563}
{'Topic': 'weather', 'Value': 117, 'Sender': '10.0.0.46', 'Sent': 1647710106.4213393, 'Brokered': 1647710106.44526, 'Subscriber': '10.0.0.107', 'Received': 1647710106.4660332}
{'Topic': 'smell', 'Value': 68, 'Sender': '10.0.0.60', 'Sent': 1647710106.4217615, 'Brokered': 1647710106.4453108, 'Subscriber': '10.0.0.107', 'Received': 1647710106.4661105}
{'Topic': 'altitude', 'Value': 132, 'Sender': '10.0.0.82', 'Sent': 1647710106.420886, 'Brokered': 1647710106.4454834, 'Subscriber': '10.0.0.107', 'Received': 1647710106.467815}
{'Topic': 'temperature', 'Value': 163, 'Sender': '10.0.0.24', 'Sent': 1647710106.4219854, 'Brokered': 1647710106.445562, 'Subscriber': '10.0.0.107', 'Received': 1647710106.467948}
{'Topic': 'location', 'Value': 68, 'Sender': '10.0.0.17', 'Sent': 1647710106.4215002, 'Brokered': 1647710106.445607, 'Subscriber': '10.0.0.107', 'Received': 1647710106.4680338}
{'Topic': 'location', 'Value': 452, 'Sender': '10.0.0.79', 'Sent': 1647710106.4223552, 'Brokered': 1647710106.44584, 'Subscriber': '10.0.0.107', 'Received': 1647710106.4681132}
{'Topic': 'sound', 'Value': 156, 'Sender': '10.0.0.90', 'Sent': 1647710106.4221654, 'Brokered': 1647710106.4458766, 'Subscriber': '10.0.0.107', 'Received': 1647710106.4681926}
{'Topic': 'location', 'Value': 214, 'Sender': '10.0.0.83', 'Sent': 1647710106.4214764, 'Brokered': 1647710106.445911, 'Subscriber': '10.0.0.107', 'Received': 1647710106.4682627}
{'Topic': 'sound', 'Value': 435, 'Sender': '10.0.0.91', 'Sent': 1647710106.429632, 'Brokered': 1647710106.450955, 'Subscriber': '10.0.0.107', 'Received': 1647710106.4718888}
