Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['temperature', 'weather', 'pressure', 'airquality', 'altitude', 'light', 'smell', 'humidity', 'sound', 'location']
Getting subscriber object
Binding REP to tcp://10.0.0.104:5580
Getting registry proxy
Registering with tcp://10.0.0.1:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Request sent
Starting monitor loop thread
Starting subscriber listen loop...
{'Topic': 'location', 'Value': 296, 'Sender': '10.0.0.12', 'Sent': 1647668132.6803443, 'Brokered': 1647668132.701146, 'Subscriber': '10.0.0.104', 'Received': 1647668132.738719}
{'Topic': 'airquality', 'Value': 164, 'Sender': '10.0.0.12', 'Sent': 1647668132.7869344, 'Brokered': 1647668132.8275087, 'Subscriber': '10.0.0.104', 'Received': 1647668132.848776}
{'Topic': 'smell', 'Value': 328, 'Sender': '10.0.0.12', 'Sent': 1647668132.8874137, 'Brokered': 1647668132.9236681, 'Subscriber': '10.0.0.104', 'Received': 1647668132.949163}
{'Topic': 'pressure', 'Value': 494, 'Sender': '10.0.0.13', 'Sent': 1647668132.9858072, 'Brokered': 1647668133.010323, 'Subscriber': '10.0.0.104', 'Received': 1647668133.0417383}
{'Topic': 'weather', 'Value': 365, 'Sender': '10.0.0.12', 'Sent': 1647668132.9910147, 'Brokered': 1647668133.0250194, 'Subscriber': '10.0.0.104', 'Received': 1647668133.0461073}
{'Topic': 'airquality', 'Value': 117, 'Sender': '10.0.0.21', 'Sent': 1647668132.991749, 'Brokered': 1647668133.0251174, 'Subscriber': '10.0.0.104', 'Received': 1647668133.0462554}
{'Topic': 'light', 'Value': 220, 'Sender': '10.0.0.14', 'Sent': 1647668133.0214946, 'Brokered': 1647668133.0457718, 'Subscriber': '10.0.0.104', 'Received': 1647668133.0672555}
{'Topic': 'light', 'Value': 384, 'Sender': '10.0.0.18', 'Sent': 1647668133.0268345, 'Brokered': 1647668133.0505934, 'Subscriber': '10.0.0.104', 'Received': 1647668133.0715466}
{'Topic': 'location', 'Value': 333, 'Sender': '10.0.0.15', 'Sent': 1647668133.0278351, 'Brokered': 1647668133.0506854, 'Subscriber': '10.0.0.104', 'Received': 1647668133.0724602}
{'Topic': 'humidity', 'Value': 75, 'Sender': '10.0.0.19', 'Sent': 1647668133.027048, 'Brokered': 1647668133.0507336, 'Subscriber': '10.0.0.104', 'Received': 1647668133.0731263}
{'Topic': 'pressure', 'Value': 2, 'Sender': '10.0.0.17', 'Sent': 1647668133.0577164, 'Brokered': 1647668133.0865033, 'Subscriber': '10.0.0.104', 'Received': 1647668133.118658}
