Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['humidity', 'altitude', 'temperature', 'light', 'location', 'sound']
Getting subscriber object
Binding REP to tcp://10.0.0.27:5580
Getting registry proxy
Registering with tcp://10.0.0.1:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.11', 'port': '5561'}]
{'Topic': 'light', 'Value': 338, 'Sender': '10.0.0.12', 'Sent': 1647710214.6768456, 'Brokered': 1647710214.698893, 'Subscriber': '10.0.0.27', 'Received': 1647710214.7361147}
{'Topic': 'light', 'Value': 476, 'Sender': '10.0.0.13', 'Sent': 1647710214.6777437, 'Brokered': 1647710214.6991017, 'Subscriber': '10.0.0.27', 'Received': 1647710214.736348}
{'Topic': 'light', 'Value': 444, 'Sender': '10.0.0.12', 'Sent': 1647710214.777191, 'Brokered': 1647710214.799076, 'Subscriber': '10.0.0.27', 'Received': 1647710214.8375845}
{'Topic': 'sound', 'Value': 487, 'Sender': '10.0.0.13', 'Sent': 1647710214.7782755, 'Brokered': 1647710214.799297, 'Subscriber': '10.0.0.27', 'Received': 1647710214.837757}
{'Topic': 'light', 'Value': 72, 'Sender': '10.0.0.12', 'Sent': 1647710214.878728, 'Brokered': 1647710214.9013202, 'Subscriber': '10.0.0.27', 'Received': 1647710214.9312031}
{'Topic': 'light', 'Value': 191, 'Sender': '10.0.0.12', 'Sent': 1647710214.9790988, 'Brokered': 1647710215.0040278, 'Subscriber': '10.0.0.27', 'Received': 1647710215.0378947}
{'Topic': 'sound', 'Value': 198, 'Sender': '10.0.0.14', 'Sent': 1647710214.9813166, 'Brokered': 1647710215.004407, 'Subscriber': '10.0.0.27', 'Received': 1647710215.0380132}
{'Topic': 'location', 'Value': 475, 'Sender': '10.0.0.13', 'Sent': 1647710214.981452, 'Brokered': 1647710215.0045621, 'Subscriber': '10.0.0.27', 'Received': 1647710215.0380886}
{'Topic': 'light', 'Value': 480, 'Sender': '10.0.0.12', 'Sent': 1647710215.0794213, 'Brokered': 1647710215.1019871, 'Subscriber': '10.0.0.27', 'Received': 1647710215.1311493}
{'Topic': 'altitude', 'Value': 68, 'Sender': '10.0.0.14', 'Sent': 1647710215.08168, 'Brokered': 1647710215.1033936, 'Subscriber': '10.0.0.27', 'Received': 1647710215.138032}
{'Topic': 'light', 'Value': 414, 'Sender': '10.0.0.12', 'Sent': 1647710215.1798675, 'Brokered': 1647710215.2116222, 'Subscriber': '10.0.0.27', 'Received': 1647710215.2441757}
{'Topic': 'light', 'Value': 479, 'Sender': '10.0.0.12', 'Sent': 1647710215.2805007, 'Brokered': 1647710215.3014529, 'Subscriber': '10.0.0.27', 'Received': 1647710215.3301957}
{'Topic': 'sound', 'Value': 329, 'Sender': '10.0.0.13', 'Sent': 1647710215.2824762, 'Brokered': 1647710215.3034787, 'Subscriber': '10.0.0.27', 'Received': 1647710215.3403392}
{'Topic': 'light', 'Value': 414, 'Sender': '10.0.0.12', 'Sent': 1647710215.3810315, 'Brokered': 1647710215.403532, 'Subscriber': '10.0.0.27', 'Received': 1647710215.437769}
{'Topic': 'light', 'Value': 140, 'Sender': '10.0.0.12', 'Sent': 1647710215.4821758, 'Brokered': 1647710215.5044215, 'Subscriber': '10.0.0.27', 'Received': 1647710215.5356393}
{'Topic': 'light', 'Value': 256, 'Sender': '10.0.0.12', 'Sent': 1647710215.5827055, 'Brokered': 1647710215.6035182, 'Subscriber': '10.0.0.27', 'Received': 1647710215.6373115}
{'Topic': 'altitude', 'Value': 129, 'Sender': '10.0.0.14', 'Sent': 1647710215.5831227, 'Brokered': 1647710215.604193, 'Subscriber': '10.0.0.27', 'Received': 1647710215.6374245}
{'Topic': 'light', 'Value': 364, 'Sender': '10.0.0.13', 'Sent': 1647710215.5834112, 'Brokered': 1647710215.604304, 'Subscriber': '10.0.0.27', 'Received': 1647710215.6374965}
{'Topic': 'light', 'Value': 410, 'Sender': '10.0.0.12', 'Sent': 1647710215.686794, 'Brokered': 1647710215.7100475, 'Subscriber': '10.0.0.27', 'Received': 1647710215.7435925}
{'Topic': 'light', 'Value': 124, 'Sender': '10.0.0.13', 'Sent': 1647710215.687061, 'Brokered': 1647710215.710381, 'Subscriber': '10.0.0.27', 'Received': 1647710215.743708}
{'Topic': 'sound', 'Value': 8, 'Sender': '10.0.0.14', 'Sent': 1647710215.787277, 'Brokered': 1647710215.8096468, 'Subscriber': '10.0.0.27', 'Received': 1647710215.841346}
{'Topic': 'light', 'Value': 152, 'Sender': '10.0.0.12', 'Sent': 1647710215.787131, 'Brokered': 1647710215.824495, 'Subscriber': '10.0.0.27', 'Received': 1647710215.8522503}
{'Topic': 'location', 'Value': 440, 'Sender': '10.0.0.13', 'Sent': 1647710215.78751, 'Brokered': 1647710215.824615, 'Subscriber': '10.0.0.27', 'Received': 1647710215.8523736}
{'Topic': 'light', 'Value': 108, 'Sender': '10.0.0.12', 'Sent': 1647710215.8875446, 'Brokered': 1647710215.9083083, 'Subscriber': '10.0.0.27', 'Received': 1647710215.9387486}
{'Topic': 'sound', 'Value': 1, 'Sender': '10.0.0.14', 'Sent': 1647710215.8876743, 'Brokered': 1647710215.90844, 'Subscriber': '10.0.0.27', 'Received': 1647710215.938883}
{'Topic': 'sound', 'Value': 499, 'Sender': '10.0.0.13', 'Sent': 1647710215.8878946, 'Brokered': 1647710215.9085057, 'Subscriber': '10.0.0.27', 'Received': 1647710215.939025}
{'Topic': 'light', 'Value': 349, 'Sender': '10.0.0.12', 'Sent': 1647710215.9879937, 'Brokered': 1647710216.0087297, 'Subscriber': '10.0.0.27', 'Received': 1647710216.037135}
