Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['temperature', 'weather', 'location', 'airquality', 'smell', 'light', 'pressure', 'sound']
Getting subscriber object
Binding REP to tcp://10.0.0.28:5580
Getting registry proxy
Registering with tcp://10.0.0.4:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Reply received
[{'ip': '10.0.0.11', 'port': '5561'}]
Starting subscriber listen loop...
{'Topic': 'light', 'Value': 32, 'Sender': '10.0.0.12', 'Sent': 1647710206.3865962, 'Brokered': 1647710206.4076629, 'Subscriber': '10.0.0.28', 'Received': 1647710206.429656}
{'Topic': 'light', 'Value': 428, 'Sender': '10.0.0.12', 'Sent': 1647710206.4897554, 'Brokered': 1647710206.5103278, 'Subscriber': '10.0.0.28', 'Received': 1647710206.5308642}
{'Topic': 'light', 'Value': 465, 'Sender': '10.0.0.12', 'Sent': 1647710206.5905, 'Brokered': 1647710206.610983, 'Subscriber': '10.0.0.28', 'Received': 1647710206.6328645}
{'Topic': 'light', 'Value': 237, 'Sender': '10.0.0.12', 'Sent': 1647710206.6907752, 'Brokered': 1647710206.7128549, 'Subscriber': '10.0.0.28', 'Received': 1647710206.7335923}
{'Topic': 'light', 'Value': 11, 'Sender': '10.0.0.12', 'Sent': 1647710206.7916598, 'Brokered': 1647710206.813461, 'Subscriber': '10.0.0.28', 'Received': 1647710206.8351693}
{'Topic': 'light', 'Value': 318, 'Sender': '10.0.0.12', 'Sent': 1647710206.8938441, 'Brokered': 1647710206.914235, 'Subscriber': '10.0.0.28', 'Received': 1647710206.9349186}
{'Topic': 'light', 'Value': 117, 'Sender': '10.0.0.12', 'Sent': 1647710206.9941366, 'Brokered': 1647710207.0147605, 'Subscriber': '10.0.0.28', 'Received': 1647710207.037006}
{'Topic': 'light', 'Value': 147, 'Sender': '10.0.0.12', 'Sent': 1647710207.0944836, 'Brokered': 1647710207.1161053, 'Subscriber': '10.0.0.28', 'Received': 1647710207.1391022}
{'Topic': 'light', 'Value': 38, 'Sender': '10.0.0.12', 'Sent': 1647710207.1950126, 'Brokered': 1647710207.2167263, 'Subscriber': '10.0.0.28', 'Received': 1647710207.239365}
{'Topic': 'light', 'Value': 248, 'Sender': '10.0.0.12', 'Sent': 1647710207.2957277, 'Brokered': 1647710207.3172243, 'Subscriber': '10.0.0.28', 'Received': 1647710207.339382}
{'Topic': 'light', 'Value': 293, 'Sender': '10.0.0.12', 'Sent': 1647710207.3959808, 'Brokered': 1647710207.416588, 'Subscriber': '10.0.0.28', 'Received': 1647710207.4397087}
{'Topic': 'light', 'Value': 41, 'Sender': '10.0.0.12', 'Sent': 1647710207.497027, 'Brokered': 1647710207.5179505, 'Subscriber': '10.0.0.28', 'Received': 1647710207.5404606}
{'Topic': 'light', 'Value': 18, 'Sender': '10.0.0.12', 'Sent': 1647710207.597382, 'Brokered': 1647710207.6274931, 'Subscriber': '10.0.0.28', 'Received': 1647710207.6633554}
{'Topic': 'light', 'Value': 161, 'Sender': '10.0.0.12', 'Sent': 1647710207.6985135, 'Brokered': 1647710207.7231727, 'Subscriber': '10.0.0.28', 'Received': 1647710207.7446458}
{'Topic': 'pressure', 'Value': 217, 'Sender': '10.0.0.14', 'Sent': 1647710207.6994188, 'Brokered': 1647710207.7232544, 'Subscriber': '10.0.0.28', 'Received': 1647710207.7493732}
{'Topic': 'light', 'Value': 29, 'Sender': '10.0.0.12', 'Sent': 1647710207.799986, 'Brokered': 1647710207.8337948, 'Subscriber': '10.0.0.28', 'Received': 1647710207.8580964}
{'Topic': 'airquality', 'Value': 481, 'Sender': '10.0.0.14', 'Sent': 1647710207.8002064, 'Brokered': 1647710207.8339202, 'Subscriber': '10.0.0.28', 'Received': 1647710207.8582354}
{'Topic': 'light', 'Value': 385, 'Sender': '10.0.0.12', 'Sent': 1647710207.900358, 'Brokered': 1647710207.9211428, 'Subscriber': '10.0.0.28', 'Received': 1647710207.942127}
{'Topic': 'light', 'Value': 46, 'Sender': '10.0.0.12', 'Sent': 1647710208.0015502, 'Brokered': 1647710208.0225632, 'Subscriber': '10.0.0.28', 'Received': 1647710208.046898}
