Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['weather', 'humidity', 'light', 'altitude', 'airquality']
Getting subscriber object
Binding REP to tcp://10.0.0.35:5580
Getting registry proxy
Registering with tcp://10.0.0.10:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Reply received
[{'ip': '10.0.0.11', 'port': '5561'}]
Starting subscriber listen loop...
{'Topic': 'light', 'Value': 32, 'Sender': '10.0.0.12', 'Sent': 1647710206.3865962, 'Brokered': 1647710206.4076629, 'Subscriber': '10.0.0.35', 'Received': 1647710206.4311247}
{'Topic': 'light', 'Value': 428, 'Sender': '10.0.0.12', 'Sent': 1647710206.4897554, 'Brokered': 1647710206.5103278, 'Subscriber': '10.0.0.35', 'Received': 1647710206.5310192}
{'Topic': 'light', 'Value': 465, 'Sender': '10.0.0.12', 'Sent': 1647710206.5905, 'Brokered': 1647710206.610983, 'Subscriber': '10.0.0.35', 'Received': 1647710206.6346865}
{'Topic': 'light', 'Value': 237, 'Sender': '10.0.0.12', 'Sent': 1647710206.6907752, 'Brokered': 1647710206.7128549, 'Subscriber': '10.0.0.35', 'Received': 1647710206.733983}
{'Topic': 'light', 'Value': 11, 'Sender': '10.0.0.12', 'Sent': 1647710206.7916598, 'Brokered': 1647710206.813461, 'Subscriber': '10.0.0.35', 'Received': 1647710206.836381}
{'Topic': 'light', 'Value': 318, 'Sender': '10.0.0.12', 'Sent': 1647710206.8938441, 'Brokered': 1647710206.914235, 'Subscriber': '10.0.0.35', 'Received': 1647710206.935222}
{'Topic': 'light', 'Value': 117, 'Sender': '10.0.0.12', 'Sent': 1647710206.9941366, 'Brokered': 1647710207.0147605, 'Subscriber': '10.0.0.35', 'Received': 1647710207.0375278}
{'Topic': 'light', 'Value': 147, 'Sender': '10.0.0.12', 'Sent': 1647710207.0944836, 'Brokered': 1647710207.1161053, 'Subscriber': '10.0.0.35', 'Received': 1647710207.1420918}
{'Topic': 'light', 'Value': 38, 'Sender': '10.0.0.12', 'Sent': 1647710207.1950126, 'Brokered': 1647710207.2167263, 'Subscriber': '10.0.0.35', 'Received': 1647710207.238967}
{'Topic': 'light', 'Value': 248, 'Sender': '10.0.0.12', 'Sent': 1647710207.2957277, 'Brokered': 1647710207.3172243, 'Subscriber': '10.0.0.35', 'Received': 1647710207.3428488}
{'Topic': 'light', 'Value': 293, 'Sender': '10.0.0.12', 'Sent': 1647710207.3959808, 'Brokered': 1647710207.416588, 'Subscriber': '10.0.0.35', 'Received': 1647710207.44068}
{'Topic': 'light', 'Value': 41, 'Sender': '10.0.0.12', 'Sent': 1647710207.497027, 'Brokered': 1647710207.5179505, 'Subscriber': '10.0.0.35', 'Received': 1647710207.5520422}
{'Topic': 'light', 'Value': 18, 'Sender': '10.0.0.12', 'Sent': 1647710207.597382, 'Brokered': 1647710207.6274931, 'Subscriber': '10.0.0.35', 'Received': 1647710207.675081}
{'Topic': 'humidity', 'Value': 133, 'Sender': '10.0.0.14', 'Sent': 1647710207.599258, 'Brokered': 1647710207.6276212, 'Subscriber': '10.0.0.35', 'Received': 1647710207.6752322}
{'Topic': 'light', 'Value': 161, 'Sender': '10.0.0.12', 'Sent': 1647710207.6985135, 'Brokered': 1647710207.7231727, 'Subscriber': '10.0.0.35', 'Received': 1647710207.7455618}
{'Topic': 'light', 'Value': 29, 'Sender': '10.0.0.12', 'Sent': 1647710207.799986, 'Brokered': 1647710207.8337948, 'Subscriber': '10.0.0.35', 'Received': 1647710207.8617287}
{'Topic': 'airquality', 'Value': 481, 'Sender': '10.0.0.14', 'Sent': 1647710207.8002064, 'Brokered': 1647710207.8339202, 'Subscriber': '10.0.0.35', 'Received': 1647710207.8618615}
{'Topic': 'light', 'Value': 385, 'Sender': '10.0.0.12', 'Sent': 1647710207.900358, 'Brokered': 1647710207.9211428, 'Subscriber': '10.0.0.35', 'Received': 1647710207.943258}
{'Topic': 'altitude', 'Value': 30, 'Sender': '10.0.0.14', 'Sent': 1647710207.9012187, 'Brokered': 1647710207.9215946, 'Subscriber': '10.0.0.35', 'Received': 1647710207.943383}
{'Topic': 'light', 'Value': 46, 'Sender': '10.0.0.12', 'Sent': 1647710208.0015502, 'Brokered': 1647710208.0225632, 'Subscriber': '10.0.0.35', 'Received': 1647710208.0473468}
{'Topic': 'humidity', 'Value': 480, 'Sender': '10.0.0.14', 'Sent': 1647710208.0016901, 'Brokered': 1647710208.022674, 'Subscriber': '10.0.0.35', 'Received': 1647710208.047498}
{'Topic': 'light', 'Value': 141, 'Sender': '10.0.0.12', 'Sent': 1647710208.1059668, 'Brokered': 1647710208.127256, 'Subscriber': '10.0.0.35', 'Received': 1647710208.1550012}
{'Topic': 'light', 'Value': 281, 'Sender': '10.0.0.12', 'Sent': 1647710208.20673, 'Brokered': 1647710208.2374065, 'Subscriber': '10.0.0.35', 'Received': 1647710208.307548}
{'Topic': 'altitude', 'Value': 379, 'Sender': '10.0.0.14', 'Sent': 1647710208.3031693, 'Brokered': 1647710208.3241975, 'Subscriber': '10.0.0.35', 'Received': 1647710208.3458595}
{'Topic': 'light', 'Value': 308, 'Sender': '10.0.0.12', 'Sent': 1647710208.3084433, 'Brokered': 1647710208.3331447, 'Subscriber': '10.0.0.35', 'Received': 1647710208.355753}
{'Topic': 'altitude', 'Value': 429, 'Sender': '10.0.0.14', 'Sent': 1647710208.4048736, 'Brokered': 1647710208.426416, 'Subscriber': '10.0.0.35', 'Received': 1647710208.4520218}
{'Topic': 'light', 'Value': 12, 'Sender': '10.0.0.12', 'Sent': 1647710208.4088285, 'Brokered': 1647710208.431633, 'Subscriber': '10.0.0.35', 'Received': 1647710208.4643357}
{'Topic': 'light', 'Value': 410, 'Sender': '10.0.0.12', 'Sent': 1647710208.510504, 'Brokered': 1647710208.533711, 'Subscriber': '10.0.0.35', 'Received': 1647710208.5551815}
{'Topic': 'light', 'Value': 58, 'Sender': '10.0.0.12', 'Sent': 1647710208.6107595, 'Brokered': 1647710208.6353185, 'Subscriber': '10.0.0.35', 'Received': 1647710208.6642995}
{'Topic': 'humidity', 'Value': 49, 'Sender': '10.0.0.14', 'Sent': 1647710208.7066777, 'Brokered': 1647710208.7299278, 'Subscriber': '10.0.0.35', 'Received': 1647710208.754949}
{'Topic': 'light', 'Value': 145, 'Sender': '10.0.0.12', 'Sent': 1647710208.7110033, 'Brokered': 1647710208.7334125, 'Subscriber': '10.0.0.35', 'Received': 1647710208.773326}
{'Topic': 'humidity', 'Value': 83, 'Sender': '10.0.0.14', 'Sent': 1647710208.8078656, 'Brokered': 1647710208.830817, 'Subscriber': '10.0.0.35', 'Received': 1647710208.8528242}
