Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['altitude', 'light', 'humidity', 'sound', 'airquality']
Getting subscriber object
Binding REP to tcp://10.0.0.49:5580
Getting registry proxy
Registering with tcp://10.0.0.10:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Reply received
[{'ip': '10.0.0.11', 'port': '5561'}]
Starting subscriber listen loop...
{'Topic': 'light', 'Value': 465, 'Sender': '10.0.0.12', 'Sent': 1647710206.5905, 'Brokered': 1647710206.610983, 'Subscriber': '10.0.0.49', 'Received': 1647710206.634159}
{'Topic': 'light', 'Value': 237, 'Sender': '10.0.0.12', 'Sent': 1647710206.6907752, 'Brokered': 1647710206.7128549, 'Subscriber': '10.0.0.49', 'Received': 1647710206.7355497}
{'Topic': 'light', 'Value': 11, 'Sender': '10.0.0.12', 'Sent': 1647710206.7916598, 'Brokered': 1647710206.813461, 'Subscriber': '10.0.0.49', 'Received': 1647710206.8389912}
{'Topic': 'light', 'Value': 318, 'Sender': '10.0.0.12', 'Sent': 1647710206.8938441, 'Brokered': 1647710206.914235, 'Subscriber': '10.0.0.49', 'Received': 1647710206.936022}
{'Topic': 'light', 'Value': 117, 'Sender': '10.0.0.12', 'Sent': 1647710206.9941366, 'Brokered': 1647710207.0147605, 'Subscriber': '10.0.0.49', 'Received': 1647710207.0380757}
{'Topic': 'light', 'Value': 147, 'Sender': '10.0.0.12', 'Sent': 1647710207.0944836, 'Brokered': 1647710207.1161053, 'Subscriber': '10.0.0.49', 'Received': 1647710207.1402256}
{'Topic': 'light', 'Value': 38, 'Sender': '10.0.0.12', 'Sent': 1647710207.1950126, 'Brokered': 1647710207.2167263, 'Subscriber': '10.0.0.49', 'Received': 1647710207.2406244}
{'Topic': 'light', 'Value': 248, 'Sender': '10.0.0.12', 'Sent': 1647710207.2957277, 'Brokered': 1647710207.3172243, 'Subscriber': '10.0.0.49', 'Received': 1647710207.3416238}
{'Topic': 'light', 'Value': 293, 'Sender': '10.0.0.12', 'Sent': 1647710207.3959808, 'Brokered': 1647710207.416588, 'Subscriber': '10.0.0.49', 'Received': 1647710207.4408755}
{'Topic': 'light', 'Value': 41, 'Sender': '10.0.0.12', 'Sent': 1647710207.497027, 'Brokered': 1647710207.5179505, 'Subscriber': '10.0.0.49', 'Received': 1647710207.5426834}
{'Topic': 'light', 'Value': 18, 'Sender': '10.0.0.12', 'Sent': 1647710207.597382, 'Brokered': 1647710207.6274931, 'Subscriber': '10.0.0.49', 'Received': 1647710207.6643918}
