Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['altitude', 'weather']
Getting subscriber object
Binding REP to tcp://10.0.0.66:5580
Getting registry proxy
Registering with tcp://10.0.0.2:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.12', 'port': '5571'}, {'ip': '10.0.0.18', 'port': '5571'}, {'ip': '10.0.0.13', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.12:5571
Broker subscribing to tcp://10.0.0.18:5571
Broker subscribing to tcp://10.0.0.13:5571
{'Topic': 'weather', 'Value': 142, 'Sender': '10.0.0.12', 'Sent': 1647668124.798926, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668124.8223062}
{'Topic': 'altitude', 'Value': 227, 'Sender': '10.0.0.12', 'Sent': 1647668125.604671, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668125.6291084}
{'Topic': 'altitude', 'Value': 347, 'Sender': '10.0.0.13', 'Sent': 1647668125.9120057, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668125.9370892}
{'Topic': 'altitude', 'Value': 375, 'Sender': '10.0.0.13', 'Sent': 1647668126.7161868, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668126.7402039}
{'Topic': 'altitude', 'Value': 467, 'Sender': '10.0.0.12', 'Sent': 1647668126.8174305, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668126.8408241}
{'Topic': 'altitude', 'Value': 326, 'Sender': '10.0.0.13', 'Sent': 1647668126.9174325, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668126.9419692}
{'Topic': 'altitude', 'Value': 442, 'Sender': '10.0.0.13', 'Sent': 1647668127.018114, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668127.039656}
{'Topic': 'altitude', 'Value': 152, 'Sender': '10.0.0.12', 'Sent': 1647668127.630885, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668127.6638882}
{'Topic': 'weather', 'Value': 256, 'Sender': '10.0.0.18', 'Sent': 1647668127.863338, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668127.8890543}
{'Topic': 'weather', 'Value': 336, 'Sender': '10.0.0.12', 'Sent': 1647668127.9330852, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668127.9600327}
{'Topic': 'weather', 'Value': 402, 'Sender': '10.0.0.18', 'Sent': 1647668127.963906, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668127.9867828}
{'Topic': 'altitude', 'Value': 446, 'Sender': '10.0.0.13', 'Sent': 1647668128.036581, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668128.068473}
{'Topic': 'altitude', 'Value': 277, 'Sender': '10.0.0.12', 'Sent': 1647668128.134445, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668128.1603737}
{'Topic': 'altitude', 'Value': 314, 'Sender': '10.0.0.12', 'Sent': 1647668128.4427412, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668128.4683392}
{'Topic': 'altitude', 'Value': 425, 'Sender': '10.0.0.13', 'Sent': 1647668128.5431902, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668128.5695355}
{'Topic': 'weather', 'Value': 464, 'Sender': '10.0.0.18', 'Sent': 1647668128.571808, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668128.5935054}
{'Topic': 'altitude', 'Value': 225, 'Sender': '10.0.0.13', 'Sent': 1647668128.6457932, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668128.6711504}
{'Topic': 'weather', 'Value': 191, 'Sender': '10.0.0.18', 'Sent': 1647668129.079188, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668129.0998816}
{'Topic': 'altitude', 'Value': 165, 'Sender': '10.0.0.12', 'Sent': 1647668129.1476624, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668129.172998}
{'Topic': 'altitude', 'Value': 52, 'Sender': '10.0.0.13', 'Sent': 1647668129.1480513, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668129.1730843}
{'Topic': 'altitude', 'Value': 457, 'Sender': '10.0.0.12', 'Sent': 1647668129.2480311, 'Brokered': 0, 'Subscriber': '10.0.0.66', 'Received': 1647668129.2765024}
