Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['temperature', 'light', 'humidity', 'smell', 'airquality', 'location']
Getting subscriber object
Binding REP to tcp://10.0.0.77:5580
Getting registry proxy
Registering with tcp://10.0.0.9:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...Starting monitor loop thread

Request sent
Starting subscriber listen loop...
{'Topic': 'light', 'Value': 335, 'Sender': '10.0.0.12', 'Sent': 1647668125.2012398, 'Brokered': 1647668125.224468, 'Subscriber': '10.0.0.77', 'Received': 1647668125.2461593}
Reply received
[{'ip': '10.0.0.12', 'port': '5571'}, {'ip': '10.0.0.18', 'port': '5571'}, {'ip': '10.0.0.13', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.12:5571
Broker subscribing to tcp://10.0.0.18:5571
Broker subscribing to tcp://10.0.0.13:5571
{'Topic': 'temperature', 'Value': 188, 'Sender': '10.0.0.12', 'Sent': 1647668125.504339, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668125.5290499}
{'Topic': 'light', 'Value': 108, 'Sender': '10.0.0.12', 'Sent': 1647668125.7054691, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668125.7414625}
{'Topic': 'smell', 'Value': 320, 'Sender': '10.0.0.12', 'Sent': 1647668125.8063076, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668125.8351111}
{'Topic': 'airquality', 'Value': 115, 'Sender': '10.0.0.12', 'Sent': 1647668125.911403, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668125.9360979}
{'Topic': 'airquality', 'Value': 93, 'Sender': '10.0.0.12', 'Sent': 1647668126.113067, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668126.1481235}
{'Topic': 'temperature', 'Value': 244, 'Sender': '10.0.0.12', 'Sent': 1647668126.3142724, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668126.342206}
{'Topic': 'smell', 'Value': 118, 'Sender': '10.0.0.12', 'Sent': 1647668126.5157502, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668126.5431943}
{'Topic': 'temperature', 'Value': 348, 'Sender': '10.0.0.12', 'Sent': 1647668126.6162188, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668126.640257}
{'Topic': 'location', 'Value': 299, 'Sender': '10.0.0.12', 'Sent': 1647668126.716833, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668126.7462127}
{'Topic': 'airquality', 'Value': 223, 'Sender': '10.0.0.12', 'Sent': 1647668127.0201468, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668127.0426335}
{'Topic': 'location', 'Value': 386, 'Sender': '10.0.0.12', 'Sent': 1647668127.1214976, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668127.1522357}
{'Topic': 'temperature', 'Value': 331, 'Sender': '10.0.0.12', 'Sent': 1647668127.2252827, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668127.2577064}
{'Topic': 'location', 'Value': 234, 'Sender': '10.0.0.13', 'Sent': 1647668127.22578, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668127.257819}
{'Topic': 'temperature', 'Value': 288, 'Sender': '10.0.0.18', 'Sent': 1647668127.351137, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668127.3741932}
{'Topic': 'light', 'Value': 326, 'Sender': '10.0.0.12', 'Sent': 1647668127.4270563, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668127.4529104}
{'Topic': 'light', 'Value': 278, 'Sender': '10.0.0.18', 'Sent': 1647668127.4551146, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668127.4771874}
{'Topic': 'airquality', 'Value': 352, 'Sender': '10.0.0.12', 'Sent': 1647668127.527885, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668127.560204}
{'Topic': 'smell', 'Value': 318, 'Sender': '10.0.0.18', 'Sent': 1647668127.5595546, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668127.5844562}
{'Topic': 'temperature', 'Value': 214, 'Sender': '10.0.0.18', 'Sent': 1647668127.662568, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668127.6879468}
{'Topic': 'smell', 'Value': 411, 'Sender': '10.0.0.12', 'Sent': 1647668127.731573, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668127.7596452}
{'Topic': 'temperature', 'Value': 110, 'Sender': '10.0.0.18', 'Sent': 1647668127.762902, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668127.7897205}
{'Topic': 'light', 'Value': 263, 'Sender': '10.0.0.12', 'Sent': 1647668127.8323865, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668127.8615897}
{'Topic': 'location', 'Value': 268, 'Sender': '10.0.0.13', 'Sent': 1647668127.832616, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668127.8622098}
{'Topic': 'location', 'Value': 184, 'Sender': '10.0.0.13', 'Sent': 1647668127.9330902, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668127.9616718}
{'Topic': 'smell', 'Value': 419, 'Sender': '10.0.0.18', 'Sent': 1647668128.0683386, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647668128.0945945}
