Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['pressure', 'weather']
Getting subscriber object
Binding REP to tcp://10.0.0.102:5580
Getting registry proxy
Registering with tcp://10.0.0.3:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Request sent
Starting monitor loop thread
Starting subscriber listen loop...
{'Topic': 'pressure', 'Value': 132, 'Sender': '10.0.0.13', 'Sent': 1647701950.3284364, 'Brokered': 1647701950.3597279, 'Subscriber': '10.0.0.102', 'Received': 1647701950.4241712}
{'Topic': 'pressure', 'Value': 85, 'Sender': '10.0.0.12', 'Sent': 1647701950.324865, 'Brokered': 1647701950.3599467, 'Subscriber': '10.0.0.102', 'Received': 1647701950.4244905}
{'Topic': 'weather', 'Value': 377, 'Sender': '10.0.0.15', 'Sent': 1647701950.335674, 'Brokered': 1647701950.3600786, 'Subscriber': '10.0.0.102', 'Received': 1647701950.4246688}
{'Topic': 'pressure', 'Value': 412, 'Sender': '10.0.0.13', 'Sent': 1647701950.4372752, 'Brokered': 1647701950.4587078, 'Subscriber': '10.0.0.102', 'Received': 1647701950.5224302}
{'Topic': 'pressure', 'Value': 457, 'Sender': '10.0.0.12', 'Sent': 1647701950.4319453, 'Brokered': 1647701950.4590538, 'Subscriber': '10.0.0.102', 'Received': 1647701950.5225892}
{'Topic': 'weather', 'Value': 47, 'Sender': '10.0.0.15', 'Sent': 1647701950.437266, 'Brokered': 1647701950.4591072, 'Subscriber': '10.0.0.102', 'Received': 1647701950.5226805}
{'Topic': 'weather', 'Value': 133, 'Sender': '10.0.0.15', 'Sent': 1647701950.5379527, 'Brokered': 1647701950.5632334, 'Subscriber': '10.0.0.102', 'Received': 1647701950.628993}
{'Topic': 'pressure', 'Value': 473, 'Sender': '10.0.0.12', 'Sent': 1647701950.6392968, 'Brokered': 1647701950.6630883, 'Subscriber': '10.0.0.102', 'Received': 1647701950.7249782}
{'Topic': 'pressure', 'Value': 0, 'Sender': '10.0.0.13', 'Sent': 1647701950.639099, 'Brokered': 1647701950.6677604, 'Subscriber': '10.0.0.102', 'Received': 1647701950.7343369}
{'Topic': 'weather', 'Value': 148, 'Sender': '10.0.0.15', 'Sent': 1647701950.6509397, 'Brokered': 1647701950.6721442, 'Subscriber': '10.0.0.102', 'Received': 1647701950.7390108}
Reply received
[{'ip': '10.0.0.13', 'port': '5571'}, {'ip': '10.0.0.15', 'port': '5571'}, {'ip': '10.0.0.14', 'port': '5571'}, {'ip': '10.0.0.16', 'port': '5571'}, {'ip': '10.0.0.12', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.13:5571
Broker subscribing to tcp://10.0.0.15:5571
Broker subscribing to tcp://10.0.0.14:5571
Broker subscribing to tcp://10.0.0.16:5571
Broker subscribing to tcp://10.0.0.12:5571
{'Topic': 'weather', 'Value': 419, 'Sender': '10.0.0.15', 'Sent': 1647701951.7689984, 'Brokered': 0, 'Subscriber': '10.0.0.102', 'Received': 1647701951.8328962}
{'Topic': 'weather', 'Value': 361, 'Sender': '10.0.0.14', 'Sent': 1647701951.794161, 'Brokered': 0, 'Subscriber': '10.0.0.102', 'Received': 1647701951.860675}
{'Topic': 'pressure', 'Value': 332, 'Sender': '10.0.0.12', 'Sent': 1647701951.8594928, 'Brokered': 0, 'Subscriber': '10.0.0.102', 'Received': 1647701951.928222}
{'Topic': 'pressure', 'Value': 36, 'Sender': '10.0.0.13', 'Sent': 1647701951.8664978, 'Brokered': 0, 'Subscriber': '10.0.0.102', 'Received': 1647701951.9323785}
{'Topic': 'weather', 'Value': 66, 'Sender': '10.0.0.15', 'Sent': 1647701951.8714516, 'Brokered': 0, 'Subscriber': '10.0.0.102', 'Received': 1647701951.939219}
{'Topic': 'weather', 'Value': 58, 'Sender': '10.0.0.15', 'Sent': 1647701951.971904, 'Brokered': 0, 'Subscriber': '10.0.0.102', 'Received': 1647701952.0440755}
{'Topic': 'pressure', 'Value': 307, 'Sender': '10.0.0.12', 'Sent': 1647701952.0603387, 'Brokered': 0, 'Subscriber': '10.0.0.102', 'Received': 1647701952.1258633}
{'Topic': 'weather', 'Value': 469, 'Sender': '10.0.0.15', 'Sent': 1647701952.0792215, 'Brokered': 0, 'Subscriber': '10.0.0.102', 'Received': 1647701952.1460488}
{'Topic': 'weather', 'Value': 32, 'Sender': '10.0.0.14', 'Sent': 1647701952.1025424, 'Brokered': 0, 'Subscriber': '10.0.0.102', 'Received': 1647701952.166437}
{'Topic': 'weather', 'Value': 140, 'Sender': '10.0.0.15', 'Sent': 1647701952.179898, 'Brokered': 0, 'Subscriber': '10.0.0.102', 'Received': 1647701952.2449968}
{'Topic': 'weather', 'Value': 261, 'Sender': '10.0.0.14', 'Sent': 1647701952.2039168, 'Brokered': 0, 'Subscriber': '10.0.0.102', 'Received': 1647701952.26785}
{'Topic': 'pressure', 'Value': 133, 'Sender': '10.0.0.12', 'Sent': 1647701952.261841, 'Brokered': 0, 'Subscriber': '10.0.0.102', 'Received': 1647701952.328804}
{'Topic': 'weather', 'Value': 266, 'Sender': '10.0.0.15', 'Sent': 1647701952.2801607, 'Brokered': 0, 'Subscriber': '10.0.0.102', 'Received': 1647701952.3431158}
