Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['altitude', 'temperature', 'location']
Getting subscriber object
Binding REP to tcp://10.0.0.105:5580
Getting registry proxy
Registering with tcp://10.0.0.5:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.11', 'port': '5561'}]
{'Topic': 'altitude', 'Value': 186, 'Sender': '10.0.0.14', 'Sent': 1647711955.9345777, 'Brokered': 1647711955.9583597, 'Subscriber': '10.0.0.105', 'Received': 1647711956.0548344}
{'Topic': 'altitude', 'Value': 21, 'Sender': '10.0.0.14', 'Sent': 1647711956.4479032, 'Brokered': 1647711956.469137, 'Subscriber': '10.0.0.105', 'Received': 1647711956.552031}
{'Topic': 'location', 'Value': 0, 'Sender': '10.0.0.14', 'Sent': 1647711956.7588923, 'Brokered': 1647711956.7799678, 'Subscriber': '10.0.0.105', 'Received': 1647711956.8495677}
{'Topic': 'altitude', 'Value': 46, 'Sender': '10.0.0.14', 'Sent': 1647711957.7733803, 'Brokered': 1647711957.797729, 'Subscriber': '10.0.0.105', 'Received': 1647711957.8634224}
{'Topic': 'location', 'Value': 367, 'Sender': '10.0.0.14', 'Sent': 1647711957.9741633, 'Brokered': 1647711957.9952302, 'Subscriber': '10.0.0.105', 'Received': 1647711958.0623362}
{'Topic': 'altitude', 'Value': 153, 'Sender': '10.0.0.14', 'Sent': 1647711958.0757353, 'Brokered': 1647711958.0972373, 'Subscriber': '10.0.0.105', 'Received': 1647711958.161106}
{'Topic': 'temperature', 'Value': 100, 'Sender': '10.0.0.14', 'Sent': 1647711958.9801838, 'Brokered': 1647711959.0008838, 'Subscriber': '10.0.0.105', 'Received': 1647711959.0625913}
{'Topic': 'location', 'Value': 167, 'Sender': '10.0.0.12', 'Sent': 1647711959.016242, 'Brokered': 1647711959.0368423, 'Subscriber': '10.0.0.105', 'Received': 1647711959.099198}
{'Topic': 'temperature', 'Value': 180, 'Sender': '10.0.0.14', 'Sent': 1647711959.381914, 'Brokered': 1647711959.4024851, 'Subscriber': '10.0.0.105', 'Received': 1647711959.4786031}
{'Topic': 'location', 'Value': 43, 'Sender': '10.0.0.14', 'Sent': 1647711959.482218, 'Brokered': 1647711959.5028849, 'Subscriber': '10.0.0.105', 'Received': 1647711959.5686946}
{'Topic': 'location', 'Value': 465, 'Sender': '10.0.0.12', 'Sent': 1647711959.5197928, 'Brokered': 1647711959.5404148, 'Subscriber': '10.0.0.105', 'Received': 1647711959.6049502}
{'Topic': 'altitude', 'Value': 420, 'Sender': '10.0.0.13', 'Sent': 1647711959.5750792, 'Brokered': 1647711959.5972757, 'Subscriber': '10.0.0.105', 'Received': 1647711959.666519}
{'Topic': 'location', 'Value': 405, 'Sender': '10.0.0.12', 'Sent': 1647711959.7223008, 'Brokered': 1647711959.7449095, 'Subscriber': '10.0.0.105', 'Received': 1647711959.8066275}
{'Topic': 'temperature', 'Value': 341, 'Sender': '10.0.0.14', 'Sent': 1647711959.7862775, 'Brokered': 1647711959.8087492, 'Subscriber': '10.0.0.105', 'Received': 1647711959.8704827}
{'Topic': 'location', 'Value': 250, 'Sender': '10.0.0.14', 'Sent': 1647711959.8864913, 'Brokered': 1647711959.9070368, 'Subscriber': '10.0.0.105', 'Received': 1647711959.969331}
{'Topic': 'temperature', 'Value': 449, 'Sender': '10.0.0.50', 'Sent': 1647711959.8867266, 'Brokered': 1647711959.951381, 'Subscriber': '10.0.0.105', 'Received': 1647711960.0165348}
{'Topic': 'altitude', 'Value': 53, 'Sender': '10.0.0.13', 'Sent': 1647711959.9810846, 'Brokered': 1647711960.001761, 'Subscriber': '10.0.0.105', 'Received': 1647711960.075106}
{'Topic': 'temperature', 'Value': 484, 'Sender': '10.0.0.14', 'Sent': 1647711959.986809, 'Brokered': 1647711960.0090635, 'Subscriber': '10.0.0.105', 'Received': 1647711960.08043}
{'Topic': 'location', 'Value': 298, 'Sender': '10.0.0.13', 'Sent': 1647711960.0819106, 'Brokered': 1647711960.1049037, 'Subscriber': '10.0.0.105', 'Received': 1647711960.172489}
{'Topic': 'location', 'Value': 346, 'Sender': '10.0.0.13', 'Sent': 1647711960.2848356, 'Brokered': 1647711960.3059523, 'Subscriber': '10.0.0.105', 'Received': 1647711960.3697996}
{'Topic': 'location', 'Value': 168, 'Sender': '10.0.0.12', 'Sent': 1647711960.3412037, 'Brokered': 1647711960.363539, 'Subscriber': '10.0.0.105', 'Received': 1647711960.431902}
{'Topic': 'location', 'Value': 250, 'Sender': '10.0.0.13', 'Sent': 1647711960.385325, 'Brokered': 1647711960.406512, 'Subscriber': '10.0.0.105', 'Received': 1647711960.4699686}
{'Topic': 'location', 'Value': 119, 'Sender': '10.0.0.13', 'Sent': 1647711960.4867864, 'Brokered': 1647711960.5082207, 'Subscriber': '10.0.0.105', 'Received': 1647711960.5736947}
{'Topic': 'location', 'Value': 457, 'Sender': '10.0.0.12', 'Sent': 1647711960.5462961, 'Brokered': 1647711960.569135, 'Subscriber': '10.0.0.105', 'Received': 1647711960.6336877}
{'Topic': 'location', 'Value': 137, 'Sender': '10.0.0.13', 'Sent': 1647711960.5878143, 'Brokered': 1647711960.6120899, 'Subscriber': '10.0.0.105', 'Received': 1647711960.6769483}
{'Topic': 'altitude', 'Value': 468, 'Sender': '10.0.0.13', 'Sent': 1647711960.6881244, 'Brokered': 1647711960.7086747, 'Subscriber': '10.0.0.105', 'Received': 1647711960.7727604}
{'Topic': 'temperature', 'Value': 476, 'Sender': '10.0.0.50', 'Sent': 1647711960.7017682, 'Brokered': 1647711960.7633872, 'Subscriber': '10.0.0.105', 'Received': 1647711960.8304374}
{'Topic': 'altitude', 'Value': 474, 'Sender': '10.0.0.12', 'Sent': 1647711960.7468402, 'Brokered': 1647711960.7673006, 'Subscriber': '10.0.0.105', 'Received': 1647711960.833801}
{'Topic': 'altitude', 'Value': 170, 'Sender': '10.0.0.13', 'Sent': 1647711960.7885573, 'Brokered': 1647711960.8092566, 'Subscriber': '10.0.0.105', 'Received': 1647711960.8723443}
{'Topic': 'altitude', 'Value': 324, 'Sender': '10.0.0.14', 'Sent': 1647711960.7919865, 'Brokered': 1647711960.8131487, 'Subscriber': '10.0.0.105', 'Received': 1647711960.8767}
{'Topic': 'altitude', 'Value': 6, 'Sender': '10.0.0.12', 'Sent': 1647711960.847839, 'Brokered': 1647711960.8693662, 'Subscriber': '10.0.0.105', 'Received': 1647711960.9332995}
{'Topic': 'altitude', 'Value': 119, 'Sender': '10.0.0.12', 'Sent': 1647711960.9486134, 'Brokered': 1647711960.969392, 'Subscriber': '10.0.0.105', 'Received': 1647711961.0358229}
{'Topic': 'temperature', 'Value': 261, 'Sender': '10.0.0.50', 'Sent': 1647711961.0028281, 'Brokered': 1647711961.0650387, 'Subscriber': '10.0.0.105', 'Received': 1647711961.128742}
{'Topic': 'altitude', 'Value': 390, 'Sender': '10.0.0.14', 'Sent': 1647711961.1945646, 'Brokered': 1647711961.217893, 'Subscriber': '10.0.0.105', 'Received': 1647711961.2818398}
{'Topic': 'location', 'Value': 383, 'Sender': '10.0.0.12', 'Sent': 1647711961.250719, 'Brokered': 1647711961.2737854, 'Subscriber': '10.0.0.105', 'Received': 1647711961.345057}
{'Topic': 'location', 'Value': 386, 'Sender': '10.0.0.13', 'Sent': 1647711961.3934784, 'Brokered': 1647711961.4158723, 'Subscriber': '10.0.0.105', 'Received': 1647711961.4838226}
{'Topic': 'location', 'Value': 283, 'Sender': '10.0.0.14', 'Sent': 1647711961.3955193, 'Brokered': 1647711961.4170473, 'Subscriber': '10.0.0.105', 'Received': 1647711961.48396}
{'Topic': 'altitude', 'Value': 308, 'Sender': '10.0.0.13', 'Sent': 1647711961.495303, 'Brokered': 1647711961.515914, 'Subscriber': '10.0.0.105', 'Received': 1647711961.58113}
{'Topic': 'location', 'Value': 280, 'Sender': '10.0.0.12', 'Sent': 1647711961.5521371, 'Brokered': 1647711961.576433, 'Subscriber': '10.0.0.105', 'Received': 1647711961.6454523}
{'Topic': 'temperature', 'Value': 186, 'Sender': '10.0.0.14', 'Sent': 1647711961.5962667, 'Brokered': 1647711961.6204872, 'Subscriber': '10.0.0.105', 'Received': 1647711961.6886415}
{'Topic': 'altitude', 'Value': 358, 'Sender': '10.0.0.13', 'Sent': 1647711961.5959303, 'Brokered': 1647711961.6210523, 'Subscriber': '10.0.0.105', 'Received': 1647711961.6973462}
{'Topic': 'temperature', 'Value': 256, 'Sender': '10.0.0.50', 'Sent': 1647711961.7092254, 'Brokered': 1647711961.7702227, 'Subscriber': '10.0.0.105', 'Received': 1647711961.8366222}
{'Topic': 'altitude', 'Value': 251, 'Sender': '10.0.0.12', 'Sent': 1647711961.7543328, 'Brokered': 1647711961.7762737, 'Subscriber': '10.0.0.105', 'Received': 1647711961.8407493}
{'Topic': 'altitude', 'Value': 81, 'Sender': '10.0.0.19', 'Sent': 1647711961.803859, 'Brokered': 1647711961.8455477, 'Subscriber': '10.0.0.105', 'Received': 1647711961.92026}
{'Topic': 'temperature', 'Value': 476, 'Sender': '10.0.0.19', 'Sent': 1647711961.9043028, 'Brokered': 1647711961.9457395, 'Subscriber': '10.0.0.105', 'Received': 1647711962.0074797}
{'Topic': 'altitude', 'Value': 388, 'Sender': '10.0.0.12', 'Sent': 1647711962.0552661, 'Brokered': 1647711962.0762053, 'Subscriber': '10.0.0.105', 'Received': 1647711962.1423113}
{'Topic': 'location', 'Value': 220, 'Sender': '10.0.0.13', 'Sent': 1647711962.0988972, 'Brokered': 1647711962.1197176, 'Subscriber': '10.0.0.105', 'Received': 1647711962.1843731}
{'Topic': 'location', 'Value': 488, 'Sender': '10.0.0.12', 'Sent': 1647711962.155582, 'Brokered': 1647711962.1768062, 'Subscriber': '10.0.0.105', 'Received': 1647711962.2408414}
{'Topic': 'altitude', 'Value': 137, 'Sender': '10.0.0.13', 'Sent': 1647711962.1991482, 'Brokered': 1647711962.219649, 'Subscriber': '10.0.0.105', 'Received': 1647711962.28806}
{'Topic': 'location', 'Value': 486, 'Sender': '10.0.0.12', 'Sent': 1647711962.255975, 'Brokered': 1647711962.2768857, 'Subscriber': '10.0.0.105', 'Received': 1647711962.345284}
{'Topic': 'altitude', 'Value': 198, 'Sender': '10.0.0.13', 'Sent': 1647711962.299991, 'Brokered': 1647711962.323699, 'Subscriber': '10.0.0.105', 'Received': 1647711962.3910491}
{'Topic': 'location', 'Value': 275, 'Sender': '10.0.0.19', 'Sent': 1647711962.4080658, 'Brokered': 1647711962.452662, 'Subscriber': '10.0.0.105', 'Received': 1647711962.5190241}
{'Topic': 'temperature', 'Value': 160, 'Sender': '10.0.0.50', 'Sent': 1647711962.4175, 'Brokered': 1647711962.481175, 'Subscriber': '10.0.0.105', 'Received': 1647711962.5497828}
