Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['airquality', 'pressure', 'smell', 'light', 'temperature']
Getting subscriber object
Binding REP to tcp://10.0.0.106:5580
Getting registry proxy
Registering with tcp://10.0.0.2:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Request sent
Starting monitor loop thread
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.11', 'port': '5561'}]
{'Topic': 'light', 'Value': 317, 'Sender': '10.0.0.14', 'Sent': 1647711955.428946, 'Brokered': 1647711955.452732, 'Subscriber': '10.0.0.106', 'Received': 1647711955.5284104}
{'Topic': 'pressure', 'Value': 114, 'Sender': '10.0.0.14', 'Sent': 1647711955.6300175, 'Brokered': 1647711955.6517327, 'Subscriber': '10.0.0.106', 'Received': 1647711955.7276745}
{'Topic': 'temperature', 'Value': 332, 'Sender': '10.0.0.14', 'Sent': 1647711955.730305, 'Brokered': 1647711955.752411, 'Subscriber': '10.0.0.106', 'Received': 1647711955.8193917}
{'Topic': 'airquality', 'Value': 126, 'Sender': '10.0.0.14', 'Sent': 1647711956.043442, 'Brokered': 1647711956.0657332, 'Subscriber': '10.0.0.106', 'Received': 1647711956.1488435}
{'Topic': 'light', 'Value': 136, 'Sender': '10.0.0.14', 'Sent': 1647711956.8594964, 'Brokered': 1647711956.8814964, 'Subscriber': '10.0.0.106', 'Received': 1647711956.9519432}
{'Topic': 'light', 'Value': 209, 'Sender': '10.0.0.14', 'Sent': 1647711957.0602653, 'Brokered': 1647711957.0826058, 'Subscriber': '10.0.0.106', 'Received': 1647711957.1604416}
{'Topic': 'light', 'Value': 480, 'Sender': '10.0.0.14', 'Sent': 1647711957.2630332, 'Brokered': 1647711957.2837446, 'Subscriber': '10.0.0.106', 'Received': 1647711957.34623}
{'Topic': 'light', 'Value': 181, 'Sender': '10.0.0.14', 'Sent': 1647711957.4635916, 'Brokered': 1647711957.485303, 'Subscriber': '10.0.0.106', 'Received': 1647711957.5730636}
{'Topic': 'smell', 'Value': 51, 'Sender': '10.0.0.14', 'Sent': 1647711957.8735673, 'Brokered': 1647711957.8951998, 'Subscriber': '10.0.0.106', 'Received': 1647711957.965047}
{'Topic': 'pressure', 'Value': 95, 'Sender': '10.0.0.14', 'Sent': 1647711958.2768674, 'Brokered': 1647711958.297468, 'Subscriber': '10.0.0.106', 'Received': 1647711958.3600814}
{'Topic': 'airquality', 'Value': 135, 'Sender': '10.0.0.14', 'Sent': 1647711958.377091, 'Brokered': 1647711958.3980422, 'Subscriber': '10.0.0.106', 'Received': 1647711958.4636908}
{'Topic': 'pressure', 'Value': 207, 'Sender': '10.0.0.14', 'Sent': 1647711958.4781039, 'Brokered': 1647711958.4986763, 'Subscriber': '10.0.0.106', 'Received': 1647711958.5613391}
