Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['humidity', 'location', 'airquality', 'temperature', 'smell', 'sound', 'weather', 'pressure', 'altitude', 'light']
Getting subscriber object
Binding REP to tcp://10.0.0.65:5580
Getting registry proxy
Registering with tcp://10.0.0.2:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Request sent
Starting monitor loop thread
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.13', 'port': '5571'}, {'ip': '10.0.0.15', 'port': '5571'}, {'ip': '10.0.0.12', 'port': '5571'}, {'ip': '10.0.0.14', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.13:5571
Broker subscribing to tcp://10.0.0.15:5571
Broker subscribing to tcp://10.0.0.12:5571
Broker subscribing to tcp://10.0.0.14:5571
{'Topic': 'temperature', 'Value': 243, 'Sender': '10.0.0.12', 'Sent': 1647701948.2799478, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701948.3459072}
{'Topic': 'temperature', 'Value': 489, 'Sender': '10.0.0.13', 'Sent': 1647701948.3034203, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701948.3674521}
{'Topic': 'pressure', 'Value': 343, 'Sender': '10.0.0.12', 'Sent': 1647701948.380459, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701948.4438097}
{'Topic': 'airquality', 'Value': 81, 'Sender': '10.0.0.13', 'Sent': 1647701948.4060664, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701948.4675422}
{'Topic': 'pressure', 'Value': 40, 'Sender': '10.0.0.12', 'Sent': 1647701948.4816122, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701948.544163}
{'Topic': 'weather', 'Value': 47, 'Sender': '10.0.0.15', 'Sent': 1647701948.483184, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701948.5558069}
{'Topic': 'airquality', 'Value': 309, 'Sender': '10.0.0.13', 'Sent': 1647701948.5067756, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701948.5686128}
{'Topic': 'temperature', 'Value': 207, 'Sender': '10.0.0.12', 'Sent': 1647701948.5825937, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701948.6469944}
{'Topic': 'weather', 'Value': 445, 'Sender': '10.0.0.15', 'Sent': 1647701948.603172, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701948.6677713}
{'Topic': 'pressure', 'Value': 434, 'Sender': '10.0.0.13', 'Sent': 1647701948.607914, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701948.6710527}
{'Topic': 'pressure', 'Value': 348, 'Sender': '10.0.0.12', 'Sent': 1647701948.691167, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701948.754693}
{'Topic': 'temperature', 'Value': 278, 'Sender': '10.0.0.13', 'Sent': 1647701948.7101653, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701948.7740104}
{'Topic': 'weather', 'Value': 482, 'Sender': '10.0.0.15', 'Sent': 1647701948.7050636, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701948.7741401}
{'Topic': 'temperature', 'Value': 199, 'Sender': '10.0.0.12', 'Sent': 1647701948.7914937, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701948.8528326}
{'Topic': 'altitude', 'Value': 158, 'Sender': '10.0.0.13', 'Sent': 1647701948.8106995, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701948.8733006}
{'Topic': 'weather', 'Value': 483, 'Sender': '10.0.0.15', 'Sent': 1647701948.8112526, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701948.880043}
{'Topic': 'temperature', 'Value': 159, 'Sender': '10.0.0.12', 'Sent': 1647701948.8922863, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701948.9566562}
{'Topic': 'airquality', 'Value': 333, 'Sender': '10.0.0.13', 'Sent': 1647701948.91118, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701948.973191}
{'Topic': 'weather', 'Value': 109, 'Sender': '10.0.0.15', 'Sent': 1647701948.9145396, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701948.9826367}
{'Topic': 'temperature', 'Value': 29, 'Sender': '10.0.0.12', 'Sent': 1647701948.9933603, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701949.0563028}
{'Topic': 'location', 'Value': 353, 'Sender': '10.0.0.13', 'Sent': 1647701949.0119889, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701949.075773}
{'Topic': 'weather', 'Value': 325, 'Sender': '10.0.0.15', 'Sent': 1647701949.0154855, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701949.0784945}
{'Topic': 'pressure', 'Value': 372, 'Sender': '10.0.0.12', 'Sent': 1647701949.0949712, 'Brokered': 0, 'Subscriber': '10.0.0.65', 'Received': 1647701949.1584833}
