Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['location', 'weather', 'light', 'humidity', 'pressure', 'airquality', 'temperature', 'sound', 'altitude']
Getting subscriber object
Binding REP to tcp://10.0.0.71:5580
Getting registry proxy
Registering with tcp://10.0.0.7:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Starting subscriber listen loop...
Request sent
{'Topic': 'temperature', 'Value': 243, 'Sender': '10.0.0.12', 'Sent': 1647701948.2799478, 'Brokered': 1647701948.3022578, 'Subscriber': '10.0.0.71', 'Received': 1647701948.3670952}
{'Topic': 'temperature', 'Value': 489, 'Sender': '10.0.0.13', 'Sent': 1647701948.3034203, 'Brokered': 1647701948.324578, 'Subscriber': '10.0.0.71', 'Received': 1647701948.3862033}
{'Topic': 'pressure', 'Value': 343, 'Sender': '10.0.0.12', 'Sent': 1647701948.380459, 'Brokered': 1647701948.4012072, 'Subscriber': '10.0.0.71', 'Received': 1647701948.4634368}
{'Topic': 'airquality', 'Value': 81, 'Sender': '10.0.0.13', 'Sent': 1647701948.4060664, 'Brokered': 1647701948.4267545, 'Subscriber': '10.0.0.71', 'Received': 1647701948.488199}
{'Topic': 'pressure', 'Value': 40, 'Sender': '10.0.0.12', 'Sent': 1647701948.4816122, 'Brokered': 1647701948.5029347, 'Subscriber': '10.0.0.71', 'Received': 1647701948.5644085}
{'Topic': 'weather', 'Value': 47, 'Sender': '10.0.0.15', 'Sent': 1647701948.483184, 'Brokered': 1647701948.5163136, 'Subscriber': '10.0.0.71', 'Received': 1647701948.5790398}
Reply received
[{'ip': '10.0.0.13', 'port': '5571'}, {'ip': '10.0.0.15', 'port': '5571'}, {'ip': '10.0.0.14', 'port': '5571'}, {'ip': '10.0.0.12', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.13:5571
Broker subscribing to tcp://10.0.0.15:5571
Broker subscribing to tcp://10.0.0.14:5571
Broker subscribing to tcp://10.0.0.12:5571
{'Topic': 'pressure', 'Value': 448, 'Sender': '10.0.0.13', 'Sent': 1647701949.4167352, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701949.4795625}
{'Topic': 'weather', 'Value': 356, 'Sender': '10.0.0.15', 'Sent': 1647701949.4179504, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701949.4815483}
{'Topic': 'temperature', 'Value': 18, 'Sender': '10.0.0.12', 'Sent': 1647701949.5003705, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701949.5702994}
{'Topic': 'weather', 'Value': 9, 'Sender': '10.0.0.13', 'Sent': 1647701949.5170937, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701949.580325}
{'Topic': 'weather', 'Value': 226, 'Sender': '10.0.0.15', 'Sent': 1647701949.5189006, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701949.5830257}
{'Topic': 'temperature', 'Value': 161, 'Sender': '10.0.0.12', 'Sent': 1647701949.603172, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701949.6667037}
{'Topic': 'weather', 'Value': 224, 'Sender': '10.0.0.15', 'Sent': 1647701949.6196232, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701949.6855946}
{'Topic': 'pressure', 'Value': 393, 'Sender': '10.0.0.12', 'Sent': 1647701949.709359, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701949.7720957}
{'Topic': 'location', 'Value': 210, 'Sender': '10.0.0.13', 'Sent': 1647701949.721391, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701949.7873254}
{'Topic': 'weather', 'Value': 48, 'Sender': '10.0.0.15', 'Sent': 1647701949.7222013, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701949.7874656}
{'Topic': 'pressure', 'Value': 29, 'Sender': '10.0.0.12', 'Sent': 1647701949.811497, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701949.8767412}
{'Topic': 'airquality', 'Value': 211, 'Sender': '10.0.0.13', 'Sent': 1647701949.8221054, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701949.8863873}
{'Topic': 'weather', 'Value': 104, 'Sender': '10.0.0.15', 'Sent': 1647701949.826406, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701949.8917565}
{'Topic': 'pressure', 'Value': 228, 'Sender': '10.0.0.12', 'Sent': 1647701949.9133596, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701949.9756746}
{'Topic': 'airquality', 'Value': 317, 'Sender': '10.0.0.13', 'Sent': 1647701949.9225087, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701949.986512}
{'Topic': 'weather', 'Value': 209, 'Sender': '10.0.0.15', 'Sent': 1647701949.92694, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701949.9911728}
{'Topic': 'temperature', 'Value': 263, 'Sender': '10.0.0.12', 'Sent': 1647701950.0137634, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701950.0766375}
{'Topic': 'location', 'Value': 167, 'Sender': '10.0.0.13', 'Sent': 1647701950.0232356, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701950.0866897}
{'Topic': 'weather', 'Value': 87, 'Sender': '10.0.0.15', 'Sent': 1647701950.0273232, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701950.0942013}
{'Topic': 'pressure', 'Value': 60, 'Sender': '10.0.0.12', 'Sent': 1647701950.1151054, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701950.178354}
{'Topic': 'altitude', 'Value': 190, 'Sender': '10.0.0.13', 'Sent': 1647701950.1249833, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701950.1898313}
{'Topic': 'weather', 'Value': 464, 'Sender': '10.0.0.15', 'Sent': 1647701950.1277146, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701950.1899805}
{'Topic': 'temperature', 'Value': 23, 'Sender': '10.0.0.12', 'Sent': 1647701950.2192914, 'Brokered': 0, 'Subscriber': '10.0.0.71', 'Received': 1647701950.2816784}
