Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['pressure', 'sound', 'humidity', 'light', 'smell', 'temperature', 'location', 'airquality', 'altitude']
Getting subscriber object
Binding REP to tcp://10.0.0.73:5580
Getting registry proxy
Registering with tcp://10.0.0.8:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...Starting monitor loop thread

Request sent
Starting subscriber listen loop...
{'Topic': 'pressure', 'Value': 492, 'Sender': '10.0.0.12', 'Sent': 1647701947.9742508, 'Brokered': 1647701947.9991357, 'Subscriber': '10.0.0.73', 'Received': 1647701948.0632174}
{'Topic': 'altitude', 'Value': 138, 'Sender': '10.0.0.13', 'Sent': 1647701948.0014427, 'Brokered': 1647701948.021875, 'Subscriber': '10.0.0.73', 'Received': 1647701948.0830016}
Reply received
[{'ip': '10.0.0.13', 'port': '5571'}, {'ip': '10.0.0.15', 'port': '5571'}, {'ip': '10.0.0.14', 'port': '5571'}, {'ip': '10.0.0.12', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.13:5571
Broker subscribing to tcp://10.0.0.15:5571
Broker subscribing to tcp://10.0.0.14:5571
Broker subscribing to tcp://10.0.0.12:5571
{'Topic': 'temperature', 'Value': 199, 'Sender': '10.0.0.12', 'Sent': 1647701948.7914937, 'Brokered': 0, 'Subscriber': '10.0.0.73', 'Received': 1647701948.8528783}
{'Topic': 'altitude', 'Value': 158, 'Sender': '10.0.0.13', 'Sent': 1647701948.8106995, 'Brokered': 0, 'Subscriber': '10.0.0.73', 'Received': 1647701948.8734174}
{'Topic': 'temperature', 'Value': 159, 'Sender': '10.0.0.12', 'Sent': 1647701948.8922863, 'Brokered': 0, 'Subscriber': '10.0.0.73', 'Received': 1647701948.9567022}
{'Topic': 'airquality', 'Value': 333, 'Sender': '10.0.0.13', 'Sent': 1647701948.91118, 'Brokered': 0, 'Subscriber': '10.0.0.73', 'Received': 1647701948.9737296}
{'Topic': 'temperature', 'Value': 29, 'Sender': '10.0.0.12', 'Sent': 1647701948.9933603, 'Brokered': 0, 'Subscriber': '10.0.0.73', 'Received': 1647701949.0581589}
{'Topic': 'location', 'Value': 353, 'Sender': '10.0.0.13', 'Sent': 1647701949.0119889, 'Brokered': 0, 'Subscriber': '10.0.0.73', 'Received': 1647701949.0757337}
{'Topic': 'pressure', 'Value': 372, 'Sender': '10.0.0.12', 'Sent': 1647701949.0949712, 'Brokered': 0, 'Subscriber': '10.0.0.73', 'Received': 1647701949.1581132}
{'Topic': 'temperature', 'Value': 205, 'Sender': '10.0.0.13', 'Sent': 1647701949.1124055, 'Brokered': 0, 'Subscriber': '10.0.0.73', 'Received': 1647701949.1756303}
{'Topic': 'temperature', 'Value': 276, 'Sender': '10.0.0.12', 'Sent': 1647701949.1958263, 'Brokered': 0, 'Subscriber': '10.0.0.73', 'Received': 1647701949.2591932}
{'Topic': 'altitude', 'Value': 340, 'Sender': '10.0.0.13', 'Sent': 1647701949.2136788, 'Brokered': 0, 'Subscriber': '10.0.0.73', 'Received': 1647701949.2753701}
{'Topic': 'temperature', 'Value': 191, 'Sender': '10.0.0.12', 'Sent': 1647701949.2968955, 'Brokered': 0, 'Subscriber': '10.0.0.73', 'Received': 1647701949.3586535}
{'Topic': 'temperature', 'Value': 321, 'Sender': '10.0.0.12', 'Sent': 1647701949.397376, 'Brokered': 0, 'Subscriber': '10.0.0.73', 'Received': 1647701949.460488}
{'Topic': 'pressure', 'Value': 448, 'Sender': '10.0.0.13', 'Sent': 1647701949.4167352, 'Brokered': 0, 'Subscriber': '10.0.0.73', 'Received': 1647701949.4790742}
{'Topic': 'temperature', 'Value': 18, 'Sender': '10.0.0.12', 'Sent': 1647701949.5003705, 'Brokered': 0, 'Subscriber': '10.0.0.73', 'Received': 1647701949.57068}
{'Topic': 'temperature', 'Value': 161, 'Sender': '10.0.0.12', 'Sent': 1647701949.603172, 'Brokered': 0, 'Subscriber': '10.0.0.73', 'Received': 1647701949.666434}
{'Topic': 'smell', 'Value': 431, 'Sender': '10.0.0.13', 'Sent': 1647701949.6175265, 'Brokered': 0, 'Subscriber': '10.0.0.73', 'Received': 1647701949.679635}
{'Topic': 'pressure', 'Value': 393, 'Sender': '10.0.0.12', 'Sent': 1647701949.709359, 'Brokered': 0, 'Subscriber': '10.0.0.73', 'Received': 1647701949.771832}
{'Topic': 'location', 'Value': 210, 'Sender': '10.0.0.13', 'Sent': 1647701949.721391, 'Brokered': 0, 'Subscriber': '10.0.0.73', 'Received': 1647701949.7876754}
