Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['humidity', 'weather', 'temperature', 'altitude', 'light', 'smell', 'airquality', 'pressure', 'sound']
Getting subscriber object
Binding REP to tcp://10.0.0.77:5580
Getting registry proxy
Registering with tcp://10.0.0.2:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.13', 'port': '5571'}, {'ip': '10.0.0.12', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.13:5571
Broker subscribing to tcp://10.0.0.12:5571
{'Topic': 'temperature', 'Value': 88, 'Sender': '10.0.0.12', 'Sent': 1647701947.1686897, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701947.2306786}
{'Topic': 'temperature', 'Value': 17, 'Sender': '10.0.0.12', 'Sent': 1647701947.2700746, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701947.3510952}
{'Topic': 'pressure', 'Value': 326, 'Sender': '10.0.0.12', 'Sent': 1647701947.3707323, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701947.4338512}
{'Topic': 'temperature', 'Value': 247, 'Sender': '10.0.0.12', 'Sent': 1647701947.4711745, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701947.5375874}
{'Topic': 'temperature', 'Value': 108, 'Sender': '10.0.0.12', 'Sent': 1647701947.5717442, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701947.6363566}
{'Topic': 'humidity', 'Value': 252, 'Sender': '10.0.0.13', 'Sent': 1647701947.5895205, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701947.6598713}
{'Topic': 'pressure', 'Value': 399, 'Sender': '10.0.0.12', 'Sent': 1647701947.672457, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701947.7422981}
{'Topic': 'humidity', 'Value': 486, 'Sender': '10.0.0.13', 'Sent': 1647701947.6961021, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701947.7619278}
{'Topic': 'pressure', 'Value': 303, 'Sender': '10.0.0.12', 'Sent': 1647701947.7732809, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701947.8416023}
{'Topic': 'airquality', 'Value': 98, 'Sender': '10.0.0.13', 'Sent': 1647701947.7982228, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701947.8607101}
{'Topic': 'pressure', 'Value': 309, 'Sender': '10.0.0.12', 'Sent': 1647701947.8736813, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701947.9354286}
{'Topic': 'airquality', 'Value': 341, 'Sender': '10.0.0.13', 'Sent': 1647701947.8998585, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701947.962147}
{'Topic': 'pressure', 'Value': 492, 'Sender': '10.0.0.12', 'Sent': 1647701947.9742508, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701948.0431952}
{'Topic': 'altitude', 'Value': 138, 'Sender': '10.0.0.13', 'Sent': 1647701948.0014427, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701948.0623848}
{'Topic': 'temperature', 'Value': 446, 'Sender': '10.0.0.12', 'Sent': 1647701948.0791688, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701948.1403651}
{'Topic': 'smell', 'Value': 51, 'Sender': '10.0.0.13', 'Sent': 1647701948.1022885, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701948.1650772}
{'Topic': 'temperature', 'Value': 450, 'Sender': '10.0.0.12', 'Sent': 1647701948.179538, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701948.2431269}
{'Topic': 'altitude', 'Value': 296, 'Sender': '10.0.0.13', 'Sent': 1647701948.2026799, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701948.2672405}
{'Topic': 'temperature', 'Value': 243, 'Sender': '10.0.0.12', 'Sent': 1647701948.2799478, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701948.345651}
{'Topic': 'temperature', 'Value': 489, 'Sender': '10.0.0.13', 'Sent': 1647701948.3034203, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701948.3670685}
{'Topic': 'pressure', 'Value': 343, 'Sender': '10.0.0.12', 'Sent': 1647701948.380459, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701948.4429271}
{'Topic': 'airquality', 'Value': 81, 'Sender': '10.0.0.13', 'Sent': 1647701948.4060664, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701948.4677134}
{'Topic': 'pressure', 'Value': 40, 'Sender': '10.0.0.12', 'Sent': 1647701948.4816122, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701948.544393}
{'Topic': 'airquality', 'Value': 309, 'Sender': '10.0.0.13', 'Sent': 1647701948.5067756, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701948.5681736}
{'Topic': 'temperature', 'Value': 207, 'Sender': '10.0.0.12', 'Sent': 1647701948.5825937, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701948.6466935}
{'Topic': 'pressure', 'Value': 434, 'Sender': '10.0.0.13', 'Sent': 1647701948.607914, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701948.6713648}
{'Topic': 'pressure', 'Value': 348, 'Sender': '10.0.0.12', 'Sent': 1647701948.691167, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701948.7549968}
{'Topic': 'temperature', 'Value': 278, 'Sender': '10.0.0.13', 'Sent': 1647701948.7101653, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701948.7737153}
{'Topic': 'temperature', 'Value': 199, 'Sender': '10.0.0.12', 'Sent': 1647701948.7914937, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701948.8526206}
{'Topic': 'altitude', 'Value': 158, 'Sender': '10.0.0.13', 'Sent': 1647701948.8106995, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701948.8729262}
{'Topic': 'temperature', 'Value': 159, 'Sender': '10.0.0.12', 'Sent': 1647701948.8922863, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701948.9563727}
{'Topic': 'airquality', 'Value': 333, 'Sender': '10.0.0.13', 'Sent': 1647701948.91118, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701948.9735537}
{'Topic': 'temperature', 'Value': 29, 'Sender': '10.0.0.12', 'Sent': 1647701948.9933603, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701949.057762}
{'Topic': 'pressure', 'Value': 372, 'Sender': '10.0.0.12', 'Sent': 1647701949.0949712, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701949.1592782}
{'Topic': 'temperature', 'Value': 205, 'Sender': '10.0.0.13', 'Sent': 1647701949.1124055, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701949.1754067}
{'Topic': 'temperature', 'Value': 276, 'Sender': '10.0.0.12', 'Sent': 1647701949.1958263, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701949.2580357}
{'Topic': 'altitude', 'Value': 340, 'Sender': '10.0.0.13', 'Sent': 1647701949.2136788, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701949.2750175}
{'Topic': 'temperature', 'Value': 191, 'Sender': '10.0.0.12', 'Sent': 1647701949.2968955, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701949.3593078}
{'Topic': 'weather', 'Value': 101, 'Sender': '10.0.0.13', 'Sent': 1647701949.316201, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701949.3774388}
{'Topic': 'temperature', 'Value': 321, 'Sender': '10.0.0.12', 'Sent': 1647701949.397376, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701949.461214}
{'Topic': 'pressure', 'Value': 448, 'Sender': '10.0.0.13', 'Sent': 1647701949.4167352, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701949.4797823}
{'Topic': 'temperature', 'Value': 18, 'Sender': '10.0.0.12', 'Sent': 1647701949.5003705, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701949.5695333}
{'Topic': 'weather', 'Value': 9, 'Sender': '10.0.0.13', 'Sent': 1647701949.5170937, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701949.580004}
{'Topic': 'temperature', 'Value': 161, 'Sender': '10.0.0.12', 'Sent': 1647701949.603172, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701949.6659966}
{'Topic': 'smell', 'Value': 431, 'Sender': '10.0.0.13', 'Sent': 1647701949.6175265, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701949.6800275}
{'Topic': 'pressure', 'Value': 393, 'Sender': '10.0.0.12', 'Sent': 1647701949.709359, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701949.7722898}
{'Topic': 'pressure', 'Value': 29, 'Sender': '10.0.0.12', 'Sent': 1647701949.811497, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701949.8755038}
{'Topic': 'airquality', 'Value': 211, 'Sender': '10.0.0.13', 'Sent': 1647701949.8221054, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701949.8857574}
{'Topic': 'pressure', 'Value': 228, 'Sender': '10.0.0.12', 'Sent': 1647701949.9133596, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701949.9763474}
{'Topic': 'airquality', 'Value': 317, 'Sender': '10.0.0.13', 'Sent': 1647701949.9225087, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701949.987409}
{'Topic': 'temperature', 'Value': 263, 'Sender': '10.0.0.12', 'Sent': 1647701950.0137634, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701950.077305}
{'Topic': 'pressure', 'Value': 60, 'Sender': '10.0.0.12', 'Sent': 1647701950.1151054, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701950.178231}
{'Topic': 'altitude', 'Value': 190, 'Sender': '10.0.0.13', 'Sent': 1647701950.1249833, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701950.1904306}
{'Topic': 'temperature', 'Value': 23, 'Sender': '10.0.0.12', 'Sent': 1647701950.2192914, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701950.2813554}
{'Topic': 'altitude', 'Value': 469, 'Sender': '10.0.0.13', 'Sent': 1647701950.2254953, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701950.2898252}
{'Topic': 'pressure', 'Value': 85, 'Sender': '10.0.0.12', 'Sent': 1647701950.324865, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701950.3885856}
{'Topic': 'pressure', 'Value': 132, 'Sender': '10.0.0.13', 'Sent': 1647701950.3284364, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701950.3997216}
{'Topic': 'pressure', 'Value': 457, 'Sender': '10.0.0.12', 'Sent': 1647701950.4319453, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701950.4966712}
{'Topic': 'pressure', 'Value': 412, 'Sender': '10.0.0.13', 'Sent': 1647701950.4372752, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701950.5001342}
{'Topic': 'airquality', 'Value': 81, 'Sender': '10.0.0.13', 'Sent': 1647701950.5377505, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701950.6024497}
{'Topic': 'temperature', 'Value': 181, 'Sender': '10.0.0.12', 'Sent': 1647701950.5376484, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701950.602576}
{'Topic': 'pressure', 'Value': 473, 'Sender': '10.0.0.12', 'Sent': 1647701950.6392968, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701950.7047274}
{'Topic': 'pressure', 'Value': 0, 'Sender': '10.0.0.13', 'Sent': 1647701950.639099, 'Brokered': 0, 'Subscriber': '10.0.0.77', 'Received': 1647701950.7084029}
