Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['sound', 'light', 'location', 'smell', 'airquality', 'pressure', 'temperature', 'humidity', 'weather']
Getting subscriber object
Binding REP to tcp://10.0.0.80:5580
Getting registry proxy
Registering with tcp://10.0.0.7:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Request sent
Starting monitor loop thread
Starting subscriber listen loop...
{'Topic': 'light', 'Value': 451, 'Sender': '10.0.0.14', 'Sent': 1647711953.5154836, 'Brokered': 1647711953.5362597, 'Subscriber': '10.0.0.80', 'Received': 1647711953.5994258}
{'Topic': 'location', 'Value': 397, 'Sender': '10.0.0.14', 'Sent': 1647711953.6167617, 'Brokered': 1647711953.6376173, 'Subscriber': '10.0.0.80', 'Received': 1647711953.700674}
{'Topic': 'humidity', 'Value': 110, 'Sender': '10.0.0.14', 'Sent': 1647711953.7172866, 'Brokered': 1647711953.7382867, 'Subscriber': '10.0.0.80', 'Received': 1647711953.8009953}
{'Topic': 'weather', 'Value': 224, 'Sender': '10.0.0.14', 'Sent': 1647711953.8177083, 'Brokered': 1647711953.838646, 'Subscriber': '10.0.0.80', 'Received': 1647711953.9013753}
{'Topic': 'sound', 'Value': 473, 'Sender': '10.0.0.14', 'Sent': 1647711953.9180932, 'Brokered': 1647711953.9386392, 'Subscriber': '10.0.0.80', 'Received': 1647711954.0007713}
Reply received
[{'ip': '10.0.0.11', 'port': '5561'}]
{'Topic': 'humidity', 'Value': 476, 'Sender': '10.0.0.14', 'Sent': 1647711954.01969, 'Brokered': 1647711954.0517778, 'Subscriber': '10.0.0.80', 'Received': 1647711954.1261668}
{'Topic': 'temperature', 'Value': 271, 'Sender': '10.0.0.14', 'Sent': 1647711954.1199455, 'Brokered': 1647711954.142302, 'Subscriber': '10.0.0.80', 'Received': 1647711954.2079859}
{'Topic': 'temperature', 'Value': 47, 'Sender': '10.0.0.14', 'Sent': 1647711954.220208, 'Brokered': 1647711954.2436352, 'Subscriber': '10.0.0.80', 'Received': 1647711954.3049417}
{'Topic': 'smell', 'Value': 403, 'Sender': '10.0.0.14', 'Sent': 1647711954.320505, 'Brokered': 1647711954.3413188, 'Subscriber': '10.0.0.80', 'Received': 1647711954.4032414}
{'Topic': 'location', 'Value': 327, 'Sender': '10.0.0.14', 'Sent': 1647711954.422099, 'Brokered': 1647711954.446465, 'Subscriber': '10.0.0.80', 'Received': 1647711954.5152962}
{'Topic': 'temperature', 'Value': 80, 'Sender': '10.0.0.14', 'Sent': 1647711954.5223186, 'Brokered': 1647711954.5446455, 'Subscriber': '10.0.0.80', 'Received': 1647711954.6097462}
{'Topic': 'weather', 'Value': 102, 'Sender': '10.0.0.14', 'Sent': 1647711954.6228244, 'Brokered': 1647711954.6490893, 'Subscriber': '10.0.0.80', 'Received': 1647711954.7183702}
{'Topic': 'smell', 'Value': 412, 'Sender': '10.0.0.14', 'Sent': 1647711954.7245474, 'Brokered': 1647711954.7469742, 'Subscriber': '10.0.0.80', 'Received': 1647711954.8168921}
{'Topic': 'smell', 'Value': 60, 'Sender': '10.0.0.14', 'Sent': 1647711954.8249314, 'Brokered': 1647711954.8551056, 'Subscriber': '10.0.0.80', 'Received': 1647711954.9236946}
{'Topic': 'light', 'Value': 119, 'Sender': '10.0.0.14', 'Sent': 1647711954.925194, 'Brokered': 1647711954.946245, 'Subscriber': '10.0.0.80', 'Received': 1647711955.0107057}
{'Topic': 'smell', 'Value': 415, 'Sender': '10.0.0.14', 'Sent': 1647711955.0255237, 'Brokered': 1647711955.0478969, 'Subscriber': '10.0.0.80', 'Received': 1647711955.1137407}
{'Topic': 'sound', 'Value': 387, 'Sender': '10.0.0.14', 'Sent': 1647711955.3282907, 'Brokered': 1647711955.3500006, 'Subscriber': '10.0.0.80', 'Received': 1647711955.417226}
{'Topic': 'light', 'Value': 317, 'Sender': '10.0.0.14', 'Sent': 1647711955.428946, 'Brokered': 1647711955.452732, 'Subscriber': '10.0.0.80', 'Received': 1647711955.5290534}
{'Topic': 'location', 'Value': 408, 'Sender': '10.0.0.14', 'Sent': 1647711955.5297728, 'Brokered': 1647711955.5523462, 'Subscriber': '10.0.0.80', 'Received': 1647711955.6240819}
{'Topic': 'pressure', 'Value': 114, 'Sender': '10.0.0.14', 'Sent': 1647711955.6300175, 'Brokered': 1647711955.6517327, 'Subscriber': '10.0.0.80', 'Received': 1647711955.727846}
{'Topic': 'temperature', 'Value': 332, 'Sender': '10.0.0.14', 'Sent': 1647711955.730305, 'Brokered': 1647711955.752411, 'Subscriber': '10.0.0.80', 'Received': 1647711955.8176045}
{'Topic': 'weather', 'Value': 476, 'Sender': '10.0.0.14', 'Sent': 1647711955.8307068, 'Brokered': 1647711955.8512423, 'Subscriber': '10.0.0.80', 'Received': 1647711955.9171264}
{'Topic': 'airquality', 'Value': 126, 'Sender': '10.0.0.14', 'Sent': 1647711956.043442, 'Brokered': 1647711956.0657332, 'Subscriber': '10.0.0.80', 'Received': 1647711956.1449044}
{'Topic': 'humidity', 'Value': 329, 'Sender': '10.0.0.14', 'Sent': 1647711956.1461732, 'Brokered': 1647711956.1694415, 'Subscriber': '10.0.0.80', 'Received': 1647711956.247288}
{'Topic': 'sound', 'Value': 302, 'Sender': '10.0.0.14', 'Sent': 1647711956.2470493, 'Brokered': 1647711956.2682476, 'Subscriber': '10.0.0.80', 'Received': 1647711956.3346694}
{'Topic': 'humidity', 'Value': 207, 'Sender': '10.0.0.14', 'Sent': 1647711956.3474321, 'Brokered': 1647711956.3702695, 'Subscriber': '10.0.0.80', 'Received': 1647711956.439345}
{'Topic': 'humidity', 'Value': 325, 'Sender': '10.0.0.14', 'Sent': 1647711956.5529292, 'Brokered': 1647711956.5733998, 'Subscriber': '10.0.0.80', 'Received': 1647711956.6430085}
{'Topic': 'weather', 'Value': 74, 'Sender': '10.0.0.14', 'Sent': 1647711956.6552808, 'Brokered': 1647711956.6776223, 'Subscriber': '10.0.0.80', 'Received': 1647711956.7446291}
{'Topic': 'location', 'Value': 0, 'Sender': '10.0.0.14', 'Sent': 1647711956.7588923, 'Brokered': 1647711956.7799678, 'Subscriber': '10.0.0.80', 'Received': 1647711956.8493588}
{'Topic': 'light', 'Value': 136, 'Sender': '10.0.0.14', 'Sent': 1647711956.8594964, 'Brokered': 1647711956.8814964, 'Subscriber': '10.0.0.80', 'Received': 1647711956.949843}
{'Topic': 'humidity', 'Value': 463, 'Sender': '10.0.0.14', 'Sent': 1647711956.959929, 'Brokered': 1647711956.9807699, 'Subscriber': '10.0.0.80', 'Received': 1647711957.0485508}
{'Topic': 'light', 'Value': 209, 'Sender': '10.0.0.14', 'Sent': 1647711957.0602653, 'Brokered': 1647711957.0826058, 'Subscriber': '10.0.0.80', 'Received': 1647711957.160257}
{'Topic': 'sound', 'Value': 313, 'Sender': '10.0.0.14', 'Sent': 1647711957.160899, 'Brokered': 1647711957.1819518, 'Subscriber': '10.0.0.80', 'Received': 1647711957.26025}
{'Topic': 'light', 'Value': 480, 'Sender': '10.0.0.14', 'Sent': 1647711957.2630332, 'Brokered': 1647711957.2837446, 'Subscriber': '10.0.0.80', 'Received': 1647711957.3467126}
{'Topic': 'sound', 'Value': 194, 'Sender': '10.0.0.14', 'Sent': 1647711957.3633554, 'Brokered': 1647711957.3847713, 'Subscriber': '10.0.0.80', 'Received': 1647711957.4469678}
{'Topic': 'light', 'Value': 181, 'Sender': '10.0.0.14', 'Sent': 1647711957.4635916, 'Brokered': 1647711957.485303, 'Subscriber': '10.0.0.80', 'Received': 1647711957.5726986}
{'Topic': 'sound', 'Value': 311, 'Sender': '10.0.0.14', 'Sent': 1647711957.571324, 'Brokered': 1647711957.5923815, 'Subscriber': '10.0.0.80', 'Received': 1647711957.6599326}
{'Topic': 'sound', 'Value': 326, 'Sender': '10.0.0.14', 'Sent': 1647711957.6717691, 'Brokered': 1647711957.69218, 'Subscriber': '10.0.0.80', 'Received': 1647711957.7605066}
{'Topic': 'smell', 'Value': 51, 'Sender': '10.0.0.14', 'Sent': 1647711957.8735673, 'Brokered': 1647711957.8951998, 'Subscriber': '10.0.0.80', 'Received': 1647711957.9645398}
{'Topic': 'location', 'Value': 367, 'Sender': '10.0.0.14', 'Sent': 1647711957.9741633, 'Brokered': 1647711957.9952302, 'Subscriber': '10.0.0.80', 'Received': 1647711958.0627105}
{'Topic': 'humidity', 'Value': 220, 'Sender': '10.0.0.14', 'Sent': 1647711958.175971, 'Brokered': 1647711958.1970165, 'Subscriber': '10.0.0.80', 'Received': 1647711958.2632737}
{'Topic': 'pressure', 'Value': 95, 'Sender': '10.0.0.14', 'Sent': 1647711958.2768674, 'Brokered': 1647711958.297468, 'Subscriber': '10.0.0.80', 'Received': 1647711958.3615017}
{'Topic': 'airquality', 'Value': 135, 'Sender': '10.0.0.14', 'Sent': 1647711958.377091, 'Brokered': 1647711958.3980422, 'Subscriber': '10.0.0.80', 'Received': 1647711958.46457}
{'Topic': 'pressure', 'Value': 207, 'Sender': '10.0.0.14', 'Sent': 1647711958.4781039, 'Brokered': 1647711958.4986763, 'Subscriber': '10.0.0.80', 'Received': 1647711958.5632927}
{'Topic': 'pressure', 'Value': 403, 'Sender': '10.0.0.14', 'Sent': 1647711958.5784197, 'Brokered': 1647711958.5989769, 'Subscriber': '10.0.0.80', 'Received': 1647711958.6673393}
{'Topic': 'weather', 'Value': 59, 'Sender': '10.0.0.14', 'Sent': 1647711958.6790786, 'Brokered': 1647711958.700038, 'Subscriber': '10.0.0.80', 'Received': 1647711958.7667828}
{'Topic': 'humidity', 'Value': 167, 'Sender': '10.0.0.14', 'Sent': 1647711958.77944, 'Brokered': 1647711958.800047, 'Subscriber': '10.0.0.80', 'Received': 1647711958.8648}
