Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['smell', 'sound', 'weather', 'altitude', 'pressure']
Getting subscriber object
Binding REP to tcp://10.0.0.83:5580
Getting registry proxy
Registering with tcp://10.0.0.6:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.11', 'port': '5561'}]
{'Topic': 'sound', 'Value': 473, 'Sender': '10.0.0.14', 'Sent': 1647711953.9180932, 'Brokered': 1647711953.9386392, 'Subscriber': '10.0.0.83', 'Received': 1647711954.001745}
{'Topic': 'smell', 'Value': 403, 'Sender': '10.0.0.14', 'Sent': 1647711954.320505, 'Brokered': 1647711954.3413188, 'Subscriber': '10.0.0.83', 'Received': 1647711954.4048867}
{'Topic': 'weather', 'Value': 102, 'Sender': '10.0.0.14', 'Sent': 1647711954.6228244, 'Brokered': 1647711954.6490893, 'Subscriber': '10.0.0.83', 'Received': 1647711954.718962}
{'Topic': 'smell', 'Value': 412, 'Sender': '10.0.0.14', 'Sent': 1647711954.7245474, 'Brokered': 1647711954.7469742, 'Subscriber': '10.0.0.83', 'Received': 1647711954.8160923}
{'Topic': 'smell', 'Value': 60, 'Sender': '10.0.0.14', 'Sent': 1647711954.8249314, 'Brokered': 1647711954.8551056, 'Subscriber': '10.0.0.83', 'Received': 1647711954.9240348}
{'Topic': 'smell', 'Value': 415, 'Sender': '10.0.0.14', 'Sent': 1647711955.0255237, 'Brokered': 1647711955.0478969, 'Subscriber': '10.0.0.83', 'Received': 1647711955.1125019}
{'Topic': 'altitude', 'Value': 53, 'Sender': '10.0.0.14', 'Sent': 1647711955.1257598, 'Brokered': 1647711955.148965, 'Subscriber': '10.0.0.83', 'Received': 1647711955.2145252}
{'Topic': 'altitude', 'Value': 493, 'Sender': '10.0.0.14', 'Sent': 1647711955.2277932, 'Brokered': 1647711955.249992, 'Subscriber': '10.0.0.83', 'Received': 1647711955.3167913}
{'Topic': 'sound', 'Value': 387, 'Sender': '10.0.0.14', 'Sent': 1647711955.3282907, 'Brokered': 1647711955.3500006, 'Subscriber': '10.0.0.83', 'Received': 1647711955.4182625}
{'Topic': 'pressure', 'Value': 114, 'Sender': '10.0.0.14', 'Sent': 1647711955.6300175, 'Brokered': 1647711955.6517327, 'Subscriber': '10.0.0.83', 'Received': 1647711955.7266614}
{'Topic': 'weather', 'Value': 476, 'Sender': '10.0.0.14', 'Sent': 1647711955.8307068, 'Brokered': 1647711955.8512423, 'Subscriber': '10.0.0.83', 'Received': 1647711955.9156144}
{'Topic': 'altitude', 'Value': 186, 'Sender': '10.0.0.14', 'Sent': 1647711955.9345777, 'Brokered': 1647711955.9583597, 'Subscriber': '10.0.0.83', 'Received': 1647711956.0457585}
{'Topic': 'sound', 'Value': 302, 'Sender': '10.0.0.14', 'Sent': 1647711956.2470493, 'Brokered': 1647711956.2682476, 'Subscriber': '10.0.0.83', 'Received': 1647711956.3340905}
{'Topic': 'altitude', 'Value': 21, 'Sender': '10.0.0.14', 'Sent': 1647711956.4479032, 'Brokered': 1647711956.469137, 'Subscriber': '10.0.0.83', 'Received': 1647711956.5518506}
{'Topic': 'weather', 'Value': 74, 'Sender': '10.0.0.14', 'Sent': 1647711956.6552808, 'Brokered': 1647711956.6776223, 'Subscriber': '10.0.0.83', 'Received': 1647711956.7440019}
{'Topic': 'sound', 'Value': 313, 'Sender': '10.0.0.14', 'Sent': 1647711957.160899, 'Brokered': 1647711957.1819518, 'Subscriber': '10.0.0.83', 'Received': 1647711957.2615688}
{'Topic': 'sound', 'Value': 194, 'Sender': '10.0.0.14', 'Sent': 1647711957.3633554, 'Brokered': 1647711957.3847713, 'Subscriber': '10.0.0.83', 'Received': 1647711957.4506912}
{'Topic': 'sound', 'Value': 311, 'Sender': '10.0.0.14', 'Sent': 1647711957.571324, 'Brokered': 1647711957.5923815, 'Subscriber': '10.0.0.83', 'Received': 1647711957.661197}
{'Topic': 'sound', 'Value': 326, 'Sender': '10.0.0.14', 'Sent': 1647711957.6717691, 'Brokered': 1647711957.69218, 'Subscriber': '10.0.0.83', 'Received': 1647711957.759706}
{'Topic': 'altitude', 'Value': 46, 'Sender': '10.0.0.14', 'Sent': 1647711957.7733803, 'Brokered': 1647711957.797729, 'Subscriber': '10.0.0.83', 'Received': 1647711957.8643095}
{'Topic': 'smell', 'Value': 51, 'Sender': '10.0.0.14', 'Sent': 1647711957.8735673, 'Brokered': 1647711957.8951998, 'Subscriber': '10.0.0.83', 'Received': 1647711957.9642093}
{'Topic': 'altitude', 'Value': 153, 'Sender': '10.0.0.14', 'Sent': 1647711958.0757353, 'Brokered': 1647711958.0972373, 'Subscriber': '10.0.0.83', 'Received': 1647711958.1607652}
{'Topic': 'pressure', 'Value': 95, 'Sender': '10.0.0.14', 'Sent': 1647711958.2768674, 'Brokered': 1647711958.297468, 'Subscriber': '10.0.0.83', 'Received': 1647711958.360486}
{'Topic': 'pressure', 'Value': 207, 'Sender': '10.0.0.14', 'Sent': 1647711958.4781039, 'Brokered': 1647711958.4986763, 'Subscriber': '10.0.0.83', 'Received': 1647711958.561909}
{'Topic': 'pressure', 'Value': 403, 'Sender': '10.0.0.14', 'Sent': 1647711958.5784197, 'Brokered': 1647711958.5989769, 'Subscriber': '10.0.0.83', 'Received': 1647711958.6658018}
{'Topic': 'weather', 'Value': 59, 'Sender': '10.0.0.14', 'Sent': 1647711958.6790786, 'Brokered': 1647711958.700038, 'Subscriber': '10.0.0.83', 'Received': 1647711958.7653172}
{'Topic': 'pressure', 'Value': 88, 'Sender': '10.0.0.15', 'Sent': 1647711959.0354412, 'Brokered': 1647711959.0563297, 'Subscriber': '10.0.0.83', 'Received': 1647711959.122056}
{'Topic': 'weather', 'Value': 340, 'Sender': '10.0.0.14', 'Sent': 1647711959.0807657, 'Brokered': 1647711959.1053367, 'Subscriber': '10.0.0.83', 'Received': 1647711959.170543}
{'Topic': 'smell', 'Value': 12, 'Sender': '10.0.0.12', 'Sent': 1647711959.1167672, 'Brokered': 1647711959.138135, 'Subscriber': '10.0.0.83', 'Received': 1647711959.2033696}
{'Topic': 'smell', 'Value': 337, 'Sender': '10.0.0.12', 'Sent': 1647711959.217379, 'Brokered': 1647711959.2400174, 'Subscriber': '10.0.0.83', 'Received': 1647711959.3029053}
{'Topic': 'weather', 'Value': 195, 'Sender': '10.0.0.12', 'Sent': 1647711959.3177042, 'Brokered': 1647711959.3414333, 'Subscriber': '10.0.0.83', 'Received': 1647711959.4049582}
{'Topic': 'smell', 'Value': 62, 'Sender': '10.0.0.21', 'Sent': 1647711959.3139803, 'Brokered': 1647711959.3569705, 'Subscriber': '10.0.0.83', 'Received': 1647711959.4243298}
{'Topic': 'weather', 'Value': 9, 'Sender': '10.0.0.15', 'Sent': 1647711959.3367395, 'Brokered': 1647711959.3580823, 'Subscriber': '10.0.0.83', 'Received': 1647711959.4244943}
{'Topic': 'weather', 'Value': 33, 'Sender': '10.0.0.12', 'Sent': 1647711959.4188707, 'Brokered': 1647711959.4404745, 'Subscriber': '10.0.0.83', 'Received': 1647711959.5060737}
{'Topic': 'pressure', 'Value': 66, 'Sender': '10.0.0.15', 'Sent': 1647711959.4390392, 'Brokered': 1647711959.463565, 'Subscriber': '10.0.0.83', 'Received': 1647711959.529652}
{'Topic': 'weather', 'Value': 478, 'Sender': '10.0.0.50', 'Sent': 1647711959.483498, 'Brokered': 1647711959.5454867, 'Subscriber': '10.0.0.83', 'Received': 1647711959.6074474}
{'Topic': 'weather', 'Value': 309, 'Sender': '10.0.0.15', 'Sent': 1647711959.5398905, 'Brokered': 1647711959.5611134, 'Subscriber': '10.0.0.83', 'Received': 1647711959.6253633}
