Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['sound']
Getting subscriber object
Binding REP to tcp://10.0.0.86:5580
Getting registry proxy
Registering with tcp://10.0.0.10:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Fetching updates from registry...
Starting monitor loop thread
Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.11', 'port': '5561'}]
{'Topic': 'sound', 'Value': 473, 'Sender': '10.0.0.14', 'Sent': 1647711953.9180932, 'Brokered': 1647711953.9386392, 'Subscriber': '10.0.0.86', 'Received': 1647711954.000969}
{'Topic': 'sound', 'Value': 387, 'Sender': '10.0.0.14', 'Sent': 1647711955.3282907, 'Brokered': 1647711955.3500006, 'Subscriber': '10.0.0.86', 'Received': 1647711955.4174118}
{'Topic': 'sound', 'Value': 302, 'Sender': '10.0.0.14', 'Sent': 1647711956.2470493, 'Brokered': 1647711956.2682476, 'Subscriber': '10.0.0.86', 'Received': 1647711956.333211}
{'Topic': 'sound', 'Value': 313, 'Sender': '10.0.0.14', 'Sent': 1647711957.160899, 'Brokered': 1647711957.1819518, 'Subscriber': '10.0.0.86', 'Received': 1647711957.2604938}
{'Topic': 'sound', 'Value': 194, 'Sender': '10.0.0.14', 'Sent': 1647711957.3633554, 'Brokered': 1647711957.3847713, 'Subscriber': '10.0.0.86', 'Received': 1647711957.447011}
{'Topic': 'sound', 'Value': 311, 'Sender': '10.0.0.14', 'Sent': 1647711957.571324, 'Brokered': 1647711957.5923815, 'Subscriber': '10.0.0.86', 'Received': 1647711957.6607602}
{'Topic': 'sound', 'Value': 326, 'Sender': '10.0.0.14', 'Sent': 1647711957.6717691, 'Brokered': 1647711957.69218, 'Subscriber': '10.0.0.86', 'Received': 1647711957.7600665}
{'Topic': 'sound', 'Value': 385, 'Sender': '10.0.0.13', 'Sent': 1647711959.6754696, 'Brokered': 1647711959.6976151, 'Subscriber': '10.0.0.86', 'Received': 1647711959.7597015}
{'Topic': 'sound', 'Value': 425, 'Sender': '10.0.0.12', 'Sent': 1647711959.8226743, 'Brokered': 1647711959.843152, 'Subscriber': '10.0.0.86', 'Received': 1647711959.912076}
{'Topic': 'sound', 'Value': 374, 'Sender': '10.0.0.13', 'Sent': 1647711959.880311, 'Brokered': 1647711959.9031756, 'Subscriber': '10.0.0.86', 'Received': 1647711959.9662833}
{'Topic': 'sound', 'Value': 145, 'Sender': '10.0.0.12', 'Sent': 1647711960.240851, 'Brokered': 1647711960.2660668, 'Subscriber': '10.0.0.86', 'Received': 1647711960.3371377}
{'Topic': 'sound', 'Value': 57, 'Sender': '10.0.0.13', 'Sent': 1647711960.9900632, 'Brokered': 1647711961.0132096, 'Subscriber': '10.0.0.86', 'Received': 1647711961.0775125}
{'Topic': 'sound', 'Value': 227, 'Sender': '10.0.0.14', 'Sent': 1647711960.9933662, 'Brokered': 1647711961.0139277, 'Subscriber': '10.0.0.86', 'Received': 1647711961.0776098}
{'Topic': 'sound', 'Value': 129, 'Sender': '10.0.0.12', 'Sent': 1647711961.0490913, 'Brokered': 1647711961.070114, 'Subscriber': '10.0.0.86', 'Received': 1647711961.1360114}
{'Topic': 'sound', 'Value': 286, 'Sender': '10.0.0.12', 'Sent': 1647711961.149931, 'Brokered': 1647711961.1789148, 'Subscriber': '10.0.0.86', 'Received': 1647711961.2512004}
{'Topic': 'sound', 'Value': 164, 'Sender': '10.0.0.13', 'Sent': 1647711961.1925893, 'Brokered': 1647711961.2147474, 'Subscriber': '10.0.0.86', 'Received': 1647711961.2791755}
{'Topic': 'sound', 'Value': 230, 'Sender': '10.0.0.13', 'Sent': 1647711961.2930088, 'Brokered': 1647711961.3193297, 'Subscriber': '10.0.0.86', 'Received': 1647711961.396685}
{'Topic': 'sound', 'Value': 25, 'Sender': '10.0.0.12', 'Sent': 1647711961.3512757, 'Brokered': 1647711961.3735113, 'Subscriber': '10.0.0.86', 'Received': 1647711961.44008}
{'Topic': 'sound', 'Value': 381, 'Sender': '10.0.0.13', 'Sent': 1647711961.6965227, 'Brokered': 1647711961.718177, 'Subscriber': '10.0.0.86', 'Received': 1647711961.782555}
{'Topic': 'sound', 'Value': 464, 'Sender': '10.0.0.13', 'Sent': 1647711961.7970147, 'Brokered': 1647711961.818131, 'Subscriber': '10.0.0.86', 'Received': 1647711961.8837008}
{'Topic': 'sound', 'Value': 220, 'Sender': '10.0.0.13', 'Sent': 1647711961.9977205, 'Brokered': 1647711962.019798, 'Subscriber': '10.0.0.86', 'Received': 1647711962.0847316}
{'Topic': 'sound', 'Value': 237, 'Sender': '10.0.0.13', 'Sent': 1647711962.501109, 'Brokered': 1647711962.5225441, 'Subscriber': '10.0.0.86', 'Received': 1647711962.5909545}
{'Topic': 'sound', 'Value': 445, 'Sender': '10.0.0.12', 'Sent': 1647711962.5575826, 'Brokered': 1647711962.5806437, 'Subscriber': '10.0.0.86', 'Received': 1647711962.649046}
{'Topic': 'sound', 'Value': 476, 'Sender': '10.0.0.13', 'Sent': 1647711962.803713, 'Brokered': 1647711962.8253553, 'Subscriber': '10.0.0.86', 'Received': 1647711962.8872619}
{'Topic': 'sound', 'Value': 126, 'Sender': '10.0.0.19', 'Sent': 1647711962.8099387, 'Brokered': 1647711962.8516874, 'Subscriber': '10.0.0.86', 'Received': 1647711962.9185097}
{'Topic': 'sound', 'Value': 17, 'Sender': '10.0.0.13', 'Sent': 1647711963.106929, 'Brokered': 1647711963.128272, 'Subscriber': '10.0.0.86', 'Received': 1647711963.1933837}
Fetching updates from registry...
Request sent
{'Topic': 'sound', 'Value': 492, 'Sender': '10.0.0.19', 'Sent': 1647711963.2137465, 'Brokered': 1647711963.2567463, 'Subscriber': '10.0.0.86', 'Received': 1647711963.3230305}
Reply received
[{'ip': '10.0.0.11', 'port': '5561'}]
