Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['humidity', 'temperature', 'pressure', 'location', 'altitude', 'airquality', 'light', 'smell']
Getting subscriber object
Binding REP to tcp://10.0.0.93:5580
Getting registry proxy
Registering with tcp://10.0.0.9:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.13', 'port': '5571'}, {'ip': '10.0.0.15', 'port': '5571'}, {'ip': '10.0.0.14', 'port': '5571'}, {'ip': '10.0.0.12', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.13:5571
Broker subscribing to tcp://10.0.0.15:5571
Broker subscribing to tcp://10.0.0.14:5571
Broker subscribing to tcp://10.0.0.12:5571
{'Topic': 'temperature', 'Value': 29, 'Sender': '10.0.0.12', 'Sent': 1647701948.9933603, 'Brokered': 0, 'Subscriber': '10.0.0.93', 'Received': 1647701949.0562885}
{'Topic': 'location', 'Value': 353, 'Sender': '10.0.0.13', 'Sent': 1647701949.0119889, 'Brokered': 0, 'Subscriber': '10.0.0.93', 'Received': 1647701949.0754645}
{'Topic': 'pressure', 'Value': 372, 'Sender': '10.0.0.12', 'Sent': 1647701949.0949712, 'Brokered': 0, 'Subscriber': '10.0.0.93', 'Received': 1647701949.1590395}
{'Topic': 'temperature', 'Value': 205, 'Sender': '10.0.0.13', 'Sent': 1647701949.1124055, 'Brokered': 0, 'Subscriber': '10.0.0.93', 'Received': 1647701949.1744359}
{'Topic': 'temperature', 'Value': 276, 'Sender': '10.0.0.12', 'Sent': 1647701949.1958263, 'Brokered': 0, 'Subscriber': '10.0.0.93', 'Received': 1647701949.258215}
{'Topic': 'altitude', 'Value': 340, 'Sender': '10.0.0.13', 'Sent': 1647701949.2136788, 'Brokered': 0, 'Subscriber': '10.0.0.93', 'Received': 1647701949.2756414}
{'Topic': 'temperature', 'Value': 191, 'Sender': '10.0.0.12', 'Sent': 1647701949.2968955, 'Brokered': 0, 'Subscriber': '10.0.0.93', 'Received': 1647701949.3591034}
{'Topic': 'temperature', 'Value': 321, 'Sender': '10.0.0.12', 'Sent': 1647701949.397376, 'Brokered': 0, 'Subscriber': '10.0.0.93', 'Received': 1647701949.4608274}
{'Topic': 'pressure', 'Value': 448, 'Sender': '10.0.0.13', 'Sent': 1647701949.4167352, 'Brokered': 0, 'Subscriber': '10.0.0.93', 'Received': 1647701949.4793658}
{'Topic': 'temperature', 'Value': 18, 'Sender': '10.0.0.12', 'Sent': 1647701949.5003705, 'Brokered': 0, 'Subscriber': '10.0.0.93', 'Received': 1647701949.5704937}
{'Topic': 'temperature', 'Value': 161, 'Sender': '10.0.0.12', 'Sent': 1647701949.603172, 'Brokered': 0, 'Subscriber': '10.0.0.93', 'Received': 1647701949.6662457}
{'Topic': 'smell', 'Value': 431, 'Sender': '10.0.0.13', 'Sent': 1647701949.6175265, 'Brokered': 0, 'Subscriber': '10.0.0.93', 'Received': 1647701949.6793382}
{'Topic': 'pressure', 'Value': 393, 'Sender': '10.0.0.12', 'Sent': 1647701949.709359, 'Brokered': 0, 'Subscriber': '10.0.0.93', 'Received': 1647701949.7726314}
{'Topic': 'location', 'Value': 210, 'Sender': '10.0.0.13', 'Sent': 1647701949.721391, 'Brokered': 0, 'Subscriber': '10.0.0.93', 'Received': 1647701949.7881603}
{'Topic': 'pressure', 'Value': 29, 'Sender': '10.0.0.12', 'Sent': 1647701949.811497, 'Brokered': 0, 'Subscriber': '10.0.0.93', 'Received': 1647701949.8757627}
{'Topic': 'airquality', 'Value': 211, 'Sender': '10.0.0.13', 'Sent': 1647701949.8221054, 'Brokered': 0, 'Subscriber': '10.0.0.93', 'Received': 1647701949.8854644}
{'Topic': 'pressure', 'Value': 228, 'Sender': '10.0.0.12', 'Sent': 1647701949.9133596, 'Brokered': 0, 'Subscriber': '10.0.0.93', 'Received': 1647701949.975871}
{'Topic': 'airquality', 'Value': 317, 'Sender': '10.0.0.13', 'Sent': 1647701949.9225087, 'Brokered': 0, 'Subscriber': '10.0.0.93', 'Received': 1647701949.9868388}
{'Topic': 'temperature', 'Value': 263, 'Sender': '10.0.0.12', 'Sent': 1647701950.0137634, 'Brokered': 0, 'Subscriber': '10.0.0.93', 'Received': 1647701950.0768254}
