Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['sound', 'light', 'temperature', 'altitude', 'weather', 'humidity', 'pressure', 'airquality']
Getting subscriber object
Binding REP to tcp://10.0.0.101:5580
Getting registry proxy
Registering with tcp://10.0.0.10:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.19:5571
Subscribing to tcp://10.0.0.39:5571
Subscribing to tcp://10.0.0.13:5571
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.19', 'port': '5571'}, {'ip': '10.0.0.13', 'port': '5571'}, {'ip': '10.0.0.39', 'port': '5571'}, {'ip': '10.0.0.12', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.12:5571
{'Topic': 'sound', 'Value': 373, 'Sender': '10.0.0.19', 'Sent': 1647666380.8849168, 'Brokered': 0, 'Subscriber': '10.0.0.101', 'Received': 1647666380.909112}
{'Topic': 'pressure', 'Value': 499, 'Sender': '10.0.0.19', 'Sent': 1647666380.9861941, 'Brokered': 0, 'Subscriber': '10.0.0.101', 'Received': 1647666381.0071404}
{'Topic': 'light', 'Value': 359, 'Sender': '10.0.0.39', 'Sent': 1647666381.0478778, 'Brokered': 0, 'Subscriber': '10.0.0.101', 'Received': 1647666381.0704868}
{'Topic': 'humidity', 'Value': 230, 'Sender': '10.0.0.39', 'Sent': 1647666381.1483417, 'Brokered': 0, 'Subscriber': '10.0.0.101', 'Received': 1647666381.1697068}
{'Topic': 'sound', 'Value': 269, 'Sender': '10.0.0.19', 'Sent': 1647666381.1870244, 'Brokered': 0, 'Subscriber': '10.0.0.101', 'Received': 1647666381.2085726}
{'Topic': 'light', 'Value': 397, 'Sender': '10.0.0.39', 'Sent': 1647666381.2486718, 'Brokered': 0, 'Subscriber': '10.0.0.101', 'Received': 1647666381.269588}
{'Topic': 'airquality', 'Value': 128, 'Sender': '10.0.0.19', 'Sent': 1647666381.2873788, 'Brokered': 0, 'Subscriber': '10.0.0.101', 'Received': 1647666381.3091233}
{'Topic': 'altitude', 'Value': 383, 'Sender': '10.0.0.39', 'Sent': 1647666381.3489997, 'Brokered': 0, 'Subscriber': '10.0.0.101', 'Received': 1647666381.3717368}
{'Topic': 'light', 'Value': 111, 'Sender': '10.0.0.19', 'Sent': 1647666381.387704, 'Brokered': 0, 'Subscriber': '10.0.0.101', 'Received': 1647666381.410268}
{'Topic': 'humidity', 'Value': 270, 'Sender': '10.0.0.39', 'Sent': 1647666381.4493327, 'Brokered': 0, 'Subscriber': '10.0.0.101', 'Received': 1647666381.4737012}
{'Topic': 'humidity', 'Value': 421, 'Sender': '10.0.0.19', 'Sent': 1647666381.4919672, 'Brokered': 0, 'Subscriber': '10.0.0.101', 'Received': 1647666381.5134633}
{'Topic': 'light', 'Value': 287, 'Sender': '10.0.0.39', 'Sent': 1647666381.549557, 'Brokered': 0, 'Subscriber': '10.0.0.101', 'Received': 1647666381.5712483}
