Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['weather', 'smell', 'humidity', 'light', 'pressure', 'altitude']
Getting subscriber object
Binding REP to tcp://10.0.0.29:5580
Getting registry proxy
Registering with tcp://10.0.0.6:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.12:5571
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.12', 'port': '5571'}]
{'Topic': 'smell', 'Value': 460, 'Sender': '10.0.0.12', 'Sent': 1647666619.995764, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666620.0209022}
{'Topic': 'altitude', 'Value': 130, 'Sender': '10.0.0.12', 'Sent': 1647666620.0963454, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666620.119318}
{'Topic': 'humidity', 'Value': 222, 'Sender': '10.0.0.12', 'Sent': 1647666620.1972752, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666620.2192776}
{'Topic': 'altitude', 'Value': 91, 'Sender': '10.0.0.12', 'Sent': 1647666620.2984147, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666620.3211799}
{'Topic': 'smell', 'Value': 283, 'Sender': '10.0.0.12', 'Sent': 1647666620.3987944, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666620.4225411}
{'Topic': 'light', 'Value': 460, 'Sender': '10.0.0.12', 'Sent': 1647666620.7076194, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666620.7380748}
{'Topic': 'light', 'Value': 255, 'Sender': '10.0.0.12', 'Sent': 1647666620.8080401, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666620.8303976}
{'Topic': 'humidity', 'Value': 202, 'Sender': '10.0.0.12', 'Sent': 1647666621.111157, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666621.1366754}
{'Topic': 'smell', 'Value': 190, 'Sender': '10.0.0.12', 'Sent': 1647666621.5184035, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666621.54122}
{'Topic': 'humidity', 'Value': 40, 'Sender': '10.0.0.12', 'Sent': 1647666621.7199879, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666621.7448153}
{'Topic': 'pressure', 'Value': 403, 'Sender': '10.0.0.12', 'Sent': 1647666621.8204026, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666621.84129}
{'Topic': 'smell', 'Value': 178, 'Sender': '10.0.0.12', 'Sent': 1647666622.1233935, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666622.145463}
{'Topic': 'pressure', 'Value': 97, 'Sender': '10.0.0.12', 'Sent': 1647666622.223838, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666622.2477632}
{'Topic': 'humidity', 'Value': 350, 'Sender': '10.0.0.12', 'Sent': 1647666622.3247168, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666622.348386}
{'Topic': 'smell', 'Value': 392, 'Sender': '10.0.0.12', 'Sent': 1647666622.4251187, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666622.452099}
{'Topic': 'humidity', 'Value': 24, 'Sender': '10.0.0.12', 'Sent': 1647666622.5256457, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666622.5494998}
{'Topic': 'light', 'Value': 426, 'Sender': '10.0.0.12', 'Sent': 1647666622.6264164, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666622.6510062}
{'Topic': 'smell', 'Value': 232, 'Sender': '10.0.0.12', 'Sent': 1647666622.7270632, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666622.7532907}
{'Topic': 'altitude', 'Value': 275, 'Sender': '10.0.0.12', 'Sent': 1647666622.8277152, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666622.855715}
{'Topic': 'smell', 'Value': 23, 'Sender': '10.0.0.12', 'Sent': 1647666623.0284133, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666623.0518622}
{'Topic': 'weather', 'Value': 46, 'Sender': '10.0.0.12', 'Sent': 1647666623.1287916, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666623.154304}
{'Topic': 'smell', 'Value': 154, 'Sender': '10.0.0.12', 'Sent': 1647666623.2306962, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666623.2537482}
{'Topic': 'smell', 'Value': 481, 'Sender': '10.0.0.12', 'Sent': 1647666623.3313327, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666623.3526447}
{'Topic': 'altitude', 'Value': 153, 'Sender': '10.0.0.12', 'Sent': 1647666623.7337353, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666623.7586405}
{'Topic': 'weather', 'Value': 281, 'Sender': '10.0.0.12', 'Sent': 1647666623.8343546, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666623.8617435}
{'Topic': 'smell', 'Value': 427, 'Sender': '10.0.0.12', 'Sent': 1647666624.1369073, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666624.1624932}
{'Topic': 'pressure', 'Value': 216, 'Sender': '10.0.0.12', 'Sent': 1647666624.2373824, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666624.2668686}
{'Topic': 'pressure', 'Value': 245, 'Sender': '10.0.0.12', 'Sent': 1647666624.4389813, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666624.4634743}
{'Topic': 'light', 'Value': 275, 'Sender': '10.0.0.12', 'Sent': 1647666624.539391, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666624.56558}
{'Topic': 'pressure', 'Value': 146, 'Sender': '10.0.0.12', 'Sent': 1647666624.840688, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666624.8651285}
{'Topic': 'weather', 'Value': 397, 'Sender': '10.0.0.12', 'Sent': 1647666625.0416474, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666625.066561}
{'Topic': 'smell', 'Value': 394, 'Sender': '10.0.0.12', 'Sent': 1647666625.142046, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666625.1647182}
{'Topic': 'smell', 'Value': 447, 'Sender': '10.0.0.12', 'Sent': 1647666625.3427217, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666625.364644}
{'Topic': 'altitude', 'Value': 451, 'Sender': '10.0.0.12', 'Sent': 1647666625.4432664, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666625.4676204}
{'Topic': 'weather', 'Value': 378, 'Sender': '10.0.0.12', 'Sent': 1647666625.6439972, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666625.6675847}
{'Topic': 'pressure', 'Value': 231, 'Sender': '10.0.0.12', 'Sent': 1647666625.8463268, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666625.8697643}
{'Topic': 'light', 'Value': 208, 'Sender': '10.0.0.12', 'Sent': 1647666625.9467611, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666625.9715889}
{'Topic': 'light', 'Value': 258, 'Sender': '10.0.0.12', 'Sent': 1647666626.0470638, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666626.0701396}
{'Topic': 'humidity', 'Value': 441, 'Sender': '10.0.0.12', 'Sent': 1647666626.1494849, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666626.1720898}
{'Topic': 'weather', 'Value': 456, 'Sender': '10.0.0.12', 'Sent': 1647666626.2499664, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666626.2802253}
{'Topic': 'pressure', 'Value': 365, 'Sender': '10.0.0.12', 'Sent': 1647666626.351378, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666626.376607}
{'Topic': 'pressure', 'Value': 32, 'Sender': '10.0.0.12', 'Sent': 1647666626.9545314, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666626.9791884}
{'Topic': 'light', 'Value': 188, 'Sender': '10.0.0.12', 'Sent': 1647666627.1559646, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666627.1784654}
Fetching updates from registry...
Request sent
Reply received
[{'ip': '10.0.0.12', 'port': '5571'}, {'ip': '10.0.0.14', 'port': '5571'}, {'ip': '10.0.0.13', 'port': '5571'}, {'ip': '10.0.0.16', 'port': '5571'}, {'ip': '10.0.0.17', 'port': '5571'}, {'ip': '10.0.0.15', 'port': '5571'}, {'ip': '10.0.0.11', 'port': '5571'}, {'ip': '10.0.0.18', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.14:5571
Broker subscribing to tcp://10.0.0.13:5571
Broker subscribing to tcp://10.0.0.16:5571
Broker subscribing to tcp://10.0.0.17:5571
Broker subscribing to tcp://10.0.0.15:5571
Broker subscribing to tcp://10.0.0.11:5571
Broker subscribing to tcp://10.0.0.18:5571
{'Topic': 'humidity', 'Value': 110, 'Sender': '10.0.0.12', 'Sent': 1647666627.356961, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666627.3915038}
{'Topic': 'light', 'Value': 415, 'Sender': '10.0.0.11', 'Sent': 1647666627.5105457, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666627.5335732}
{'Topic': 'weather', 'Value': 57, 'Sender': '10.0.0.13', 'Sent': 1647666627.5296404, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666627.553185}
{'Topic': 'smell', 'Value': 275, 'Sender': '10.0.0.16', 'Sent': 1647666627.5327587, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666627.5561397}
{'Topic': 'pressure', 'Value': 172, 'Sender': '10.0.0.18', 'Sent': 1647666627.5474, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666627.5703328}
{'Topic': 'humidity', 'Value': 63, 'Sender': '10.0.0.12', 'Sent': 1647666627.557891, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666627.5908482}
{'Topic': 'pressure', 'Value': 431, 'Sender': '10.0.0.14', 'Sent': 1647666627.562786, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666627.5909715}
{'Topic': 'weather', 'Value': 269, 'Sender': '10.0.0.13', 'Sent': 1647666627.6299014, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666627.6524205}
{'Topic': 'smell', 'Value': 178, 'Sender': '10.0.0.16', 'Sent': 1647666627.6334367, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666627.6664853}
{'Topic': 'weather', 'Value': 227, 'Sender': '10.0.0.12', 'Sent': 1647666627.6639836, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666627.6940255}
{'Topic': 'altitude', 'Value': 458, 'Sender': '10.0.0.14', 'Sent': 1647666627.6645284, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666627.694163}
{'Topic': 'humidity', 'Value': 306, 'Sender': '10.0.0.13', 'Sent': 1647666627.7302985, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666627.7543056}
{'Topic': 'altitude', 'Value': 313, 'Sender': '10.0.0.18', 'Sent': 1647666627.7483716, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666627.770207}
{'Topic': 'altitude', 'Value': 433, 'Sender': '10.0.0.12', 'Sent': 1647666627.7675762, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666627.797355}
{'Topic': 'weather', 'Value': 204, 'Sender': '10.0.0.14', 'Sent': 1647666627.7675915, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666627.7975261}
{'Topic': 'humidity', 'Value': 421, 'Sender': '10.0.0.13', 'Sent': 1647666627.8309212, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666627.8614595}
{'Topic': 'pressure', 'Value': 301, 'Sender': '10.0.0.18', 'Sent': 1647666627.8488617, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666627.8712907}
{'Topic': 'smell', 'Value': 455, 'Sender': '10.0.0.12', 'Sent': 1647666627.8697898, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666627.8964684}
{'Topic': 'altitude', 'Value': 184, 'Sender': '10.0.0.14', 'Sent': 1647666627.867951, 'Brokered': 0, 'Subscriber': '10.0.0.29', 'Received': 1647666627.9055316}
