Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['temperature', 'light', 'sound', 'humidity', 'pressure', 'location', 'smell', 'airquality', 'altitude', 'weather']
Getting subscriber object
Binding REP to tcp://10.0.0.58:5580
Getting registry proxy
Registering with tcp://10.0.0.8:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.12:5571
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.12', 'port': '5571'}, {'ip': '10.0.0.14', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.14:5571
{'Topic': 'sound', 'Value': 251, 'Sender': '10.0.0.12', 'Sent': 1647666619.8948636, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666619.9184344}
{'Topic': 'smell', 'Value': 460, 'Sender': '10.0.0.12', 'Sent': 1647666619.995764, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666620.0198045}
{'Topic': 'altitude', 'Value': 130, 'Sender': '10.0.0.12', 'Sent': 1647666620.0963454, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666620.1213617}
{'Topic': 'humidity', 'Value': 222, 'Sender': '10.0.0.12', 'Sent': 1647666620.1972752, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666620.2200906}
{'Topic': 'altitude', 'Value': 91, 'Sender': '10.0.0.12', 'Sent': 1647666620.2984147, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666620.3221338}
{'Topic': 'smell', 'Value': 283, 'Sender': '10.0.0.12', 'Sent': 1647666620.3987944, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666620.4214344}
{'Topic': 'temperature', 'Value': 18, 'Sender': '10.0.0.12', 'Sent': 1647666620.4997604, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666620.5265365}
{'Topic': 'location', 'Value': 67, 'Sender': '10.0.0.12', 'Sent': 1647666620.6006312, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666620.6264114}
{'Topic': 'light', 'Value': 460, 'Sender': '10.0.0.12', 'Sent': 1647666620.7076194, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666620.7406735}
{'Topic': 'light', 'Value': 255, 'Sender': '10.0.0.12', 'Sent': 1647666620.8080401, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666620.8333561}
{'Topic': 'location', 'Value': 188, 'Sender': '10.0.0.12', 'Sent': 1647666620.9089212, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666620.9342577}
{'Topic': 'sound', 'Value': 105, 'Sender': '10.0.0.12', 'Sent': 1647666621.0093312, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666621.0363784}
{'Topic': 'weather', 'Value': 167, 'Sender': '10.0.0.14', 'Sent': 1647666621.1007862, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666621.1242142}
{'Topic': 'humidity', 'Value': 202, 'Sender': '10.0.0.12', 'Sent': 1647666621.111157, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666621.1400237}
{'Topic': 'weather', 'Value': 448, 'Sender': '10.0.0.14', 'Sent': 1647666621.2015257, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666621.225701}
{'Topic': 'location', 'Value': 416, 'Sender': '10.0.0.12', 'Sent': 1647666621.2122095, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666621.2373493}
{'Topic': 'pressure', 'Value': 273, 'Sender': '10.0.0.14', 'Sent': 1647666621.3020432, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666621.3310928}
{'Topic': 'sound', 'Value': 356, 'Sender': '10.0.0.12', 'Sent': 1647666621.3171773, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666621.3431025}
{'Topic': 'weather', 'Value': 337, 'Sender': '10.0.0.14', 'Sent': 1647666621.4028451, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666621.4250977}
{'Topic': 'temperature', 'Value': 458, 'Sender': '10.0.0.12', 'Sent': 1647666621.4178326, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666621.4425185}
{'Topic': 'pressure', 'Value': 445, 'Sender': '10.0.0.14', 'Sent': 1647666621.503688, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666621.5259323}
{'Topic': 'smell', 'Value': 190, 'Sender': '10.0.0.12', 'Sent': 1647666621.5184035, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666621.5450325}
{'Topic': 'weather', 'Value': 337, 'Sender': '10.0.0.14', 'Sent': 1647666621.604339, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666621.6266673}
{'Topic': 'airquality', 'Value': 243, 'Sender': '10.0.0.12', 'Sent': 1647666621.6193974, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666621.6426442}
{'Topic': 'altitude', 'Value': 187, 'Sender': '10.0.0.14', 'Sent': 1647666621.708239, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666621.7331076}
{'Topic': 'humidity', 'Value': 40, 'Sender': '10.0.0.12', 'Sent': 1647666621.7199879, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666621.7470956}
{'Topic': 'weather', 'Value': 360, 'Sender': '10.0.0.14', 'Sent': 1647666621.8089688, 'Brokered': 0, 'Subscriber': '10.0.0.58', 'Received': 1647666621.832146}
