Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['temperature', 'pressure', 'smell', 'location']
Getting subscriber object
Binding REP to tcp://10.0.0.64:5580
Getting registry proxy
Registering with tcp://10.0.0.1:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.12:5571
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
{'Topic': 'smell', 'Value': 460, 'Sender': '10.0.0.12', 'Sent': 1647666619.995764, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666620.02741}
{'Topic': 'smell', 'Value': 283, 'Sender': '10.0.0.12', 'Sent': 1647666620.3987944, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666620.422911}
{'Topic': 'temperature', 'Value': 18, 'Sender': '10.0.0.12', 'Sent': 1647666620.4997604, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666620.5293224}
{'Topic': 'location', 'Value': 67, 'Sender': '10.0.0.12', 'Sent': 1647666620.6006312, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666620.626761}
{'Topic': 'location', 'Value': 188, 'Sender': '10.0.0.12', 'Sent': 1647666620.9089212, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666620.932576}
{'Topic': 'location', 'Value': 416, 'Sender': '10.0.0.12', 'Sent': 1647666621.2122095, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666621.2366827}
{'Topic': 'temperature', 'Value': 458, 'Sender': '10.0.0.12', 'Sent': 1647666621.4178326, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666621.4409544}
{'Topic': 'smell', 'Value': 190, 'Sender': '10.0.0.12', 'Sent': 1647666621.5184035, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666621.5420873}
{'Topic': 'pressure', 'Value': 403, 'Sender': '10.0.0.12', 'Sent': 1647666621.8204026, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666621.843453}
{'Topic': 'location', 'Value': 465, 'Sender': '10.0.0.12', 'Sent': 1647666622.022424, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666622.0457935}
{'Topic': 'smell', 'Value': 178, 'Sender': '10.0.0.12', 'Sent': 1647666622.1233935, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666622.14679}
{'Topic': 'pressure', 'Value': 97, 'Sender': '10.0.0.12', 'Sent': 1647666622.223838, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666622.2471383}
{'Topic': 'smell', 'Value': 392, 'Sender': '10.0.0.12', 'Sent': 1647666622.4251187, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666622.448688}
{'Topic': 'smell', 'Value': 232, 'Sender': '10.0.0.12', 'Sent': 1647666622.7270632, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666622.7538688}
{'Topic': 'location', 'Value': 436, 'Sender': '10.0.0.12', 'Sent': 1647666622.928046, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666622.9564033}
{'Topic': 'smell', 'Value': 23, 'Sender': '10.0.0.12', 'Sent': 1647666623.0284133, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666623.051056}
{'Topic': 'smell', 'Value': 154, 'Sender': '10.0.0.12', 'Sent': 1647666623.2306962, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666623.2559917}
{'Topic': 'smell', 'Value': 481, 'Sender': '10.0.0.12', 'Sent': 1647666623.3313327, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666623.3562686}
{'Topic': 'temperature', 'Value': 226, 'Sender': '10.0.0.12', 'Sent': 1647666624.0360832, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666624.0604782}
{'Topic': 'smell', 'Value': 427, 'Sender': '10.0.0.12', 'Sent': 1647666624.1369073, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666624.1630352}
{'Topic': 'pressure', 'Value': 216, 'Sender': '10.0.0.12', 'Sent': 1647666624.2373824, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666624.2657182}
{'Topic': 'pressure', 'Value': 245, 'Sender': '10.0.0.12', 'Sent': 1647666624.4389813, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666624.4628325}
{'Topic': 'temperature', 'Value': 301, 'Sender': '10.0.0.12', 'Sent': 1647666624.6397536, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666624.665452}
{'Topic': 'pressure', 'Value': 146, 'Sender': '10.0.0.12', 'Sent': 1647666624.840688, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666624.8661406}
{'Topic': 'smell', 'Value': 394, 'Sender': '10.0.0.12', 'Sent': 1647666625.142046, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666625.1664715}
{'Topic': 'location', 'Value': 265, 'Sender': '10.0.0.12', 'Sent': 1647666625.2422667, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666625.2701848}
{'Topic': 'smell', 'Value': 447, 'Sender': '10.0.0.12', 'Sent': 1647666625.3427217, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666625.371671}
{'Topic': 'temperature', 'Value': 330, 'Sender': '10.0.0.12', 'Sent': 1647666625.7448597, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666625.7716982}
{'Topic': 'pressure', 'Value': 231, 'Sender': '10.0.0.12', 'Sent': 1647666625.8463268, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666625.8735929}
{'Topic': 'pressure', 'Value': 365, 'Sender': '10.0.0.12', 'Sent': 1647666626.351378, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666626.372566}
{'Topic': 'location', 'Value': 312, 'Sender': '10.0.0.12', 'Sent': 1647666626.8534932, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666626.878551}
{'Topic': 'pressure', 'Value': 32, 'Sender': '10.0.0.12', 'Sent': 1647666626.9545314, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666626.98436}
{'Topic': 'location', 'Value': 7, 'Sender': '10.0.0.12', 'Sent': 1647666627.2566228, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666627.2807207}
{'Topic': 'temperature', 'Value': 484, 'Sender': '10.0.0.12', 'Sent': 1647666627.4574585, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666627.482671}
{'Topic': 'smell', 'Value': 455, 'Sender': '10.0.0.12', 'Sent': 1647666627.8697898, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666627.8993483}
{'Topic': 'smell', 'Value': 261, 'Sender': '10.0.0.12', 'Sent': 1647666628.3766146, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666628.3992696}
{'Topic': 'smell', 'Value': 226, 'Sender': '10.0.0.12', 'Sent': 1647666628.4769037, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666628.497842}
{'Topic': 'location', 'Value': 475, 'Sender': '10.0.0.12', 'Sent': 1647666628.5774052, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666628.603368}
{'Topic': 'smell', 'Value': 464, 'Sender': '10.0.0.12', 'Sent': 1647666628.7789466, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666628.8048205}
{'Topic': 'location', 'Value': 11, 'Sender': '10.0.0.12', 'Sent': 1647666628.8797433, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666628.9124298}
{'Topic': 'pressure', 'Value': 269, 'Sender': '10.0.0.12', 'Sent': 1647666628.980727, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666629.0136974}
{'Topic': 'location', 'Value': 437, 'Sender': '10.0.0.12', 'Sent': 1647666629.084705, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666629.1103199}
{'Topic': 'smell', 'Value': 370, 'Sender': '10.0.0.12', 'Sent': 1647666629.285805, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666629.31}
{'Topic': 'location', 'Value': 82, 'Sender': '10.0.0.12', 'Sent': 1647666630.1948376, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666630.217067}
{'Topic': 'pressure', 'Value': 55, 'Sender': '10.0.0.12', 'Sent': 1647666630.3985143, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666630.422462}
{'Topic': 'pressure', 'Value': 43, 'Sender': '10.0.0.12', 'Sent': 1647666630.5036428, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666630.53995}
{'Topic': 'smell', 'Value': 207, 'Sender': '10.0.0.12', 'Sent': 1647666630.705589, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666630.731174}
{'Topic': 'pressure', 'Value': 78, 'Sender': '10.0.0.12', 'Sent': 1647666630.907909, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666630.9336376}
{'Topic': 'temperature', 'Value': 465, 'Sender': '10.0.0.12', 'Sent': 1647666631.0084538, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666631.0399668}
{'Topic': 'smell', 'Value': 29, 'Sender': '10.0.0.12', 'Sent': 1647666631.1116257, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666631.1427293}
{'Topic': 'location', 'Value': 89, 'Sender': '10.0.0.12', 'Sent': 1647666631.3227446, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666631.3475497}
{'Topic': 'location', 'Value': 404, 'Sender': '10.0.0.12', 'Sent': 1647666631.423423, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666631.4533162}
{'Topic': 'pressure', 'Value': 51, 'Sender': '10.0.0.12', 'Sent': 1647666631.524479, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666631.5578573}
{'Topic': 'smell', 'Value': 21, 'Sender': '10.0.0.12', 'Sent': 1647666631.729929, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666631.759188}
{'Topic': 'smell', 'Value': 14, 'Sender': '10.0.0.12', 'Sent': 1647666631.8349812, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666631.8587646}
{'Topic': 'pressure', 'Value': 392, 'Sender': '10.0.0.12', 'Sent': 1647666631.935921, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666631.9593346}
Reply received
[{'ip': '10.0.0.12', 'port': '5571'}, {'ip': '10.0.0.14', 'port': '5571'}, {'ip': '10.0.0.13', 'port': '5571'}, {'ip': '10.0.0.16', 'port': '5571'}, {'ip': '10.0.0.17', 'port': '5571'}, {'ip': '10.0.0.15', 'port': '5571'}, {'ip': '10.0.0.19', 'port': '5571'}, {'ip': '10.0.0.11', 'port': '5571'}, {'ip': '10.0.0.18', 'port': '5571'}, {'ip': '10.0.0.20', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.14:5571
Broker subscribing to tcp://10.0.0.13:5571
Broker subscribing to tcp://10.0.0.16:5571
Broker subscribing to tcp://10.0.0.17:5571
Broker subscribing to tcp://10.0.0.15:5571
Broker subscribing to tcp://10.0.0.19:5571
Broker subscribing to tcp://10.0.0.11:5571
Broker subscribing to tcp://10.0.0.18:5571
Broker subscribing to tcp://10.0.0.20:5571
{'Topic': 'smell', 'Value': 132, 'Sender': '10.0.0.12', 'Sent': 1647666632.4395263, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.4703062}
{'Topic': 'smell', 'Value': 465, 'Sender': '10.0.0.17', 'Sent': 1647666632.509453, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.553715}
{'Topic': 'pressure', 'Value': 208, 'Sender': '10.0.0.19', 'Sent': 1647666632.510709, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.5538402}
{'Topic': 'smell', 'Value': 336, 'Sender': '10.0.0.20', 'Sent': 1647666632.5383823, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.5701325}
{'Topic': 'smell', 'Value': 243, 'Sender': '10.0.0.17', 'Sent': 1647666632.609867, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.6443212}
{'Topic': 'pressure', 'Value': 375, 'Sender': '10.0.0.19', 'Sent': 1647666632.6111503, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.644439}
{'Topic': 'location', 'Value': 349, 'Sender': '10.0.0.18', 'Sent': 1647666632.6453261, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.6796834}
{'Topic': 'smell', 'Value': 206, 'Sender': '10.0.0.20', 'Sent': 1647666632.6417403, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.679801}
{'Topic': 'pressure', 'Value': 387, 'Sender': '10.0.0.14', 'Sent': 1647666632.671103, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.7024772}
{'Topic': 'temperature', 'Value': 116, 'Sender': '10.0.0.15', 'Sent': 1647666632.671324, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.7027748}
{'Topic': 'smell', 'Value': 132, 'Sender': '10.0.0.17', 'Sent': 1647666632.7101576, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.7416239}
{'Topic': 'temperature', 'Value': 143, 'Sender': '10.0.0.11', 'Sent': 1647666632.702892, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.741822}
{'Topic': 'temperature', 'Value': 232, 'Sender': '10.0.0.12', 'Sent': 1647666632.747719, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.772302}
{'Topic': 'smell', 'Value': 258, 'Sender': '10.0.0.16', 'Sent': 1647666632.8065894, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.8351445}
{'Topic': 'smell', 'Value': 329, 'Sender': '10.0.0.19', 'Sent': 1647666632.8119845, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.8465755}
{'Topic': 'pressure', 'Value': 35, 'Sender': '10.0.0.14', 'Sent': 1647666632.8790991, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.9137945}
{'Topic': 'temperature', 'Value': 286, 'Sender': '10.0.0.15', 'Sent': 1647666632.8793228, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.9139328}
{'Topic': 'temperature', 'Value': 279, 'Sender': '10.0.0.11', 'Sent': 1647666632.9078977, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.951602}
{'Topic': 'smell', 'Value': 151, 'Sender': '10.0.0.20', 'Sent': 1647666632.9448736, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.9711869}
{'Topic': 'pressure', 'Value': 56, 'Sender': '10.0.0.12', 'Sent': 1647666632.9494681, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.985293}
{'Topic': 'pressure', 'Value': 152, 'Sender': '10.0.0.18', 'Sent': 1647666632.9486701, 'Brokered': 0, 'Subscriber': '10.0.0.64', 'Received': 1647666632.9854276}
