Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['altitude', 'location', 'humidity', 'pressure', 'weather', 'sound', 'smell', 'airquality', 'light', 'temperature']
Getting subscriber object
Binding REP to tcp://10.0.0.68:5580
Getting registry proxy
Registering with tcp://10.0.0.8:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.12:5571
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.12', 'port': '5571'}, {'ip': '10.0.0.14', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.14:5571
{'Topic': 'sound', 'Value': 251, 'Sender': '10.0.0.12', 'Sent': 1647666619.8948636, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666619.9207208}
{'Topic': 'smell', 'Value': 460, 'Sender': '10.0.0.12', 'Sent': 1647666619.995764, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666620.0268667}
{'Topic': 'altitude', 'Value': 130, 'Sender': '10.0.0.12', 'Sent': 1647666620.0963454, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666620.1218667}
{'Topic': 'humidity', 'Value': 222, 'Sender': '10.0.0.12', 'Sent': 1647666620.1972752, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666620.2225041}
{'Topic': 'altitude', 'Value': 91, 'Sender': '10.0.0.12', 'Sent': 1647666620.2984147, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666620.3238015}
{'Topic': 'smell', 'Value': 283, 'Sender': '10.0.0.12', 'Sent': 1647666620.3987944, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666620.4230814}
{'Topic': 'temperature', 'Value': 18, 'Sender': '10.0.0.12', 'Sent': 1647666620.4997604, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666620.5295007}
{'Topic': 'location', 'Value': 67, 'Sender': '10.0.0.12', 'Sent': 1647666620.6006312, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666620.626041}
{'Topic': 'light', 'Value': 460, 'Sender': '10.0.0.12', 'Sent': 1647666620.7076194, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666620.7408829}
{'Topic': 'light', 'Value': 255, 'Sender': '10.0.0.12', 'Sent': 1647666620.8080401, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666620.8436506}
{'Topic': 'location', 'Value': 188, 'Sender': '10.0.0.12', 'Sent': 1647666620.9089212, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666620.9363773}
{'Topic': 'sound', 'Value': 105, 'Sender': '10.0.0.12', 'Sent': 1647666621.0093312, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666621.0368502}
{'Topic': 'weather', 'Value': 167, 'Sender': '10.0.0.14', 'Sent': 1647666621.1007862, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666621.1240392}
{'Topic': 'humidity', 'Value': 202, 'Sender': '10.0.0.12', 'Sent': 1647666621.111157, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666621.1403086}
{'Topic': 'weather', 'Value': 448, 'Sender': '10.0.0.14', 'Sent': 1647666621.2015257, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666621.2254484}
{'Topic': 'location', 'Value': 416, 'Sender': '10.0.0.12', 'Sent': 1647666621.2122095, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666621.23701}
{'Topic': 'pressure', 'Value': 273, 'Sender': '10.0.0.14', 'Sent': 1647666621.3020432, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666621.3312585}
{'Topic': 'sound', 'Value': 356, 'Sender': '10.0.0.12', 'Sent': 1647666621.3171773, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666621.3424594}
{'Topic': 'weather', 'Value': 337, 'Sender': '10.0.0.14', 'Sent': 1647666621.4028451, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666621.424926}
{'Topic': 'temperature', 'Value': 458, 'Sender': '10.0.0.12', 'Sent': 1647666621.4178326, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666621.4419725}
{'Topic': 'pressure', 'Value': 445, 'Sender': '10.0.0.14', 'Sent': 1647666621.503688, 'Brokered': 0, 'Subscriber': '10.0.0.68', 'Received': 1647666621.5254958}
