Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['altitude', 'location', 'smell', 'pressure']
Getting subscriber object
Binding REP to tcp://10.0.0.5:5580
Getting registry proxy
Registering with tcp://10.0.0.2:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.3:5561
Starting update loop thread
Fetching updates from registry...
Request sent
Starting monitor loop thread
Starting subscriber listen loop...
Reply received
[{'ip': '10.0.0.4', 'port': '5571'}]
Broker subscribing to tcp://10.0.0.4:5571
{'Topic': 'pressure', 'Value': 383, 'Sender': '10.0.0.4', 'Sent': 1647664436.5630558, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664436.592957}
{'Topic': 'smell', 'Value': 273, 'Sender': '10.0.0.4', 'Sent': 1647664436.776319, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664436.799171}
{'Topic': 'pressure', 'Value': 196, 'Sender': '10.0.0.4', 'Sent': 1647664436.8772006, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664436.8989887}
{'Topic': 'altitude', 'Value': 470, 'Sender': '10.0.0.4', 'Sent': 1647664437.0996149, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664437.130746}
{'Topic': 'location', 'Value': 228, 'Sender': '10.0.0.4', 'Sent': 1647664437.516349, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664437.57855}
{'Topic': 'location', 'Value': 55, 'Sender': '10.0.0.4', 'Sent': 1647664437.6170883, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664437.6566637}
{'Topic': 'pressure', 'Value': 384, 'Sender': '10.0.0.4', 'Sent': 1647664438.553559, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664438.5753107}
{'Topic': 'altitude', 'Value': 345, 'Sender': '10.0.0.4', 'Sent': 1647664439.5885694, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664439.610614}
{'Topic': 'altitude', 'Value': 349, 'Sender': '10.0.0.4', 'Sent': 1647664440.201454, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664440.222322}
{'Topic': 'altitude', 'Value': 272, 'Sender': '10.0.0.4', 'Sent': 1647664440.3331628, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664440.3553054}
{'Topic': 'pressure', 'Value': 296, 'Sender': '10.0.0.4', 'Sent': 1647664440.4664052, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664440.5428915}
{'Topic': 'smell', 'Value': 178, 'Sender': '10.0.0.4', 'Sent': 1647664440.8728433, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664440.9137013}
{'Topic': 'smell', 'Value': 419, 'Sender': '10.0.0.4', 'Sent': 1647664440.9792337, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664441.0047429}
{'Topic': 'pressure', 'Value': 35, 'Sender': '10.0.0.4', 'Sent': 1647664441.0796008, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664441.1105711}
{'Topic': 'smell', 'Value': 281, 'Sender': '10.0.0.4', 'Sent': 1647664441.1800725, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664441.2133129}
{'Topic': 'smell', 'Value': 202, 'Sender': '10.0.0.4', 'Sent': 1647664441.8011518, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664441.8218017}
{'Topic': 'location', 'Value': 31, 'Sender': '10.0.0.4', 'Sent': 1647664442.1617942, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664442.2076333}
{'Topic': 'smell', 'Value': 315, 'Sender': '10.0.0.4', 'Sent': 1647664442.465679, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664442.5468628}
Fetching updates from registry...
Request sent
Reply received
[{'ip': '10.0.0.4', 'port': '5571'}]
{'Topic': 'pressure', 'Value': 16, 'Sender': '10.0.0.4', 'Sent': 1647664442.7696557, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664442.8089697}
{'Topic': 'smell', 'Value': 44, 'Sender': '10.0.0.4', 'Sent': 1647664442.870242, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664442.8922932}
{'Topic': 'pressure', 'Value': 445, 'Sender': '10.0.0.4', 'Sent': 1647664442.9707007, 'Brokered': 0, 'Subscriber': '10.0.0.5', 'Received': 1647664443.0025034}
